sample_id	pipeline_sample_id	join_rule
GSE289435__MLL_14666	GSM8791432_MLL_14666	gsm_prefix
GSE289435__MLL_16703	GSM8791433_MLL_16703	gsm_prefix
GSE289435__MLL_17746	GSM8791434_MLL_17746	gsm_prefix
GSE289435__MLL_17843	GSM8791435_MLL_17843	gsm_prefix
GSE289435__MLL_17844	GSM8791436_MLL_17844	gsm_prefix
GSE289435__MLL_28824	GSM8791437_MLL_28824	gsm_prefix
GSE289435__MLL_28830	GSM8791438_MLL_28830	gsm_prefix
GSE289435__MLL_28855	GSM8791439_MLL_28855	gsm_prefix
GSE289435__MLL_29512	""	UNRESOLVED
GSE289435__MLL_29532	GSM8791441_MLL_29532	gsm_prefix
GSE289435__MLL_29538	GSM8791442_MLL_29538	gsm_prefix
GSE289435__MLL_30862	GSM8791443_MLL_30862	gsm_prefix
GSE289435__MLL_30886	GSM8791444_MLL_30886	gsm_prefix
