subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s6,1p,gain,56,215,0.26046511627907,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s6,6p,gain,21,121,0.173553719008264,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s6,6p,loss,47,121,0.388429752066116,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s6,11q,loss,44,161,0.273291925465839,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s6,12q,gain,50,154,0.324675324675325,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s6,14q,loss,48,156,0.307692307692308,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s6,19p,gain,42,125,0.336,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,1p,loss,54,215,0.251162790697674,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,1q,gain,66,174,0.379310344827586,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,2p,gain,32,127,0.251968503937008,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,2q,gain,31,160,0.19375,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,3p,loss,62,100,0.62,TRUE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,3q,gain,82,134,0.611940298507463,TRUE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,4p,gain,39,39,1,TRUE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,4q,gain,31,101,0.306930693069307,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,5p,loss,3,33,0.0909090909090909,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,5q,loss,42,169,0.248520710059172,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,6p,gain,14,121,0.115702479338843,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,6p,loss,83,121,0.685950413223141,TRUE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,6q,loss,6,100,0.06,FALSE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,7q,gain,75,108,0.694444444444445,TRUE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,8p,gain,32,42,0.761904761904762,TRUE,Chen2023,AML320_NICHE_IMMUNE
observation.observation_s7,8q,loss,51,86,0.593023255813954,TRUE,Chen2023,AML320_NICHE_IMMUNE
