subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s2,1q,gain,60,188,0.319148936170213,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s2,4p,gain,45,51,0.882352941176471,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s2,11q,gain,43,162,0.265432098765432,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s2,11q,loss,27,162,0.166666666666667,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s2,12p,gain,38,58,0.655172413793103,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s2,14q,gain,58,152,0.381578947368421,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s2,17q,gain,39,174,0.224137931034483,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s2,20p,gain,32,32,1,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s2,20q,gain,13,67,0.194029850746269,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,1p,gain,71,228,0.31140350877193,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,2p,gain,62,126,0.492063492063492,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,2q,gain,64,179,0.357541899441341,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,3p,loss,48,112,0.428571428571429,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,3q,gain,69,121,0.570247933884298,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,6p,gain,23,124,0.185483870967742,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,6p,loss,61,124,0.491935483870968,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,7q,gain,54,127,0.425196850393701,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,8p,gain,41,41,1,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,8q,gain,6,94,0.0638297872340426,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,10p,gain,40,40,1,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,10q,gain,35,109,0.321100917431193,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,11p,gain,72,72,1,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,11q,gain,27,162,0.166666666666667,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,14q,gain,44,152,0.289473684210526,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,15q,gain,72,124,0.580645161290323,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,16p,loss,55,82,0.670731707317073,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,19q,loss,35,118,0.296610169491525,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,20p,gain,32,32,1,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,20q,gain,17,67,0.253731343283582,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s1,21q,gain,42,42,1,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s4,1p,loss,3,228,0.0131578947368421,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s4,1q,loss,47,188,0.25,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s4,6p,gain,124,124,1,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s4,6q,gain,34,98,0.346938775510204,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s4,7q,loss,30,127,0.236220472440945,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s4,11q,loss,33,162,0.203703703703704,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s4,12q,gain,67,174,0.385057471264368,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s4,22q,gain,41,97,0.422680412371134,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s5,1p,loss,48,228,0.210526315789474,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s5,3q,gain,70,121,0.578512396694215,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s5,5q,gain,16,177,0.0903954802259887,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s5,6p,loss,64,124,0.516129032258065,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s5,10p,gain,37,40,0.925,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s5,11q,loss,26,162,0.160493827160494,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s5,14q,gain,63,152,0.414473684210526,FALSE,Chen2023,NBM4_Niche_Immune
observation.observation_s5,18q,gain,20,40,0.5,TRUE,Chen2023,NBM4_Niche_Immune
observation.observation_s5,19q,loss,40,118,0.338983050847458,FALSE,Chen2023,NBM4_Niche_Immune
