subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s3,106,106,64,0.60377358490566,FALSE,0.447552447552448,15,4,11,11p:g;11q:g;13q:l;15q:g;16p:l;17p:l;18q:g;1p:l;21q:g;22q:g;3q:g;5q:g;7p:g;7q:g;9q:g,,,FALSE,0.857142857142857,GSE116256,AML420B-D14
observation.observation_s1,74,74,51,0.689189189189189,FALSE,0.356643356643357,16,6,10,12p:l;16p:l;17p:l;17q:l;19q:l;1p:l;22q:g;3q:g;4p:g;4q:g;5q:g;6p:g;6q:g;7p:g;7q:g;9q:g,,,FALSE,0.964285714285714,GSE116256,AML420B-D14
observation.observation_s4,59,59,12,0.203389830508475,FALSE,0.0839160839160839,3,1,2,19q:l;6p:g;7p:g,,,FALSE,0,GSE116256,AML420B-D14
observation.observation_s2,37,37,10,0.27027027027027,FALSE,0.0699300699300699,5,2,3,12p:l;15q:g;22q:g;3q:g;5p:l,,,FALSE,0.321428571428571,GSE116256,AML420B-D14
observation.observation_s5,3,3,1,0.333333333333333,FALSE,0.00699300699300699,16,7,9,10q:g;12q:g;13q:l;16p:l;16q:l;17p:l;19q:l;1p:l;21q:g;22q:g;2q:g;3p:l;5q:g;7p:g;7q:g;8p:g,,,FALSE,0.928571428571429,GSE116256,AML420B-D14
observation.observation_s7,3,3,2,0.666666666666667,FALSE,0.013986013986014,17,10,7,10q:g;11q:l;12q:g;14q:g;16p:l;16q:l;17p:l;18q:l;1p:l;1q:l;22q:l;3p:l;3q:g;5q:g;6q:g;8p:g;8q:l,,,FALSE,0.964285714285714,GSE116256,AML420B-D14
observation.observation_s6,2,2,1,0.5,FALSE,0.00699300699300699,12,3,9,14q:g;16q:l;20q:l;3q:g;4p:g;4q:g;5p:l;6p:g;7p:g;7q:g;9p:g;9q:g,,,FALSE,0,GSE116256,AML420B-D14
observation.observation_s8,2,2,2,1,FALSE,0.013986013986014,19,8,11,11p:l;13q:l;15q:g;16p:l;16q:l;17p:l;18q:g;19q:l;1p:l;20q:g;21q:g;3p:l;3q:g;4q:g;5q:g;6q:g;7p:g;7q:g;9q:g,,,FALSE,1,GSE116256,AML420B-D14
reference_normal.reference_normal_s5,68,68,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE116256,AML420B-D14
reference_normal.reference_normal_s6,65,65,0,0,TRUE,0,1,0,1,3p:g,,,FALSE,0,GSE116256,AML420B-D14
