subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s15,1p,loss,56,291,0.192439862542955,FALSE,GSE116256,AML556-D0
observation.observation_s15,1p,gain,100,291,0.343642611683849,FALSE,GSE116256,AML556-D0
observation.observation_s15,2q,gain,62,217,0.285714285714286,FALSE,GSE116256,AML556-D0
observation.observation_s15,3p,gain,145,145,1,TRUE,GSE116256,AML556-D0
observation.observation_s15,3q,gain,167,167,1,TRUE,GSE116256,AML556-D0
observation.observation_s15,4q,gain,49,144,0.340277777777778,FALSE,GSE116256,AML556-D0
observation.observation_s15,5q,gain,103,228,0.451754385964912,FALSE,GSE116256,AML556-D0
observation.observation_s15,6p,loss,79,173,0.456647398843931,FALSE,GSE116256,AML556-D0
observation.observation_s15,6p,gain,8,173,0.046242774566474,FALSE,GSE116256,AML556-D0
observation.observation_s15,6q,gain,62,118,0.525423728813559,TRUE,GSE116256,AML556-D0
observation.observation_s15,8q,loss,29,131,0.221374045801527,FALSE,GSE116256,AML556-D0
observation.observation_s15,9p,gain,48,52,0.923076923076923,TRUE,GSE116256,AML556-D0
observation.observation_s15,10p,gain,51,51,1,TRUE,GSE116256,AML556-D0
observation.observation_s15,10q,gain,41,147,0.27891156462585,FALSE,GSE116256,AML556-D0
observation.observation_s15,11p,loss,24,102,0.235294117647059,FALSE,GSE116256,AML556-D0
observation.observation_s15,11p,gain,53,102,0.519607843137255,TRUE,GSE116256,AML556-D0
observation.observation_s15,11q,gain,96,222,0.432432432432432,FALSE,GSE116256,AML556-D0
observation.observation_s15,12p,loss,45,75,0.6,TRUE,GSE116256,AML556-D0
observation.observation_s15,15q,gain,75,164,0.457317073170732,FALSE,GSE116256,AML556-D0
observation.observation_s15,16p,loss,43,135,0.318518518518519,FALSE,GSE116256,AML556-D0
observation.observation_s15,16q,loss,25,96,0.260416666666667,FALSE,GSE116256,AML556-D0
observation.observation_s15,18q,gain,49,56,0.875,TRUE,GSE116256,AML556-D0
observation.observation_s15,19p,loss,177,177,1,TRUE,GSE116256,AML556-D0
observation.observation_s15,19q,loss,162,162,1,TRUE,GSE116256,AML556-D0
observation.observation_s20,1p,gain,87,291,0.298969072164948,FALSE,GSE116256,AML556-D0
observation.observation_s20,1q,gain,108,250,0.432,FALSE,GSE116256,AML556-D0
observation.observation_s20,3p,gain,28,145,0.193103448275862,FALSE,GSE116256,AML556-D0
observation.observation_s20,3q,gain,64,167,0.383233532934132,FALSE,GSE116256,AML556-D0
observation.observation_s20,4q,gain,29,144,0.201388888888889,FALSE,GSE116256,AML556-D0
observation.observation_s20,6p,gain,26,173,0.15028901734104,FALSE,GSE116256,AML556-D0
observation.observation_s20,6p,loss,71,173,0.410404624277457,FALSE,GSE116256,AML556-D0
observation.observation_s20,8p,gain,24,53,0.452830188679245,FALSE,GSE116256,AML556-D0
observation.observation_s20,8q,loss,21,131,0.16030534351145,FALSE,GSE116256,AML556-D0
observation.observation_s20,9p,gain,52,52,1,TRUE,GSE116256,AML556-D0
observation.observation_s20,9q,gain,57,144,0.395833333333333,FALSE,GSE116256,AML556-D0
observation.observation_s20,9q,loss,20,144,0.138888888888889,FALSE,GSE116256,AML556-D0
observation.observation_s20,10p,gain,51,51,1,TRUE,GSE116256,AML556-D0
observation.observation_s20,10q,gain,63,147,0.428571428571429,FALSE,GSE116256,AML556-D0
observation.observation_s20,11p,loss,37,102,0.362745098039216,FALSE,GSE116256,AML556-D0
observation.observation_s20,11q,loss,67,222,0.301801801801802,FALSE,GSE116256,AML556-D0
observation.observation_s20,12q,gain,54,236,0.228813559322034,FALSE,GSE116256,AML556-D0
observation.observation_s20,13q,gain,53,104,0.509615384615385,TRUE,GSE116256,AML556-D0
observation.observation_s20,15q,gain,61,164,0.371951219512195,FALSE,GSE116256,AML556-D0
observation.observation_s20,16p,loss,41,135,0.303703703703704,FALSE,GSE116256,AML556-D0
observation.observation_s20,16q,loss,16,96,0.166666666666667,FALSE,GSE116256,AML556-D0
observation.observation_s20,17q,loss,55,239,0.230125523012552,FALSE,GSE116256,AML556-D0
observation.observation_s20,18p,gain,25,28,0.892857142857143,TRUE,GSE116256,AML556-D0
observation.observation_s20,18q,gain,56,56,1,TRUE,GSE116256,AML556-D0
observation.observation_s20,19p,loss,156,177,0.88135593220339,TRUE,GSE116256,AML556-D0
observation.observation_s20,19q,loss,162,162,1,TRUE,GSE116256,AML556-D0
observation.observation_s22,1p,gain,75,291,0.257731958762887,FALSE,GSE116256,AML556-D0
observation.observation_s22,1q,gain,250,250,1,TRUE,GSE116256,AML556-D0
observation.observation_s22,3q,gain,48,167,0.287425149700599,FALSE,GSE116256,AML556-D0
observation.observation_s22,4q,gain,26,144,0.180555555555556,FALSE,GSE116256,AML556-D0
observation.observation_s22,5p,gain,38,38,1,TRUE,GSE116256,AML556-D0
observation.observation_s22,5q,gain,23,228,0.100877192982456,FALSE,GSE116256,AML556-D0
observation.observation_s22,6p,loss,75,173,0.433526011560694,FALSE,GSE116256,AML556-D0
observation.observation_s22,8q,loss,35,131,0.267175572519084,FALSE,GSE116256,AML556-D0
observation.observation_s22,9p,gain,52,52,1,TRUE,GSE116256,AML556-D0
observation.observation_s22,9q,gain,58,144,0.402777777777778,FALSE,GSE116256,AML556-D0
observation.observation_s22,9q,loss,20,144,0.138888888888889,FALSE,GSE116256,AML556-D0
observation.observation_s22,10p,gain,51,51,1,TRUE,GSE116256,AML556-D0
observation.observation_s22,10q,gain,60,147,0.408163265306122,FALSE,GSE116256,AML556-D0
observation.observation_s22,11p,loss,43,102,0.42156862745098,FALSE,GSE116256,AML556-D0
observation.observation_s22,12q,gain,77,236,0.326271186440678,FALSE,GSE116256,AML556-D0
observation.observation_s22,13q,gain,67,104,0.644230769230769,TRUE,GSE116256,AML556-D0
observation.observation_s22,15q,gain,72,164,0.439024390243902,FALSE,GSE116256,AML556-D0
