subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s3,5p,loss,25,25,1,TRUE,GSE116256,AML707B-D113
observation.observation_s3,5q,loss,4,195,0.0205128205128205,FALSE,GSE116256,AML707B-D113
observation.observation_s3,7p,gain,49,53,0.924528301886792,TRUE,GSE116256,AML707B-D113
observation.observation_s3,11q,loss,51,132,0.386363636363636,FALSE,GSE116256,AML707B-D113
observation.observation_s3,12q,gain,128,164,0.780487804878049,TRUE,GSE116256,AML707B-D113
observation.observation_s1,1p,gain,2,202,0.0099009900990099,FALSE,GSE116256,AML707B-D113
observation.observation_s1,1q,gain,90,189,0.476190476190476,FALSE,GSE116256,AML707B-D113
observation.observation_s1,5p,loss,25,25,1,TRUE,GSE116256,AML707B-D113
observation.observation_s1,5q,loss,7,195,0.0358974358974359,FALSE,GSE116256,AML707B-D113
observation.observation_s1,7p,gain,53,53,1,TRUE,GSE116256,AML707B-D113
observation.observation_s1,7q,gain,22,93,0.236559139784946,FALSE,GSE116256,AML707B-D113
observation.observation_s1,10q,gain,40,103,0.388349514563107,FALSE,GSE116256,AML707B-D113
observation.observation_s1,11q,loss,51,132,0.386363636363636,FALSE,GSE116256,AML707B-D113
observation.observation_s1,12q,gain,74,164,0.451219512195122,FALSE,GSE116256,AML707B-D113
observation.observation_s1,17q,loss,39,124,0.314516129032258,FALSE,GSE116256,AML707B-D113
observation.observation_s1,20p,gain,27,27,1,TRUE,GSE116256,AML707B-D113
observation.observation_s1,20q,gain,25,49,0.510204081632653,TRUE,GSE116256,AML707B-D113
observation.observation_s2,1p,gain,62,202,0.306930693069307,FALSE,GSE116256,AML707B-D113
observation.observation_s2,1q,gain,174,189,0.920634920634921,TRUE,GSE116256,AML707B-D113
observation.observation_s2,2p,gain,41,130,0.315384615384615,FALSE,GSE116256,AML707B-D113
observation.observation_s2,5p,loss,25,25,1,TRUE,GSE116256,AML707B-D113
observation.observation_s2,5q,loss,12,195,0.0615384615384615,FALSE,GSE116256,AML707B-D113
observation.observation_s2,7p,gain,53,53,1,TRUE,GSE116256,AML707B-D113
observation.observation_s2,7q,gain,3,93,0.032258064516129,FALSE,GSE116256,AML707B-D113
observation.observation_s2,9q,gain,51,78,0.653846153846154,TRUE,GSE116256,AML707B-D113
observation.observation_s2,11q,loss,52,132,0.393939393939394,FALSE,GSE116256,AML707B-D113
observation.observation_s2,12q,gain,121,164,0.737804878048781,TRUE,GSE116256,AML707B-D113
observation.observation_s2,19q,loss,34,58,0.586206896551724,TRUE,GSE116256,AML707B-D113
observation.observation_s4,4p,gain,30,50,0.6,TRUE,GSE116256,AML707B-D113
observation.observation_s4,4q,gain,23,97,0.237113402061856,FALSE,GSE116256,AML707B-D113
observation.observation_s4,11q,loss,43,132,0.325757575757576,FALSE,GSE116256,AML707B-D113
observation.observation_s4,15q,gain,77,123,0.626016260162602,TRUE,GSE116256,AML707B-D113
observation.observation_s4,19q,loss,58,58,1,TRUE,GSE116256,AML707B-D113
observation.observation_s6,1p,loss,62,202,0.306930693069307,FALSE,GSE116256,AML707B-D113
observation.observation_s6,2p,gain,24,130,0.184615384615385,FALSE,GSE116256,AML707B-D113
observation.observation_s6,3q,gain,101,140,0.721428571428571,TRUE,GSE116256,AML707B-D113
observation.observation_s6,5p,loss,25,25,1,TRUE,GSE116256,AML707B-D113
observation.observation_s6,5q,loss,22,195,0.112820512820513,FALSE,GSE116256,AML707B-D113
observation.observation_s6,5q,gain,58,195,0.297435897435897,FALSE,GSE116256,AML707B-D113
observation.observation_s6,6p,gain,15,107,0.14018691588785,FALSE,GSE116256,AML707B-D113
observation.observation_s6,11p,gain,4,55,0.0727272727272727,FALSE,GSE116256,AML707B-D113
observation.observation_s6,11q,gain,70,132,0.53030303030303,TRUE,GSE116256,AML707B-D113
observation.observation_s6,11q,loss,37,132,0.28030303030303,FALSE,GSE116256,AML707B-D113
observation.observation_s6,12q,gain,81,164,0.49390243902439,FALSE,GSE116256,AML707B-D113
observation.observation_s6,15q,gain,123,123,1,TRUE,GSE116256,AML707B-D113
observation.observation_s6,17q,loss,41,124,0.330645161290323,FALSE,GSE116256,AML707B-D113
observation.observation_s6,18q,gain,29,36,0.805555555555556,TRUE,GSE116256,AML707B-D113
observation.observation_s6,19p,gain,79,79,1,TRUE,GSE116256,AML707B-D113
observation.observation_s6,22q,gain,53,53,1,TRUE,GSE116256,AML707B-D113
observation.observation_s7,1p,loss,55,202,0.272277227722772,FALSE,GSE116256,AML707B-D113
observation.observation_s7,1q,loss,28,189,0.148148148148148,FALSE,GSE116256,AML707B-D113
observation.observation_s7,2q,gain,52,161,0.322981366459627,FALSE,GSE116256,AML707B-D113
observation.observation_s7,3q,loss,44,140,0.314285714285714,FALSE,GSE116256,AML707B-D113
observation.observation_s7,5p,loss,25,25,1,TRUE,GSE116256,AML707B-D113
observation.observation_s7,5q,loss,20,195,0.102564102564103,FALSE,GSE116256,AML707B-D113
observation.observation_s7,6p,gain,48,107,0.448598130841121,FALSE,GSE116256,AML707B-D113
observation.observation_s7,8p,gain,32,32,1,TRUE,GSE116256,AML707B-D113
observation.observation_s7,8q,gain,30,85,0.352941176470588,FALSE,GSE116256,AML707B-D113
observation.observation_s7,9p,gain,37,37,1,TRUE,GSE116256,AML707B-D113
observation.observation_s7,9q,gain,50,78,0.641025641025641,TRUE,GSE116256,AML707B-D113
observation.observation_s7,10q,gain,99,103,0.961165048543689,TRUE,GSE116256,AML707B-D113
