subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s7,1p,loss,37,211,0.175355450236967,FALSE,GSE116256,AML921A-D0
observation.observation_s7,1q,loss,15,190,0.0789473684210526,FALSE,GSE116256,AML921A-D0
observation.observation_s7,6p,gain,41,115,0.356521739130435,FALSE,GSE116256,AML921A-D0
observation.observation_s7,12q,gain,162,163,0.993865030674847,TRUE,GSE116256,AML921A-D0
observation.observation_s7,14q,gain,28,132,0.212121212121212,FALSE,GSE116256,AML921A-D0
observation.observation_s7,17p,gain,37,53,0.69811320754717,TRUE,GSE116256,AML921A-D0
observation.observation_s7,19p,gain,102,102,1,TRUE,GSE116256,AML921A-D0
observation.observation_s7,19q,gain,32,96,0.333333333333333,FALSE,GSE116256,AML921A-D0
observation.observation_s9,1p,loss,34,211,0.161137440758294,FALSE,GSE116256,AML921A-D0
observation.observation_s9,1q,loss,43,190,0.226315789473684,FALSE,GSE116256,AML921A-D0
observation.observation_s9,12p,gain,10,52,0.192307692307692,FALSE,GSE116256,AML921A-D0
observation.observation_s9,12q,gain,163,163,1,TRUE,GSE116256,AML921A-D0
observation.observation_s9,14q,gain,29,132,0.21969696969697,FALSE,GSE116256,AML921A-D0
observation.observation_s9,19p,gain,41,102,0.401960784313726,FALSE,GSE116256,AML921A-D0
observation.observation_s11,1p,gain,18,211,0.0853080568720379,FALSE,GSE116256,AML921A-D0
observation.observation_s11,1q,gain,104,190,0.547368421052632,TRUE,GSE116256,AML921A-D0
observation.observation_s11,10p,gain,24,43,0.558139534883721,TRUE,GSE116256,AML921A-D0
observation.observation_s11,10q,gain,58,108,0.537037037037037,TRUE,GSE116256,AML921A-D0
observation.observation_s11,11p,gain,4,74,0.0540540540540541,FALSE,GSE116256,AML921A-D0
observation.observation_s11,11q,gain,31,155,0.2,FALSE,GSE116256,AML921A-D0
observation.observation_s11,12q,gain,56,163,0.343558282208589,FALSE,GSE116256,AML921A-D0
observation.observation_s11,19p,gain,44,102,0.431372549019608,FALSE,GSE116256,AML921A-D0
observation.observation_s11,19q,gain,36,96,0.375,FALSE,GSE116256,AML921A-D0
observation.observation_s1,1q,gain,57,190,0.3,FALSE,GSE116256,AML921A-D0
observation.observation_s1,6p,gain,62,115,0.539130434782609,TRUE,GSE116256,AML921A-D0
observation.observation_s1,7p,gain,5,65,0.0769230769230769,FALSE,GSE116256,AML921A-D0
observation.observation_s1,7q,gain,40,99,0.404040404040404,FALSE,GSE116256,AML921A-D0
observation.observation_s1,19p,gain,19,102,0.186274509803922,FALSE,GSE116256,AML921A-D0
observation.observation_s1,19q,gain,33,96,0.34375,FALSE,GSE116256,AML921A-D0
observation.observation_s41,1p,loss,31,211,0.146919431279621,FALSE,GSE116256,AML921A-D0
observation.observation_s41,1q,loss,38,190,0.2,FALSE,GSE116256,AML921A-D0
observation.observation_s41,12q,gain,49,163,0.300613496932515,FALSE,GSE116256,AML921A-D0
observation.observation_s41,14q,gain,21,132,0.159090909090909,FALSE,GSE116256,AML921A-D0
observation.observation_s41,19p,gain,102,102,1,TRUE,GSE116256,AML921A-D0
observation.observation_s41,19q,gain,96,96,1,TRUE,GSE116256,AML921A-D0
observation.observation_s41,22q,gain,52,79,0.658227848101266,TRUE,GSE116256,AML921A-D0
observation.observation_s19,5q,gain,19,178,0.106741573033708,FALSE,GSE116256,AML921A-D0
observation.observation_s19,14q,gain,33,132,0.25,FALSE,GSE116256,AML921A-D0
observation.observation_s19,19p,gain,62,102,0.607843137254902,TRUE,GSE116256,AML921A-D0
observation.observation_s15,11p,gain,25,74,0.337837837837838,FALSE,GSE116256,AML921A-D0
observation.observation_s15,11q,gain,95,155,0.612903225806452,TRUE,GSE116256,AML921A-D0
observation.observation_s15,17p,gain,36,53,0.679245283018868,TRUE,GSE116256,AML921A-D0
observation.observation_s21,6p,gain,68,115,0.591304347826087,TRUE,GSE116256,AML921A-D0
observation.observation_s21,6q,gain,40,88,0.454545454545455,FALSE,GSE116256,AML921A-D0
observation.observation_s21,10p,gain,43,43,1,TRUE,GSE116256,AML921A-D0
observation.observation_s21,10q,gain,58,108,0.537037037037037,TRUE,GSE116256,AML921A-D0
observation.observation_s36,7p,gain,65,65,1,TRUE,GSE116256,AML921A-D0
observation.observation_s36,7q,gain,26,99,0.262626262626263,FALSE,GSE116256,AML921A-D0
observation.observation_s36,10q,gain,48,108,0.444444444444444,FALSE,GSE116256,AML921A-D0
observation.observation_s36,12p,gain,6,52,0.115384615384615,FALSE,GSE116256,AML921A-D0
observation.observation_s36,12q,gain,140,163,0.858895705521472,TRUE,GSE116256,AML921A-D0
observation.observation_s4,3p,gain,39,107,0.364485981308411,FALSE,GSE116256,AML921A-D0
observation.observation_s4,3q,gain,9,128,0.0703125,FALSE,GSE116256,AML921A-D0
observation.observation_s4,7p,gain,65,65,1,TRUE,GSE116256,AML921A-D0
observation.observation_s4,7q,gain,50,99,0.505050505050505,TRUE,GSE116256,AML921A-D0
observation.observation_s4,19p,gain,24,102,0.235294117647059,FALSE,GSE116256,AML921A-D0
observation.observation_s16,1p,gain,14,211,0.0663507109004739,FALSE,GSE116256,AML921A-D0
observation.observation_s16,1q,gain,89,190,0.468421052631579,FALSE,GSE116256,AML921A-D0
observation.observation_s16,10p,gain,43,43,1,TRUE,GSE116256,AML921A-D0
observation.observation_s16,10q,gain,53,108,0.490740740740741,FALSE,GSE116256,AML921A-D0
observation.observation_s16,12q,gain,109,163,0.668711656441718,TRUE,GSE116256,AML921A-D0
observation.observation_s27,17p,gain,38,53,0.716981132075472,TRUE,GSE116256,AML921A-D0
observation.observation_s27,19p,gain,33,102,0.323529411764706,FALSE,GSE116256,AML921A-D0
observation.observation_s27,22q,gain,71,79,0.89873417721519,TRUE,GSE116256,AML921A-D0
observation.observation_s14,3p,gain,35,107,0.327102803738318,FALSE,GSE116256,AML921A-D0
observation.observation_s14,3q,gain,13,128,0.1015625,FALSE,GSE116256,AML921A-D0
observation.observation_s14,12q,gain,146,163,0.895705521472393,TRUE,GSE116256,AML921A-D0
