subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s8,1p,gain,12,243,0.0493827160493827,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,1q,gain,79,197,0.401015228426396,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,7p,gain,18,73,0.246575342465753,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,11p,gain,27,77,0.350649350649351,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,11q,gain,83,180,0.461111111111111,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,11q,loss,44,180,0.244444444444444,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,12q,gain,62,186,0.333333333333333,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,17p,gain,65,76,0.855263157894737,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,19p,gain,108,173,0.624277456647399,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,19q,gain,103,140,0.735714285714286,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,20p,gain,36,36,1,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s8,20q,gain,30,77,0.38961038961039,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s13,6p,loss,44,147,0.299319727891156,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s13,11q,gain,41,180,0.227777777777778,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s13,17q,gain,51,203,0.251231527093596,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s13,20p,gain,36,36,1,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s13,20q,gain,30,77,0.38961038961039,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,1p,gain,58,243,0.238683127572016,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,1q,gain,33,197,0.16751269035533,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,5q,gain,15,170,0.0882352941176471,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,6p,gain,88,147,0.598639455782313,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,9q,gain,65,101,0.643564356435644,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,12p,gain,42,49,0.857142857142857,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,12q,gain,43,186,0.231182795698925,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,14q,loss,82,147,0.557823129251701,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,17q,gain,61,203,0.300492610837438,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,19p,gain,173,173,1,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s7,19q,gain,4,140,0.0285714285714286,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,1p,gain,36,243,0.148148148148148,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,1q,gain,75,197,0.380710659898477,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,6p,gain,79,147,0.537414965986395,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,9p,gain,33,33,1,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,9q,gain,21,101,0.207920792079208,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,12p,gain,39,49,0.795918367346939,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,12q,gain,75,186,0.403225806451613,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,14q,loss,54,147,0.36734693877551,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,17q,gain,38,203,0.187192118226601,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,18p,loss,8,22,0.363636363636364,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,18q,loss,44,44,1,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,19p,gain,173,173,1,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s1,19q,gain,25,140,0.178571428571429,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s4,1p,gain,84,243,0.345679012345679,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s4,1q,gain,36,197,0.182741116751269,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s4,5q,gain,19,170,0.111764705882353,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s4,6p,gain,37,147,0.251700680272109,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s4,6q,loss,27,89,0.303370786516854,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s4,12p,gain,40,49,0.816326530612245,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s4,12q,gain,110,186,0.591397849462366,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s4,14q,loss,74,147,0.503401360544218,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s4,17p,gain,44,76,0.578947368421053,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s4,17q,gain,35,203,0.172413793103448,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,1p,gain,75,243,0.308641975308642,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,1q,gain,16,197,0.0812182741116751,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,5q,gain,16,170,0.0941176470588235,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,6p,gain,67,147,0.45578231292517,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,9q,gain,70,101,0.693069306930693,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,12p,gain,49,49,1,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,12q,gain,128,186,0.688172043010753,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,14q,loss,87,147,0.591836734693878,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,17p,gain,50,76,0.657894736842105,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,17q,gain,30,203,0.147783251231527,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,19p,gain,173,173,1,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,19q,gain,22,140,0.157142857142857,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s3,22q,gain,55,107,0.514018691588785,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,1p,gain,12,243,0.0493827160493827,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,1q,gain,125,197,0.634517766497462,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,6p,gain,90,147,0.612244897959184,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,9p,gain,33,33,1,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,9q,gain,31,101,0.306930693069307,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,10p,gain,34,43,0.790697674418605,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,11p,gain,2,77,0.025974025974026,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,11q,gain,86,180,0.477777777777778,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,12p,gain,31,49,0.63265306122449,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,12q,gain,68,186,0.365591397849462,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,18q,loss,41,44,0.931818181818182,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,19p,gain,78,173,0.450867052023121,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s2,19q,gain,41,140,0.292857142857143,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s10,1p,gain,37,243,0.152263374485597,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s10,1q,gain,73,197,0.370558375634518,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s10,6p,gain,54,147,0.36734693877551,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s10,9p,gain,29,33,0.878787878787879,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s10,9q,gain,101,101,1,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s10,11q,gain,102,180,0.566666666666667,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s10,12p,gain,38,49,0.775510204081633,TRUE,GSE185381,GSM5613758_2019-11-04-count-2
observation.observation_s10,12q,gain,62,186,0.333333333333333,FALSE,GSE185381,GSM5613758_2019-11-04-count-2
