subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s27,462,462,5,0.0108225108225108,FALSE,0.00174276751481352,0,0,0,"",3,neutral,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s26,298,298,136,0.456375838926175,FALSE,0.0474032764029279,7,1,6,11q:g;12p:g;18q:l;19p:g;1q:g;20p:g;7p:g,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s1,296,296,27,0.0912162162162162,FALSE,0.00941094457999303,6,2,4,11p:g;11q:g;14q:l;17p:g;20p:g;6p:l,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s15,280,280,250,0.892857142857143,FALSE,0.0871383757406762,14,6,8,11q:g;12p:g;17p:g;18q:l;19p:g;19q:g;20p:g;20q:g;22q:g;2q:l;4q:l;5p:l;6q:l;8q:l,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s2,277,277,36,0.129963898916968,FALSE,0.0125479261066574,4,1,3,11p:g;11q:g;20p:g;6p:l,3,neutral,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s16,256,256,46,0.1796875,FALSE,0.0160334611362844,6,2,4,11q:g;14q:l;17p:g;18q:l;20p:g;7p:g,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s23,238,238,145,0.609243697478992,FALSE,0.0505402579295922,8,2,6,11q:g;12p:g;16p:l;18q:l;1q:g;20p:g;20q:g;7p:g,3,neutral,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s37,237,237,25,0.105485232067511,FALSE,0.00871383757406762,2,1,1,14q:l;20p:g,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s12,236,236,28,0.11864406779661,FALSE,0.00975949808295573,4,0,4,11p:g;11q:g;17p:g;20p:g,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s6,234,234,119,0.508547008547009,FALSE,0.0414778668525619,6,2,4,11q:g;16p:l;18q:l;1q:g;20p:g;7p:g,3,neutral,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s13,213,213,164,0.769953051643193,FALSE,0.0571627744858836,8,2,6,10p:g;11q:g;12p:g;16p:l;19q:l;1q:g;20p:g;7p:g,3,neutral,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s4,202,202,39,0.193069306930693,FALSE,0.0135935866155455,6,2,4,11q:g;18q:l;19p:g;19q:g;20p:g;4q:l,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s10,195,195,150,0.769230769230769,FALSE,0.0522830254444057,13,6,7,11q:g;12p:g;17p:g;18q:l;19p:g;20p:g;20q:g;2q:l;4q:l;5p:l;6p:l;6q:l;8p:g,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s24,186,186,154,0.827956989247312,FALSE,0.0536772394562565,9,2,7,10p:g;12p:g;17p:g;18q:l;1q:g;20p:g;20q:g;6p:l;8p:g,3,neutral,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s8,173,173,135,0.780346820809249,FALSE,0.0470547228999651,11,4,7,11q:g;12p:g;17p:g;18q:l;19p:g;20p:g;20q:g;22q:g;2q:l;4q:l;6q:l,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s9,167,167,139,0.832335329341317,FALSE,0.048448936911816,11,5,6,11q:g;12p:g;17p:g;18q:l;1q:g;20p:g;20q:g;2q:l;4q:l;6p:l;6q:l,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s34,159,159,101,0.635220125786164,FALSE,0.0352039037992332,10,5,5,11q:g;12p:g;18q:l;19p:g;20p:g;20q:g;2q:l;5p:l;6q:l;8q:l,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s33,141,141,96,0.680851063829787,FALSE,0.0334611362844197,5,2,3,11q:g;18q:l;20p:g;5q:l;7p:g,3,neutral,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s28,131,131,108,0.824427480916031,FALSE,0.0376437783199721,13,4,9,10p:g;11q:g;12p:g;17p:g;18q:l;19p:g;1q:g;20p:g;20q:g;4q:l;5p:l;6p:l;8p:g,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s7,129,129,77,0.596899224806202,FALSE,0.0268386197281283,12,4,8,11q:g;12p:g;17p:g;18q:l;19p:g;19q:g;20p:g;20q:g;22q:g;2q:l;5p:l;6q:l,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s25,124,124,89,0.717741935483871,FALSE,0.0310212617636807,9,3,6,10p:g;11q:g;12p:g;18q:l;20p:g;20q:g;2q:l;5p:l;8p:g,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s35,123,123,6,0.0487804878048781,FALSE,0.00209132101777623,2,1,1,20p:g;6p:l,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s19,119,119,60,0.504201680672269,FALSE,0.0209132101777623,10,4,6,11q:g;12p:g;17p:g;18q:l;20p:g;20q:g;22q:g;2q:l;4q:l;6q:l,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
observation.observation_s30,116,116,73,0.629310344827586,FALSE,0.0254444057162774,12,5,7,11q:g;12p:g;17p:g;18q:l;19p:g;19q:g;20p:g;22q:g;2q:l;4q:l;5p:l;6q:l,4,gain,FALSE,0,GSE185381,GSM5613760_2019-11-19-count-1
