subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s9,245,245,3,0.0122448979591837,FALSE,0.00250417362270451,2,0,2,8p:g;8q:g,,,FALSE,0,GSE185381,GSM5613767_2020-03-18-AML0048-c2
observation.observation_s11,183,183,7,0.0382513661202186,FALSE,0.00584307178631052,5,1,4,3q:g;4q:g;6p:l;8p:g;8q:g,,,FALSE,0,GSE185381,GSM5613767_2020-03-18-AML0048-c2
observation.observation_s20,134,134,128,0.955223880597015,FALSE,0.106844741235392,13,4,9,10p:g;11q:l;1q:g;20p:g;20q:g;21q:g;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0.163934426229508,GSE185381,GSM5613767_2020-03-18-AML0048-c2
observation.observation_s19,126,126,109,0.865079365079365,FALSE,0.0909849749582638,16,5,11,10p:g;11p:g;11q:l;17p:g;1q:g;20p:g;21q:g;22q:g;2q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0.0327868852459016,GSE185381,GSM5613767_2020-03-18-AML0048-c2
observation.observation_s5,100,100,81,0.81,FALSE,0.0676126878130217,14,4,10,10p:g;11p:g;11q:l;17p:g;20p:g;21q:g;22q:g;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613767_2020-03-18-AML0048-c2
observation.observation_s18,100,100,31,0.31,FALSE,0.0258764607679466,0,0,0,"",,,FALSE,0,GSE185381,GSM5613767_2020-03-18-AML0048-c2
observation.observation_s1,90,90,85,0.944444444444444,FALSE,0.0709515859766277,18,5,13,10p:g;11p:g;15q:g;17p:g;1q:g;20p:g;20q:g;21q:g;22q:g;2q:l;4q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613767_2020-03-18-AML0048-c2
observation.observation_s3,88,88,74,0.840909090909091,FALSE,0.0617696160267112,13,3,10,10p:g;11p:g;17p:g;20p:g;20q:g;21q:g;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613767_2020-03-18-AML0048-c2
observation.observation_s7,80,80,75,0.9375,FALSE,0.0626043405676127,14,5,9,10p:g;11p:g;11q:l;16p:l;1q:g;20p:g;20q:g;21q:g;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g,,,FALSE,0.0655737704918033,GSE185381,GSM5613767_2020-03-18-AML0048-c2
observation.observation_s12,74,74,64,0.864864864864865,FALSE,0.0534223706176962,18,6,12,10p:g;11q:l;12p:g;12q:g;17p:g;1q:g;20p:g;21q:g;22q:g;2q:l;4q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613767_2020-03-18-AML0048-c2
