subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s2,1p,loss,45,376,0.11968085106383,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,1p,gain,31,376,0.0824468085106383,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,1q,loss,38,298,0.12751677852349,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,1q,gain,93,298,0.312080536912752,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,2p,gain,59,201,0.293532338308458,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,2q,gain,75,256,0.29296875,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,3q,gain,102,204,0.5,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,6p,loss,101,174,0.580459770114943,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,6p,gain,3,174,0.0172413793103448,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,6q,gain,40,145,0.275862068965517,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,7q,gain,126,216,0.583333333333333,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,8p,gain,44,76,0.578947368421053,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,8q,loss,61,145,0.420689655172414,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,9q,gain,42,186,0.225806451612903,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,10p,gain,52,60,0.866666666666667,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,10q,gain,121,204,0.593137254901961,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,11p,loss,31,113,0.274336283185841,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,11p,gain,38,113,0.336283185840708,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,11q,gain,1,261,0.00383141762452107,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,11q,loss,41,261,0.157088122605364,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,12q,loss,50,290,0.172413793103448,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,13q,gain,53,126,0.420634920634921,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,14q,gain,47,234,0.200854700854701,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,15q,gain,56,225,0.248888888888889,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,16p,gain,49,171,0.286549707602339,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,16q,gain,25,141,0.177304964539007,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,17p,gain,42,115,0.365217391304348,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,17q,gain,130,315,0.412698412698413,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,17q,loss,37,315,0.117460317460317,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,19p,loss,147,240,0.6125,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,19q,loss,181,199,0.909547738693467,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,20q,loss,55,129,0.426356589147287,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,21q,gain,49,62,0.790322580645161,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s2,22q,gain,33,172,0.191860465116279,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,1p,gain,54,376,0.143617021276596,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,1q,gain,22,298,0.0738255033557047,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,5q,gain,24,275,0.0872727272727273,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,6p,gain,95,174,0.545977011494253,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,6q,gain,33,145,0.227586206896552,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,7p,gain,52,125,0.416,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,8q,gain,71,145,0.489655172413793,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,9q,gain,47,186,0.252688172043011,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,11q,loss,73,261,0.279693486590038,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,14q,loss,99,234,0.423076923076923,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,15q,gain,41,225,0.182222222222222,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,16p,gain,38,171,0.222222222222222,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,17p,gain,56,115,0.486956521739131,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,17q,gain,5,315,0.0158730158730159,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s6,19p,gain,29,240,0.120833333333333,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,1p,gain,36,376,0.0957446808510638,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,2q,loss,55,256,0.21484375,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,5q,gain,26,275,0.0945454545454546,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,6p,gain,95,174,0.545977011494253,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,6q,gain,29,145,0.2,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,7p,gain,40,125,0.32,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,8q,gain,60,145,0.413793103448276,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,9q,gain,127,186,0.682795698924731,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,11q,loss,72,261,0.275862068965517,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,14q,loss,104,234,0.444444444444444,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,15q,gain,39,225,0.173333333333333,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,16p,gain,54,171,0.315789473684211,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,17p,gain,115,115,1,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,17q,gain,8,315,0.0253968253968254,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,19p,gain,48,240,0.2,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s1,22q,gain,33,172,0.191860465116279,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,1q,gain,27,298,0.0906040268456376,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,6p,gain,47,174,0.270114942528736,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,6q,gain,42,145,0.289655172413793,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,7p,gain,40,125,0.32,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,8q,gain,65,145,0.448275862068966,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,9q,gain,49,186,0.263440860215054,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,11q,loss,66,261,0.252873563218391,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,13q,gain,46,126,0.365079365079365,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,15q,gain,81,225,0.36,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,17p,gain,32,115,0.278260869565217,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,17q,gain,51,315,0.161904761904762,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,19q,loss,58,199,0.291457286432161,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s4,21q,gain,42,62,0.67741935483871,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,1p,gain,53,376,0.140957446808511,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,5q,gain,28,275,0.101818181818182,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,6p,gain,102,174,0.586206896551724,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,6q,gain,21,145,0.144827586206897,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,7p,gain,52,125,0.416,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,9q,gain,32,186,0.172043010752688,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,11q,gain,39,261,0.149425287356322,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,11q,loss,73,261,0.279693486590038,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,14q,loss,87,234,0.371794871794872,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,15q,gain,33,225,0.146666666666667,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,16p,gain,48,171,0.280701754385965,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,17p,gain,115,115,1,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,17q,gain,7,315,0.0222222222222222,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,19p,gain,46,240,0.191666666666667,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s5,21q,gain,26,62,0.419354838709677,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s8,1p,gain,53,376,0.140957446808511,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s8,1q,gain,24,298,0.0805369127516778,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s8,2q,loss,60,256,0.234375,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s8,5q,gain,24,275,0.0872727272727273,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s8,6p,gain,98,174,0.563218390804598,TRUE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s8,6q,gain,34,145,0.23448275862069,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
observation.observation_s8,7p,gain,53,125,0.424,FALSE,GSE185381,GSM5613768_2020-03-18-AML3266
