subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s6,134,134,50,0.373134328358209,FALSE,0.347222222222222,1,0,1,12p:g,,,FALSE,0,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,105,105,32,0.304761904761905,FALSE,0.222222222222222,9,2,7,11p:g;12q:g;16p:l;17p:g;19q:g;1q:g;20p:g;5p:l;8p:g,,,FALSE,0,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s1,94,94,46,0.48936170212766,FALSE,0.319444444444444,8,2,6,11p:g;16p:l;17p:g;19q:g;1q:g;20p:g;20q:g;5p:l,,,FALSE,0,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s2,92,92,7,0.0760869565217391,FALSE,0.0486111111111111,6,0,6,11p:g;12q:g;17p:g;19q:g;20p:g;6p:g,,,FALSE,0,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s7,45,45,1,0.0222222222222222,FALSE,0.00694444444444444,1,0,1,9q:g,,,FALSE,0,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s4,11,11,3,0.272727272727273,FALSE,0.0208333333333333,3,1,2,11p:g;19q:g;5p:l,,,FALSE,0,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s5,7,7,2,0.285714285714286,FALSE,0.0138888888888889,4,0,4,16q:g;17p:g;17q:g;19p:g,,,FALSE,0,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s9,3,3,1,0.333333333333333,FALSE,0.00694444444444444,8,3,5,11p:g;18p:l;18q:l;19q:g;20p:g;20q:g;3q:g;4q:l,,,FALSE,0,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s10,2,2,2,1,FALSE,0.0138888888888889,15,5,10,10q:g;11p:g;11q:g;16p:l;17p:g;18p:l;18q:l;19q:g;1q:g;21q:g;22q:g;3p:l;5p:l;5q:g;6p:g,,,FALSE,0,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s8,1,1,0,0,FALSE,0,16,6,10,10q:g;11p:g;11q:g;12p:g;14q:l;18q:l;1q:g;20p:g;20q:g;22q:g;2q:l;3q:g;4p:g;6p:l;6q:l;8p:l,,,FALSE,0,GSE185381,GSM5613774_2020-08-26-Control4003-c1
