subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s6,12p,gain,48,57,0.842105263157895,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s6,17q,gain,31,160,0.19375,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s9,5q,gain,40,151,0.264900662251656,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s9,6p,gain,59,111,0.531531531531532,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s9,7q,loss,23,102,0.225490196078431,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s9,11q,loss,37,162,0.228395061728395,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s9,12q,gain,120,153,0.784313725490196,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s9,17p,gain,38,59,0.64406779661017,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,1p,gain,66,212,0.311320754716981,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,1q,gain,74,158,0.468354430379747,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,2q,loss,99,138,0.717391304347826,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,5p,loss,21,21,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,5q,loss,30,151,0.198675496688742,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,5q,gain,29,151,0.19205298013245,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,6p,gain,42,111,0.378378378378378,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,7q,gain,29,102,0.284313725490196,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,11p,gain,67,67,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,11q,gain,44,162,0.271604938271605,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,11q,loss,41,162,0.253086419753086,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,12q,gain,67,153,0.437908496732026,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,14q,loss,52,133,0.390977443609023,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,17p,gain,41,59,0.694915254237288,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,19p,gain,31,142,0.21830985915493,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,19q,gain,112,112,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,20p,gain,32,32,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,20q,gain,64,64,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s8,22q,gain,48,83,0.578313253012048,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,1p,gain,20,212,0.0943396226415094,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,1q,gain,71,158,0.449367088607595,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,5p,loss,21,21,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,5q,loss,29,151,0.19205298013245,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,5q,gain,27,151,0.178807947019868,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,6p,gain,59,111,0.531531531531532,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,11p,gain,67,67,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,11q,gain,43,162,0.265432098765432,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,11q,loss,41,162,0.253086419753086,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,12q,gain,51,153,0.333333333333333,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,17p,gain,45,59,0.76271186440678,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,18p,loss,15,15,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,18q,loss,31,31,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,19p,gain,142,142,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,19q,gain,112,112,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,20p,gain,32,32,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,20q,gain,44,64,0.6875,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s5,22q,gain,83,83,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,1p,gain,14,212,0.0660377358490566,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,1q,gain,99,158,0.626582278481013,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,5p,loss,21,21,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,5q,loss,37,151,0.245033112582781,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,5q,gain,25,151,0.165562913907285,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,7q,gain,48,102,0.470588235294118,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,11p,gain,67,67,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,11q,gain,39,162,0.240740740740741,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,11q,loss,42,162,0.259259259259259,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,12q,gain,82,153,0.535947712418301,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,14q,loss,45,133,0.338345864661654,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,17p,gain,42,59,0.711864406779661,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,19p,gain,57,142,0.401408450704225,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,19q,gain,112,112,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,20p,gain,32,32,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,20q,gain,45,64,0.703125,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s14,22q,gain,21,83,0.253012048192771,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,1p,gain,17,212,0.080188679245283,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,1q,gain,76,158,0.481012658227848,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,3p,loss,51,102,0.5,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,5p,loss,21,21,1,TRUE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,5q,loss,1,151,0.00662251655629139,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,5q,gain,64,151,0.423841059602649,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,7q,gain,34,102,0.333333333333333,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,11p,gain,29,67,0.432835820895522,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,11q,gain,41,162,0.253086419753086,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,11q,loss,46,162,0.283950617283951,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
observation.observation_s3,12q,gain,48,153,0.313725490196078,FALSE,GSE185381,GSM5613775_2020-08-26-Control4003-c2
