subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s14,246,246,38,0.154471544715447,FALSE,0.046740467404674,6,0,6,11p:g;17p:g;19q:g;20p:g;20q:g;22q:g,4,gain,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s4,197,197,3,0.0152284263959391,FALSE,0.003690036900369,2,0,2,12q:g;9q:g,3,neutral,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,173,173,57,0.329479768786127,FALSE,0.0701107011070111,7,0,7,11p:g;17p:g;19p:g;19q:g;20p:g;20q:g;22q:g,4,gain,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s22,155,155,39,0.251612903225806,FALSE,0.0479704797047971,3,0,3,12p:g;1q:g;20p:g,3,neutral,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s26,141,141,15,0.106382978723404,FALSE,0.018450184501845,4,0,4,12p:g;13q:g;4p:g;4q:g,3,neutral,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s23,118,118,5,0.0423728813559322,FALSE,0.00615006150061501,2,0,2,13q:g;6q:g,3,neutral,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s17,117,117,41,0.35042735042735,FALSE,0.0504305043050431,5,0,5,11p:g;17p:g;19q:g;20p:g;20q:g,4,gain,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s1,111,111,95,0.855855855855856,FALSE,0.116851168511685,11,3,8,10p:g;13q:g;19p:l;19q:l;1p:g;21q:g;3q:g;4p:g;6q:g;7p:g;8q:l,3,neutral,FALSE,0.318181818181818,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s16,105,105,46,0.438095238095238,FALSE,0.0565805658056581,7,0,7,10p:g;12p:g;13q:g;17p:g;4p:g;4q:g;6q:g,4,gain,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s25,102,102,89,0.872549019607843,FALSE,0.109471094710947,15,3,12,10p:g;12p:g;13q:g;19p:l;19q:l;21q:g;2p:g;2q:g;3q:g;4p:g;6q:g;7p:g;7q:g;8p:g;8q:l,3,neutral,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s10,101,101,34,0.336633663366337,FALSE,0.041820418204182,3,0,3,12p:g;13q:g;6q:g,3,neutral,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s7,99,99,12,0.121212121212121,FALSE,0.014760147601476,4,1,3,13q:g;1q:l;3q:g;6q:g,3,neutral,FALSE,0,GSE185381,GSM5613781_2020-10-06-count2
