subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s5,262,262,222,0.847328244274809,FALSE,0.191544434857636,7,4,3,10p:g;12p:g;17p:l;18p:l;18q:l;1q:g;5q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,193,193,5,0.0259067357512953,FALSE,0.00431406384814495,8,3,5,11p:g;12q:g;17p:l;18p:l;18q:l;19p:g;19q:g;22q:g,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,192,192,17,0.0885416666666667,FALSE,0.0146678170836928,8,4,4,11p:g;12p:g;17p:l;18p:l;18q:l;4q:g;5q:l;6q:g,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,184,184,24,0.130434782608696,FALSE,0.0207075064710958,11,4,7,11p:g;11q:g;12p:g;17p:l;18p:l;18q:l;19p:g;19q:g;22q:g;5q:l;6p:g,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,182,182,82,0.450549450549451,FALSE,0.0707506471095772,11,3,8,11p:g;11q:g;12p:g;12q:g;18p:l;18q:l;19p:g;19q:g;22q:g;5q:l;6p:g,,,FALSE,0,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,179,179,31,0.173184357541899,FALSE,0.0267471958584987,8,4,4,11p:g;12p:g;17p:l;18p:l;18q:l;19p:g;19q:g;5q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,173,173,4,0.023121387283237,FALSE,0.00345125107851596,6,3,3,11p:g;12p:g;17p:l;18p:l;18q:l;19p:g,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,172,172,18,0.104651162790698,FALSE,0.0155306298533218,8,2,6,11p:g;11q:g;12p:g;18p:l;18q:l;19p:g;19q:g;22q:g,,,FALSE,0,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,146,146,86,0.589041095890411,FALSE,0.0742018981880932,7,3,4,10p:g;18p:l;18q:l;19p:g;1q:g;22q:g;5q:l,,,FALSE,0,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,144,144,0,0,FALSE,0,9,4,5,11p:g;12p:g;12q:g;17p:l;18p:l;18q:l;19p:g;22q:g;5q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s25,143,143,2,0.013986013986014,FALSE,0.00172562553925798,5,3,2,11p:g;17p:l;18p:l;18q:l;22q:g,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s20,139,139,18,0.129496402877698,FALSE,0.0155306298533218,6,4,2,11p:g;12p:g;17p:l;18p:l;18q:l;5q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s26,138,138,13,0.0942028985507246,FALSE,0.0112165660051769,6,3,3,12p:g;17p:l;18p:l;18q:l;1q:g;3q:g,,,FALSE,0.980392156862745,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s1,137,137,1,0.0072992700729927,FALSE,0.000862812769628991,5,3,2,11p:g;12p:g;17p:l;18p:l;18q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s33,132,132,87,0.659090909090909,FALSE,0.0750647109577222,8,4,4,10p:g;12p:g;17p:l;18p:l;18q:l;19p:g;3q:g;5q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s43,131,131,43,0.32824427480916,FALSE,0.0371009490940466,8,3,5,11p:g;11q:g;18p:l;18q:l;19p:g;19q:g;22q:g;5q:l,,,FALSE,0,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s12,129,129,10,0.0775193798449612,FALSE,0.00862812769628991,5,3,2,11p:g;18p:l;18q:l;19p:g;5q:l,,,FALSE,0,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s31,123,123,9,0.0731707317073171,FALSE,0.00776531492666091,7,4,3,12p:g;17p:l;18p:l;18q:l;19p:g;3q:g;5q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s39,120,120,1,0.00833333333333333,FALSE,0.000862812769628991,7,4,3,11p:g;12q:g;17p:l;18p:l;18q:l;19p:g;5q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s6,117,117,7,0.0598290598290598,FALSE,0.00603968938740293,4,2,2,11p:g;18p:l;18q:l;19p:g,,,FALSE,0,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s15,117,117,69,0.58974358974359,FALSE,0.0595340811044003,8,5,3,10p:g;12p:g;16p:l;17p:l;18p:l;18q:l;3q:g;5q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s56,112,112,6,0.0535714285714286,FALSE,0.00517687661777394,7,4,3,12p:g;17p:l;18p:l;18q:l;19p:g;19q:g;5q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s50,108,108,2,0.0185185185185185,FALSE,0.00172562553925798,5,2,3,11p:g;12p:g;12q:g;17p:l;18p:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s53,103,103,0,0,FALSE,0,6,3,3,12p:g;12q:g;17p:l;18p:l;18q:l;4q:g,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s62,102,102,2,0.0196078431372549,FALSE,0.00172562553925798,6,3,3,11p:g;12p:g;17p:l;18p:l;18q:l;19p:g,,,FALSE,0.705882352941177,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s47,99,99,5,0.0505050505050505,FALSE,0.00431406384814495,11,5,6,11p:g;11q:g;12q:g;17p:l;18p:l;18q:l;19p:g;1p:g;22q:g;5q:l;6q:l,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s14,96,96,17,0.177083333333333,FALSE,0.0146678170836928,9,4,5,11p:g;12p:g;17p:l;18p:l;18q:l;19q:g;3q:g;5q:l;6q:g,,,FALSE,0.725490196078431,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s61,94,94,5,0.0531914893617021,FALSE,0.00431406384814495,6,3,3,11p:g;12p:g;17p:l;18p:l;18q:l;19p:g,,,FALSE,1,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s16,89,89,31,0.348314606741573,FALSE,0.0267471958584987,7,4,3,10p:g;12p:g;17p:l;18p:l;18q:l;1q:g;5q:l,,,FALSE,0.882352941176471,GSE185381,GSM5613785_2021-03-09-AML3948
