subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s9,183,183,110,0.601092896174863,FALSE,0.227272727272727,3,0,3,12p:g;13q:g;3q:g,3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s1,174,174,25,0.14367816091954,FALSE,0.0516528925619835,1,0,1,13q:g,3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s8,142,142,47,0.330985915492958,FALSE,0.0971074380165289,3,0,3,17p:g;19q:g;20p:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s7,131,131,10,0.0763358778625954,FALSE,0.0206611570247934,4,0,4,11p:g;12q:g;17p:g;20p:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s10,121,121,51,0.421487603305785,FALSE,0.105371900826446,5,0,5,11p:g;17p:g;19p:g;19q:g;20p:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s6,112,112,2,0.0178571428571429,FALSE,0.00413223140495868,1,0,1,11p:g,3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s19,97,97,30,0.309278350515464,FALSE,0.0619834710743802,0,0,0,"",3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s12,96,96,36,0.375,FALSE,0.0743801652892562,3,0,3,17p:g;19q:g;20p:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s3,80,80,12,0.15,FALSE,0.0247933884297521,5,0,5,11p:g;17p:g;19q:g;20p:g;22q:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s4,80,80,32,0.4,FALSE,0.0661157024793388,3,0,3,11p:g;17p:g;20p:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s21,74,74,27,0.364864864864865,FALSE,0.0557851239669422,1,0,1,2q:g,3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s2,70,70,9,0.128571428571429,FALSE,0.0185950413223141,2,0,2,13q:g;6q:g,3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s14,67,67,35,0.522388059701493,FALSE,0.0723140495867769,4,0,4,17p:g;19q:g;1q:g;20p:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s17,47,47,11,0.234042553191489,FALSE,0.0227272727272727,3,0,3,17p:g;1q:g;20p:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s5,43,43,17,0.395348837209302,FALSE,0.0351239669421488,4,0,4,11p:g;17p:g;19q:g;20p:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s11,41,41,7,0.170731707317073,FALSE,0.0144628099173554,1,0,1,20p:g,3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s13,27,27,3,0.111111111111111,FALSE,0.00619834710743802,0,0,0,"",3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s24,19,19,4,0.210526315789474,FALSE,0.00826446280991736,3,0,3,15q:g;17p:g;20p:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s20,11,11,5,0.454545454545455,FALSE,0.0103305785123967,1,0,1,1q:g,3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s15,9,9,5,0.555555555555556,FALSE,0.0103305785123967,7,1,6,11p:g;17q:g;18q:l;19p:g;20p:g;20q:g;22q:g,3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s16,4,4,1,0.25,FALSE,0.00206611570247934,5,0,5,10q:g;11p:g;19p:g;6q:g;8p:g,3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s18,4,4,0,0,FALSE,0,4,0,4,17p:g;21q:g;22q:g;4q:g,4,gain,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
observation.observation_s23,4,4,2,0.5,FALSE,0.00413223140495868,3,2,1,18p:l;18q:l;7q:g,3,neutral,FALSE,0,GSE185381,GSM5613787_2021-03-09-count1_0.95
