subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s12,1p,gain,60,221,0.271493212669683,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s12,3q,gain,36,132,0.272727272727273,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s12,5q,gain,17,175,0.0971428571428571,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,1p,gain,147,221,0.665158371040724,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,5q,gain,28,175,0.16,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,6q,loss,48,98,0.489795918367347,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,7p,gain,70,70,1,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,7q,gain,21,121,0.173553719008264,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,9q,gain,54,100,0.54,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,11q,loss,30,143,0.20979020979021,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,12q,gain,105,186,0.564516129032258,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,14q,loss,94,150,0.626666666666667,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,17p,gain,59,66,0.893939393939394,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,19p,gain,75,150,0.5,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,22q,gain,75,93,0.806451612903226,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s4,2p,gain,39,125,0.312,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s4,2q,gain,2,167,0.0119760479041916,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s4,17q,gain,45,174,0.258620689655172,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s4,20p,gain,21,32,0.65625,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s4,20q,gain,23,78,0.294871794871795,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,1p,gain,58,221,0.262443438914027,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,3p,gain,83,114,0.728070175438597,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,3q,loss,59,132,0.446969696969697,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,5q,gain,29,175,0.165714285714286,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,6q,loss,41,98,0.418367346938776,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,11p,gain,72,72,1,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,11q,gain,6,143,0.041958041958042,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,12q,gain,99,186,0.532258064516129,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,14q,loss,72,150,0.48,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,17p,gain,59,66,0.893939393939394,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,19p,gain,44,150,0.293333333333333,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,22q,gain,51,93,0.548387096774194,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,1p,gain,116,221,0.524886877828054,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,1q,gain,76,193,0.393782383419689,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,4q,loss,30,97,0.309278350515464,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,5q,gain,43,175,0.245714285714286,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,7p,gain,24,70,0.342857142857143,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,7q,gain,51,121,0.421487603305785,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,11p,gain,4,72,0.0555555555555556,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,11q,gain,58,143,0.405594405594406,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,11q,loss,51,143,0.356643356643357,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,12q,gain,74,186,0.397849462365591,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,17p,gain,46,66,0.696969696969697,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,18p,loss,21,21,1,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,18q,loss,46,46,1,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,19p,gain,150,150,1,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,19q,gain,84,114,0.736842105263158,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s5,1p,gain,51,221,0.230769230769231,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s5,3p,gain,60,114,0.526315789473684,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s5,5q,gain,17,175,0.0971428571428571,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s5,6q,loss,40,98,0.408163265306122,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s5,11p,gain,47,72,0.652777777777778,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s5,12q,gain,103,186,0.553763440860215,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s5,17p,gain,66,66,1,TRUE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s5,17q,gain,40,174,0.229885057471264,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s5,19p,gain,71,150,0.473333333333333,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s10,1p,gain,98,221,0.443438914027149,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s10,5q,gain,17,175,0.0971428571428571,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s10,6q,loss,40,98,0.408163265306122,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s10,11q,loss,24,143,0.167832167832168,FALSE,GSE185381,GSM5613789_2021-03-09-Z-1-2
