subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s12,92,92,4,0.0434782608695652,FALSE,0.0408163265306122,0,0,0,"",,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s6,83,83,1,0.0120481927710843,FALSE,0.0102040816326531,8,1,7,12q:g;14q:l;17p:g;19p:g;1p:g;22q:g;7p:g;9q:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s4,75,75,26,0.346666666666667,FALSE,0.26530612244898,1,0,1,20p:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s3,66,66,0,0,FALSE,0,5,0,5,11p:g;12q:g;17p:g;22q:g;3p:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s8,64,64,45,0.703125,FALSE,0.459183673469388,6,2,4,17p:g;18p:l;18q:l;19p:g;19q:g;1p:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s5,63,63,1,0.0158730158730159,FALSE,0.0102040816326531,4,0,4,11p:g;12q:g;17p:g;3p:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s10,49,49,0,0,FALSE,0,2,0,2,12q:g;17p:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s1,26,26,2,0.0769230769230769,FALSE,0.0204081632653061,2,0,2,11q:g;4q:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s2,26,26,4,0.153846153846154,FALSE,0.0408163265306122,5,1,4,19q:l;20p:g;22q:g;7p:g;7q:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s9,25,25,7,0.28,FALSE,0.0714285714285714,6,1,5,19q:l;1p:g;22q:g;3q:g;7p:g;7q:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s14,21,21,1,0.0476190476190476,FALSE,0.0102040816326531,1,1,0,3q:l,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s7,17,17,1,0.0588235294117647,FALSE,0.0102040816326531,2,0,2,17p:g;1p:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s13,8,8,2,0.25,FALSE,0.0204081632653061,3,0,3,12q:g;22q:g;3p:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s15,6,6,2,0.333333333333333,FALSE,0.0204081632653061,5,1,4,19q:l;20p:g;3p:g;3q:g;4p:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s11,4,4,1,0.25,FALSE,0.0102040816326531,6,1,5,17p:g;17q:g;4p:l;6p:g;7p:g;8q:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s18,2,2,1,0.5,FALSE,0.0102040816326531,14,4,10,11q:g;14q:l;17q:g;18p:g;1q:l;20p:g;20q:g;3p:g;4p:g;6p:g;6q:l;7p:g;8q:l;9p:g,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s16,1,1,0,0,FALSE,0,14,5,9,11q:g;12p:l;12q:g;13q:g;14q:l;17p:g;17q:g;19p:g;3p:g;4p:g;6q:l;7p:l;7q:g;9p:l,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
observation.observation_s17,1,1,0,0,FALSE,0,18,5,13,10q:g;11p:g;11q:g;12q:g;17p:g;18p:l;19p:g;19q:g;20q:l;22q:g;3p:g;4p:g;4q:g;5p:l;5q:l;6p:g;7q:g;8q:l,,,FALSE,0,GSE185381,GSM5613789_2021-03-09-Z-1-2
