subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
reference_normal.reference_normal_s2,2p,gain,45,172,0.261627906976744,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s2,3q,gain,65,153,0.42483660130719,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s13,12q,gain,58,248,0.233870967741935,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s4,9q,gain,55,162,0.339506172839506,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s21,1q,gain,51,274,0.186131386861314,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s11,10q,gain,93,160,0.58125,TRUE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s23,17q,gain,83,267,0.310861423220974,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s27,1p,gain,64,327,0.195718654434251,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s27,1q,gain,99,274,0.361313868613139,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s14,1p,gain,106,327,0.324159021406728,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s14,1q,gain,7,274,0.0255474452554745,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s14,2p,gain,88,172,0.511627906976744,TRUE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s14,3q,gain,51,153,0.333333333333333,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s16,11q,gain,104,236,0.440677966101695,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s20,2q,gain,69,224,0.308035714285714,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s20,7q,gain,78,193,0.404145077720207,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s20,13q,gain,44,96,0.458333333333333,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s20,14q,gain,24,213,0.112676056338028,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s29,2q,gain,150,224,0.669642857142857,TRUE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s29,3p,gain,51,176,0.289772727272727,FALSE,GSE185381,GSM5613800_2021-04-29-0102_cDNA
