subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation,9,9,3,0.333333333333333,FALSE,1,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s17,129,129,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s12,120,120,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s8,107,107,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s10,101,101,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s18,86,86,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s1,82,82,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s5,70,70,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s2,69,69,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s3,61,61,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s7,59,59,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s13,53,53,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s24,51,51,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s4,47,47,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s9,46,46,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s21,46,46,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s15,40,40,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s11,38,38,0,0,TRUE,0,1,0,1,10q:g,,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s6,34,34,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s23,33,33,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s26,33,33,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s27,27,27,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s22,25,25,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s14,24,24,0,0,TRUE,0,1,0,1,2p:g,,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s25,23,23,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s19,20,20,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s16,19,19,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s28,16,16,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s20,6,6,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s29,2,2,0,0,TRUE,0,7,1,6,17p:l;2q:g;3q:g;4p:g;8p:g;8q:g;9p:g,,,FALSE,0.505494505494506,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s30,1,1,0,0,TRUE,0,6,0,6,13q:g;2q:g;4q:g;5p:g;5q:g;8q:g,,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s31,1,1,0,0,TRUE,0,8,4,4,13q:l;19q:g;20p:l;22q:g;2p:g;4q:l;5p:l;7p:g,,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
reference_normal.reference_normal_s32,1,1,0,0,TRUE,0,4,1,3,10p:g;19q:l;21q:g;7p:g,,,FALSE,0,GSE185381,GSM5613800_2021-04-29-0102_cDNA
