subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s38,389,389,0,0,FALSE,0,4,1,3,10p:l;19p:g;20p:g;7p:g,3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s21,309,309,0,0,FALSE,0,6,1,5,10p:l;17p:g;19p:g;19q:g;20p:g;7p:g,3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s17,299,299,0,0,FALSE,0,2,0,2,16p:g;19q:g,3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s50,290,290,0,0,FALSE,0,2,0,2,16p:g;9p:g,3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s13,264,264,0,0,FALSE,0,1,0,1,16p:g,3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s25,252,252,0,0,FALSE,0,2,0,2,20p:g;7p:g,3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s37,239,239,0,0,FALSE,0,3,0,3,16p:g;19q:g;9p:g,3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s14,235,235,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s60,219,219,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s29,214,214,0,0,FALSE,0,2,0,2,17p:g;7p:g,3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s52,192,192,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s42,174,174,0,0,FALSE,0,2,0,2,19p:g;19q:g,3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s53,174,174,0,0,FALSE,0,5,1,4,10p:l;16p:g;17p:g;19p:g;19q:g,3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
observation.observation_s44,164,164,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE201966,GSM6085180_AML02M5_RE
