subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s17,4p,gain,28,28,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s17,4q,gain,55,55,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s17,5p,gain,13,13,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s17,5q,gain,25,118,0.211864406779661,FALSE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s17,9q,gain,68,71,0.957746478873239,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s17,14q,gain,12,103,0.116504854368932,FALSE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s17,16p,loss,36,70,0.514285714285714,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s17,19p,gain,30,117,0.256410256410256,FALSE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s17,20p,gain,28,28,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s17,20q,gain,50,50,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s17,22q,gain,72,72,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,1p,gain,4,158,0.0253164556962025,FALSE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,1q,gain,62,144,0.430555555555556,FALSE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,3p,loss,57,80,0.7125,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,4p,gain,28,28,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,4q,gain,55,55,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,7p,gain,50,50,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,7q,gain,11,77,0.142857142857143,FALSE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,9p,gain,13,23,0.565217391304348,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,9q,gain,71,71,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,10p,gain,26,26,1,TRUE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,10q,gain,30,71,0.422535211267606,FALSE,GSE201966,GSM6085181_AML03M5_P
observation.observation_s48,12p,gain,36,36,1,TRUE,GSE201966,GSM6085181_AML03M5_P
