subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s5,1p,gain,40,190,0.210526315789474,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,1p,loss,20,190,0.105263157894737,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,1q,loss,75,161,0.46583850931677,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,4p,gain,10,33,0.303030303030303,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,4q,gain,68,68,1,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,5q,gain,68,142,0.47887323943662,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,6p,gain,59,115,0.51304347826087,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,6q,gain,9,66,0.136363636363636,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,7q,loss,35,91,0.384615384615385,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,8q,gain,48,67,0.716417910447761,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,9q,gain,40,71,0.563380281690141,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,11p,gain,39,69,0.565217391304348,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,11q,gain,5,148,0.0337837837837838,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,11q,loss,41,148,0.277027027027027,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,13q,gain,57,63,0.904761904761905,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,14q,loss,115,123,0.934959349593496,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,19p,gain,41,128,0.3203125,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s5,22q,gain,31,91,0.340659340659341,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s3,1q,gain,49,161,0.304347826086957,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s3,11q,loss,22,148,0.148648648648649,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s3,12p,gain,45,52,0.865384615384615,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s4,3q,gain,77,86,0.895348837209302,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s4,10q,gain,37,77,0.480519480519481,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s4,17p,loss,2,57,0.0350877192982456,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s4,17q,loss,36,149,0.241610738255034,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s4,19q,loss,56,120,0.466666666666667,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s4,22q,gain,22,91,0.241758241758242,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s11,19p,gain,78,128,0.609375,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s11,19q,gain,30,120,0.25,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s6,1q,gain,91,161,0.565217391304348,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s6,19q,loss,54,120,0.45,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,1p,gain,4,190,0.0210526315789474,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,1q,gain,72,161,0.447204968944099,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,5p,loss,22,22,1,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,5q,loss,14,142,0.0985915492957746,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,6p,gain,57,115,0.495652173913044,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,11q,loss,35,148,0.236486486486487,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,12q,gain,74,136,0.544117647058824,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,14q,loss,49,123,0.398373983739837,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,16p,loss,44,71,0.619718309859155,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,19p,gain,16,128,0.125,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,19q,gain,85,120,0.708333333333333,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,20p,gain,34,34,1,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s2,20q,gain,57,57,1,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s1,17p,gain,19,57,0.333333333333333,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s1,17q,gain,46,149,0.308724832214765,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s12,4p,gain,11,33,0.333333333333333,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s12,4q,gain,43,68,0.632352941176471,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s12,5q,gain,84,142,0.591549295774648,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s12,9p,gain,31,31,1,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s12,9q,gain,71,71,1,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s12,17q,gain,126,149,0.845637583892617,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s15,3p,gain,31,95,0.326315789473684,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s15,3q,gain,41,86,0.476744186046512,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s15,12q,loss,50,136,0.367647058823529,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s15,19p,gain,10,128,0.078125,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s15,19q,gain,67,120,0.558333333333333,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s8,1p,loss,18,190,0.0947368421052632,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s8,1q,loss,40,161,0.248447204968944,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s8,5q,gain,45,142,0.316901408450704,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s8,7q,loss,21,91,0.230769230769231,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s8,11p,gain,41,69,0.594202898550725,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s8,11q,gain,7,148,0.0472972972972973,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s8,11q,loss,19,148,0.128378378378378,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s14,4q,gain,54,68,0.794117647058824,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s14,7p,gain,57,57,1,TRUE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s14,7q,gain,15,91,0.164835164835165,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s14,7q,loss,20,91,0.21978021978022,FALSE,GSE201966,GSM6085182_AML03M5_RE
observation.observation_s14,11q,loss,44,148,0.297297297297297,FALSE,GSE201966,GSM6085182_AML03M5_RE
