subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s4,5q,gain,18,291,0.0618556701030928,FALSE,GSE227903,3853_Dg
observation.observation_s4,10p,gain,26,70,0.371428571428571,FALSE,GSE227903,3853_Dg
observation.observation_s4,12q,gain,80,326,0.245398773006135,FALSE,GSE227903,3853_Dg
observation.observation_s4,17p,gain,43,124,0.346774193548387,FALSE,GSE227903,3853_Dg
observation.observation_s4,17q,gain,59,355,0.166197183098592,FALSE,GSE227903,3853_Dg
observation.observation_s4,19p,gain,110,274,0.401459854014599,FALSE,GSE227903,3853_Dg
observation.observation_s4,19q,gain,24,211,0.113744075829384,FALSE,GSE227903,3853_Dg
observation.observation_s1,5q,gain,21,291,0.0721649484536082,FALSE,GSE227903,3853_Dg
observation.observation_s1,9q,gain,29,213,0.136150234741784,FALSE,GSE227903,3853_Dg
observation.observation_s1,10p,gain,37,70,0.528571428571429,TRUE,GSE227903,3853_Dg
observation.observation_s1,11q,gain,43,302,0.142384105960265,FALSE,GSE227903,3853_Dg
observation.observation_s1,12q,gain,115,326,0.352760736196319,FALSE,GSE227903,3853_Dg
observation.observation_s1,17p,gain,63,124,0.508064516129032,TRUE,GSE227903,3853_Dg
observation.observation_s1,17q,gain,125,355,0.352112676056338,FALSE,GSE227903,3853_Dg
observation.observation_s1,19p,gain,200,274,0.72992700729927,TRUE,GSE227903,3853_Dg
observation.observation_s1,19q,gain,38,211,0.180094786729858,FALSE,GSE227903,3853_Dg
observation.observation_s1,20q,gain,40,137,0.291970802919708,FALSE,GSE227903,3853_Dg
observation.observation_s1,22q,gain,43,200,0.215,FALSE,GSE227903,3853_Dg
observation.observation_s15,1q,gain,21,357,0.0588235294117647,FALSE,GSE227903,3853_Dg
observation.observation_s15,5q,gain,15,291,0.0515463917525773,FALSE,GSE227903,3853_Dg
observation.observation_s15,10p,gain,62,70,0.885714285714286,TRUE,GSE227903,3853_Dg
observation.observation_s15,17q,gain,66,355,0.185915492957746,FALSE,GSE227903,3853_Dg
observation.observation_s15,18q,gain,50,71,0.704225352112676,TRUE,GSE227903,3853_Dg
observation.observation_s18,3q,gain,66,224,0.294642857142857,FALSE,GSE227903,3853_Dg
observation.observation_s18,5q,gain,19,291,0.0652920962199313,FALSE,GSE227903,3853_Dg
observation.observation_s18,6p,gain,36,224,0.160714285714286,FALSE,GSE227903,3853_Dg
observation.observation_s18,7p,gain,34,128,0.265625,FALSE,GSE227903,3853_Dg
observation.observation_s18,10p,gain,65,70,0.928571428571429,TRUE,GSE227903,3853_Dg
observation.observation_s18,17p,gain,35,124,0.282258064516129,FALSE,GSE227903,3853_Dg
observation.observation_s18,17q,gain,55,355,0.154929577464789,FALSE,GSE227903,3853_Dg
observation.observation_s18,18q,gain,45,71,0.633802816901409,TRUE,GSE227903,3853_Dg
observation.observation_s18,19p,gain,56,274,0.204379562043796,FALSE,GSE227903,3853_Dg
observation.observation_s3,5q,gain,23,291,0.0790378006872852,FALSE,GSE227903,3853_Dg
observation.observation_s3,7p,gain,38,128,0.296875,FALSE,GSE227903,3853_Dg
observation.observation_s3,10p,gain,55,70,0.785714285714286,TRUE,GSE227903,3853_Dg
observation.observation_s3,12q,gain,77,326,0.236196319018405,FALSE,GSE227903,3853_Dg
observation.observation_s3,17p,gain,49,124,0.395161290322581,FALSE,GSE227903,3853_Dg
observation.observation_s3,17q,gain,58,355,0.163380281690141,FALSE,GSE227903,3853_Dg
observation.observation_s3,19p,gain,60,274,0.218978102189781,FALSE,GSE227903,3853_Dg
observation.observation_s9,1q,gain,24,357,0.0672268907563025,FALSE,GSE227903,3853_Dg
observation.observation_s9,5q,gain,18,291,0.0618556701030928,FALSE,GSE227903,3853_Dg
observation.observation_s9,10p,gain,62,70,0.885714285714286,TRUE,GSE227903,3853_Dg
observation.observation_s9,17p,gain,30,124,0.241935483870968,FALSE,GSE227903,3853_Dg
observation.observation_s9,17q,gain,53,355,0.149295774647887,FALSE,GSE227903,3853_Dg
observation.observation_s9,18q,gain,54,71,0.76056338028169,TRUE,GSE227903,3853_Dg
observation.observation_s9,19p,gain,37,274,0.135036496350365,FALSE,GSE227903,3853_Dg
observation.observation_s20,5q,gain,16,291,0.0549828178694158,FALSE,GSE227903,3853_Dg
observation.observation_s20,7p,gain,41,128,0.3203125,FALSE,GSE227903,3853_Dg
observation.observation_s20,10p,gain,49,70,0.7,TRUE,GSE227903,3853_Dg
observation.observation_s20,12q,gain,59,326,0.180981595092025,FALSE,GSE227903,3853_Dg
observation.observation_s20,17p,gain,39,124,0.314516129032258,FALSE,GSE227903,3853_Dg
observation.observation_s20,17q,gain,57,355,0.16056338028169,FALSE,GSE227903,3853_Dg
observation.observation_s20,18q,gain,49,71,0.690140845070423,TRUE,GSE227903,3853_Dg
observation.observation_s20,19p,gain,46,274,0.167883211678832,FALSE,GSE227903,3853_Dg
observation.observation_s23,1q,gain,20,357,0.0560224089635854,FALSE,GSE227903,3853_Dg
observation.observation_s23,3q,gain,64,224,0.285714285714286,FALSE,GSE227903,3853_Dg
observation.observation_s23,5q,gain,16,291,0.0549828178694158,FALSE,GSE227903,3853_Dg
observation.observation_s23,7p,gain,42,128,0.328125,FALSE,GSE227903,3853_Dg
observation.observation_s23,10p,gain,62,70,0.885714285714286,TRUE,GSE227903,3853_Dg
observation.observation_s23,12q,gain,130,326,0.398773006134969,FALSE,GSE227903,3853_Dg
observation.observation_s23,17q,gain,51,355,0.143661971830986,FALSE,GSE227903,3853_Dg
observation.observation_s23,19p,gain,48,274,0.175182481751825,FALSE,GSE227903,3853_Dg
observation.observation_s14,1q,gain,22,357,0.061624649859944,FALSE,GSE227903,3853_Dg
observation.observation_s14,2p,gain,35,227,0.154185022026432,FALSE,GSE227903,3853_Dg
observation.observation_s14,3q,gain,98,224,0.4375,FALSE,GSE227903,3853_Dg
observation.observation_s14,5q,gain,17,291,0.0584192439862543,FALSE,GSE227903,3853_Dg
observation.observation_s14,7p,gain,41,128,0.3203125,FALSE,GSE227903,3853_Dg
observation.observation_s14,10p,gain,50,70,0.714285714285714,TRUE,GSE227903,3853_Dg
observation.observation_s14,11p,gain,30,145,0.206896551724138,FALSE,GSE227903,3853_Dg
observation.observation_s14,12q,gain,71,326,0.217791411042945,FALSE,GSE227903,3853_Dg
observation.observation_s14,17p,gain,37,124,0.298387096774194,FALSE,GSE227903,3853_Dg
observation.observation_s14,17q,gain,58,355,0.163380281690141,FALSE,GSE227903,3853_Dg
observation.observation_s14,19p,gain,60,274,0.218978102189781,FALSE,GSE227903,3853_Dg
observation.observation_s17,1q,gain,29,357,0.0812324929971989,FALSE,GSE227903,3853_Dg
observation.observation_s17,5q,gain,16,291,0.0549828178694158,FALSE,GSE227903,3853_Dg
observation.observation_s17,7p,gain,48,128,0.375,FALSE,GSE227903,3853_Dg
observation.observation_s17,10p,gain,69,70,0.985714285714286,TRUE,GSE227903,3853_Dg
observation.observation_s17,12q,gain,72,326,0.220858895705521,FALSE,GSE227903,3853_Dg
observation.observation_s17,17p,gain,33,124,0.266129032258065,FALSE,GSE227903,3853_Dg
observation.observation_s17,17q,gain,54,355,0.152112676056338,FALSE,GSE227903,3853_Dg
observation.observation_s17,18q,gain,49,71,0.690140845070423,TRUE,GSE227903,3853_Dg
observation.observation_s17,19p,gain,35,274,0.127737226277372,FALSE,GSE227903,3853_Dg
observation.observation_s17,22q,gain,47,200,0.235,FALSE,GSE227903,3853_Dg
observation.observation_s19,1q,gain,20,357,0.0560224089635854,FALSE,GSE227903,3853_Dg
