subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s3,231,231,4,0.0173160173160173,FALSE,0.0134228187919463,5,1,4,12p:l;13q:g;18p:g;18q:g;6p:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s2,229,229,0,0,FALSE,0,3,0,3,11p:g;13q:g;8q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s14,224,224,145,0.647321428571429,FALSE,0.486577181208054,12,5,7,10p:g;11q:l;13q:g;16p:l;18p:g;19p:l;19q:l;21q:g;3q:g;6p:l;6q:g;8q:g,3,neutral,FALSE,0.443548387096774,GSE227903,40389_Dg
observation.observation_s8,185,185,40,0.216216216216216,FALSE,0.134228187919463,1,0,1,8p:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s7,166,166,37,0.22289156626506,FALSE,0.124161073825503,8,4,4,10p:g;11q:l;16p:l;18p:g;19q:l;4p:l;6q:g;8q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s10,163,163,0,0,FALSE,0,3,1,2,12p:l;17p:g;6p:g,4,gain,FALSE,0,GSE227903,40389_Dg
observation.observation_s17,156,156,0,0,FALSE,0,3,1,2,11p:g;4p:l;8q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s9,154,154,2,0.012987012987013,FALSE,0.00671140939597315,3,1,2,11p:g;4p:l;8q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s5,151,151,4,0.0264900662251656,FALSE,0.0134228187919463,6,2,4,11p:g;15q:g;16p:l;1q:g;4p:l;8q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s4,134,134,10,0.0746268656716418,FALSE,0.0335570469798658,4,0,4,13q:g;4q:g;6q:g;8q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s15,129,129,1,0.00775193798449612,FALSE,0.00335570469798658,6,2,4,11p:g;17p:g;19p:g;19q:g;4p:l;5p:l,4,gain,FALSE,0,GSE227903,40389_Dg
observation.observation_s13,126,126,2,0.0158730158730159,FALSE,0.00671140939597315,1,1,0,8p:l,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s20,124,124,3,0.0241935483870968,FALSE,0.0100671140939597,2,1,1,13q:g;8p:l,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s1,110,110,4,0.0363636363636364,FALSE,0.0134228187919463,3,0,3,17p:g;19p:g;19q:g,4,gain,FALSE,0,GSE227903,40389_Dg
observation.observation_s6,106,106,22,0.207547169811321,FALSE,0.0738255033557047,5,2,3,10p:g;16p:l;1q:g;4p:l;6q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s18,78,78,0,0,FALSE,0,1,0,1,8q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s19,57,57,9,0.157894736842105,FALSE,0.0302013422818792,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s16,38,38,3,0.0789473684210526,FALSE,0.0100671140939597,1,1,0,12p:l,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s22,21,21,0,0,FALSE,0,2,0,2,13q:g;6q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s21,19,19,7,0.368421052631579,FALSE,0.023489932885906,3,1,2,1q:g;3q:g;4p:l,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s11,13,13,1,0.0769230769230769,FALSE,0.00335570469798658,3,0,3,18p:g;4q:g;8q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s12,6,6,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s25,4,4,1,0.25,FALSE,0.00335570469798658,2,1,1,18q:l;19p:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s23,2,2,1,0.5,FALSE,0.00335570469798658,6,3,3,17p:l;2q:l;4q:g;6p:l;6q:g;9p:g,2,loss,TRUE,0.661290322580645,GSE227903,40389_Dg
observation.observation_s24,2,2,1,0.5,FALSE,0.00335570469798658,12,5,7,10q:g;11q:l;13q:g;18p:g;19p:l;19q:l;1q:g;20p:g;20q:g;5p:l;6p:l;9p:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s27,2,2,1,0.5,FALSE,0.00335570469798658,8,1,7,13q:g;20p:l;21q:g;3q:g;4q:g;5q:g;9p:g;9q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s28,2,2,0,0,FALSE,0,6,3,3,11p:g;12p:l;13q:g;2q:l;5p:l;6p:g,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s26,1,1,0,0,FALSE,0,15,4,11,10p:g;10q:g;11q:l;12p:l;13q:g;17p:g;18p:g;18q:g;19q:g;1q:g;20q:l;21q:g;4q:g;7q:g;8p:l,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s29,1,1,0,0,FALSE,0,7,4,3,10p:l;11p:g;12p:l;17p:g;21q:l;4q:g;6q:l,3,neutral,FALSE,0,GSE227903,40389_Dg
observation.observation_s30,1,1,0,0,FALSE,0,15,5,10,10p:g;10q:g;11p:l;11q:g;12p:g;13q:g;14q:l;16p:l;17p:g;18q:g;19p:g;3q:g;5p:l;6p:l;6q:g,4,gain,FALSE,0,GSE227903,40389_Dg
observation.observation_s31,1,1,0,0,FALSE,0,12,6,6,12q:g;13q:l;14q:l;15q:g;19p:g;20p:l;22q:l;2q:l;3q:l;4q:g;5p:g;7q:g,2,loss,TRUE,0.314516129032258,GSE227903,40389_Dg
reference_normal.reference_normal_s1,81,81,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s3,70,70,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s6,56,56,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s2,42,42,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s11,41,41,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s9,35,35,0,0,TRUE,0,1,0,1,6q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s8,33,33,0,0,TRUE,0,1,0,1,9p:g,3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s4,28,28,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s7,27,27,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s10,24,24,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s5,18,18,0,0,TRUE,0,3,0,3,10q:g;3q:g;6q:g,3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s13,13,13,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s12,9,9,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,40389_Dg
reference_normal.reference_normal_s14,1,1,0,0,TRUE,0,7,4,3,10p:g;10q:l;16p:l;21q:l;5p:g;6q:l;8p:g,3,neutral,FALSE,0,GSE227903,40389_Dg
