subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s3,1q,gain,71,436,0.162844036697248,FALSE,GSE227903,4978_MRD
observation.observation_s3,5p,loss,38,70,0.542857142857143,TRUE,GSE227903,4978_MRD
observation.observation_s3,5q,loss,17,363,0.046831955922865,FALSE,GSE227903,4978_MRD
observation.observation_s3,6p,gain,122,330,0.36969696969697,FALSE,GSE227903,4978_MRD
observation.observation_s3,7q,loss,48,302,0.158940397350993,FALSE,GSE227903,4978_MRD
observation.observation_s3,8q,gain,66,215,0.306976744186047,FALSE,GSE227903,4978_MRD
observation.observation_s3,9q,gain,60,277,0.216606498194946,FALSE,GSE227903,4978_MRD
observation.observation_s3,11p,gain,65,171,0.380116959064327,FALSE,GSE227903,4978_MRD
observation.observation_s3,11q,gain,37,372,0.0994623655913978,FALSE,GSE227903,4978_MRD
observation.observation_s3,11q,loss,90,372,0.241935483870968,FALSE,GSE227903,4978_MRD
observation.observation_s3,12p,loss,10,118,0.0847457627118644,FALSE,GSE227903,4978_MRD
observation.observation_s3,12q,loss,32,398,0.0804020100502513,FALSE,GSE227903,4978_MRD
observation.observation_s3,12q,gain,73,398,0.183417085427136,FALSE,GSE227903,4978_MRD
observation.observation_s7,1p,gain,124,539,0.230055658627087,FALSE,GSE227903,4978_MRD
observation.observation_s7,1p,loss,62,539,0.115027829313544,FALSE,GSE227903,4978_MRD
observation.observation_s7,1q,loss,105,436,0.240825688073395,FALSE,GSE227903,4978_MRD
observation.observation_s7,1q,gain,108,436,0.247706422018349,FALSE,GSE227903,4978_MRD
observation.observation_s7,2p,gain,48,272,0.176470588235294,FALSE,GSE227903,4978_MRD
observation.observation_s7,3q,gain,60,268,0.223880597014925,FALSE,GSE227903,4978_MRD
observation.observation_s7,4q,gain,97,231,0.41991341991342,FALSE,GSE227903,4978_MRD
observation.observation_s7,5p,loss,56,70,0.8,TRUE,GSE227903,4978_MRD
observation.observation_s7,5q,loss,24,363,0.0661157024793388,FALSE,GSE227903,4978_MRD
observation.observation_s7,6p,gain,179,330,0.542424242424243,TRUE,GSE227903,4978_MRD
observation.observation_s7,6p,loss,43,330,0.13030303030303,FALSE,GSE227903,4978_MRD
observation.observation_s7,6q,gain,4,209,0.0191387559808612,FALSE,GSE227903,4978_MRD
observation.observation_s7,7q,loss,61,302,0.201986754966887,FALSE,GSE227903,4978_MRD
observation.observation_s7,8p,gain,51,100,0.51,TRUE,GSE227903,4978_MRD
observation.observation_s7,9p,gain,73,89,0.820224719101124,TRUE,GSE227903,4978_MRD
observation.observation_s7,9q,gain,130,277,0.469314079422383,FALSE,GSE227903,4978_MRD
observation.observation_s7,10p,loss,86,89,0.966292134831461,TRUE,GSE227903,4978_MRD
observation.observation_s7,10q,gain,51,267,0.191011235955056,FALSE,GSE227903,4978_MRD
observation.observation_s7,11p,gain,142,171,0.830409356725146,TRUE,GSE227903,4978_MRD
observation.observation_s7,11q,gain,24,372,0.0645161290322581,FALSE,GSE227903,4978_MRD
observation.observation_s7,14q,loss,31,339,0.0914454277286136,FALSE,GSE227903,4978_MRD
observation.observation_s7,15q,gain,51,300,0.17,FALSE,GSE227903,4978_MRD
observation.observation_s7,16p,gain,58,261,0.222222222222222,FALSE,GSE227903,4978_MRD
observation.observation_s7,16q,loss,21,180,0.116666666666667,FALSE,GSE227903,4978_MRD
observation.observation_s7,17p,gain,27,160,0.16875,FALSE,GSE227903,4978_MRD
observation.observation_s7,17q,gain,128,424,0.30188679245283,FALSE,GSE227903,4978_MRD
observation.observation_s7,19p,gain,75,329,0.227963525835866,FALSE,GSE227903,4978_MRD
observation.observation_s7,20p,gain,35,79,0.443037974683544,FALSE,GSE227903,4978_MRD
observation.observation_s7,22q,gain,95,252,0.376984126984127,FALSE,GSE227903,4978_MRD
observation.observation_s1,2p,gain,39,272,0.143382352941176,FALSE,GSE227903,4978_MRD
observation.observation_s1,4q,gain,50,231,0.216450216450216,FALSE,GSE227903,4978_MRD
observation.observation_s1,6p,loss,60,330,0.181818181818182,FALSE,GSE227903,4978_MRD
observation.observation_s1,6p,gain,53,330,0.160606060606061,FALSE,GSE227903,4978_MRD
observation.observation_s1,7q,loss,83,302,0.274834437086093,FALSE,GSE227903,4978_MRD
observation.observation_s1,8q,gain,51,215,0.237209302325581,FALSE,GSE227903,4978_MRD
observation.observation_s1,11q,loss,88,372,0.236559139784946,FALSE,GSE227903,4978_MRD
observation.observation_s1,19p,gain,113,329,0.343465045592705,FALSE,GSE227903,4978_MRD
observation.observation_s13,1p,gain,138,539,0.256029684601113,FALSE,GSE227903,4978_MRD
observation.observation_s13,1p,loss,75,539,0.139146567717996,FALSE,GSE227903,4978_MRD
observation.observation_s13,1q,loss,69,436,0.158256880733945,FALSE,GSE227903,4978_MRD
observation.observation_s13,1q,gain,40,436,0.091743119266055,FALSE,GSE227903,4978_MRD
observation.observation_s13,2p,gain,43,272,0.158088235294118,FALSE,GSE227903,4978_MRD
observation.observation_s13,3q,gain,101,268,0.376865671641791,FALSE,GSE227903,4978_MRD
observation.observation_s13,4q,gain,128,231,0.554112554112554,TRUE,GSE227903,4978_MRD
observation.observation_s13,5p,loss,36,70,0.514285714285714,TRUE,GSE227903,4978_MRD
observation.observation_s13,5q,loss,18,363,0.0495867768595041,FALSE,GSE227903,4978_MRD
observation.observation_s13,6p,gain,99,330,0.3,FALSE,GSE227903,4978_MRD
observation.observation_s13,6p,loss,122,330,0.36969696969697,FALSE,GSE227903,4978_MRD
observation.observation_s13,6q,gain,10,209,0.0478468899521531,FALSE,GSE227903,4978_MRD
observation.observation_s13,6q,loss,63,209,0.301435406698565,FALSE,GSE227903,4978_MRD
observation.observation_s13,7q,loss,119,302,0.394039735099338,FALSE,GSE227903,4978_MRD
observation.observation_s13,8p,gain,5,100,0.05,FALSE,GSE227903,4978_MRD
observation.observation_s13,8q,gain,59,215,0.274418604651163,FALSE,GSE227903,4978_MRD
observation.observation_s13,9p,gain,57,89,0.640449438202247,TRUE,GSE227903,4978_MRD
observation.observation_s13,9q,gain,73,277,0.263537906137184,FALSE,GSE227903,4978_MRD
observation.observation_s13,10p,loss,81,89,0.910112359550562,TRUE,GSE227903,4978_MRD
observation.observation_s13,10q,gain,51,267,0.191011235955056,FALSE,GSE227903,4978_MRD
observation.observation_s13,11q,loss,81,372,0.217741935483871,FALSE,GSE227903,4978_MRD
observation.observation_s13,12p,loss,38,118,0.322033898305085,FALSE,GSE227903,4978_MRD
observation.observation_s13,14q,loss,24,339,0.0707964601769912,FALSE,GSE227903,4978_MRD
observation.observation_s13,16p,gain,59,261,0.226053639846743,FALSE,GSE227903,4978_MRD
observation.observation_s13,17q,gain,52,424,0.122641509433962,FALSE,GSE227903,4978_MRD
observation.observation_s13,19p,gain,47,329,0.142857142857143,FALSE,GSE227903,4978_MRD
observation.observation_s13,19q,loss,57,343,0.166180758017493,FALSE,GSE227903,4978_MRD
observation.observation_s13,20p,gain,33,79,0.417721518987342,FALSE,GSE227903,4978_MRD
observation.observation_s13,22q,gain,41,252,0.162698412698413,FALSE,GSE227903,4978_MRD
observation.observation_s5,6p,gain,125,330,0.378787878787879,FALSE,GSE227903,4978_MRD
observation.observation_s5,11q,loss,48,372,0.129032258064516,FALSE,GSE227903,4978_MRD
observation.observation_s5,16p,gain,53,261,0.203065134099617,FALSE,GSE227903,4978_MRD
observation.observation_s5,17p,gain,24,160,0.15,FALSE,GSE227903,4978_MRD
observation.observation_s5,17q,gain,16,424,0.0377358490566038,FALSE,GSE227903,4978_MRD
observation.observation_s5,19p,gain,64,329,0.194528875379939,FALSE,GSE227903,4978_MRD
observation.observation_s5,22q,gain,40,252,0.158730158730159,FALSE,GSE227903,4978_MRD
observation.observation_s10,1p,gain,122,539,0.226345083487941,FALSE,GSE227903,4978_MRD
observation.observation_s10,1p,loss,45,539,0.0834879406307978,FALSE,GSE227903,4978_MRD
observation.observation_s10,1q,loss,107,436,0.245412844036697,FALSE,GSE227903,4978_MRD
observation.observation_s10,1q,gain,108,436,0.247706422018349,FALSE,GSE227903,4978_MRD
observation.observation_s10,2p,gain,47,272,0.172794117647059,FALSE,GSE227903,4978_MRD
observation.observation_s10,3q,gain,149,268,0.555970149253731,TRUE,GSE227903,4978_MRD
observation.observation_s10,4q,gain,101,231,0.437229437229437,FALSE,GSE227903,4978_MRD
observation.observation_s10,5p,loss,48,70,0.685714285714286,TRUE,GSE227903,4978_MRD
observation.observation_s10,5q,loss,18,363,0.0495867768595041,FALSE,GSE227903,4978_MRD
observation.observation_s10,6p,gain,136,330,0.412121212121212,FALSE,GSE227903,4978_MRD
observation.observation_s10,6p,loss,118,330,0.357575757575758,FALSE,GSE227903,4978_MRD
observation.observation_s10,6q,gain,3,209,0.0143540669856459,FALSE,GSE227903,4978_MRD
observation.observation_s10,7p,gain,88,160,0.55,TRUE,GSE227903,4978_MRD
observation.observation_s10,7q,loss,57,302,0.188741721854305,FALSE,GSE227903,4978_MRD
observation.observation_s10,8p,gain,50,100,0.5,TRUE,GSE227903,4978_MRD
observation.observation_s10,9p,gain,73,89,0.820224719101124,TRUE,GSE227903,4978_MRD
observation.observation_s10,9q,gain,113,277,0.407942238267148,FALSE,GSE227903,4978_MRD
observation.observation_s10,10p,loss,74,89,0.831460674157303,TRUE,GSE227903,4978_MRD
observation.observation_s10,10q,gain,52,267,0.194756554307116,FALSE,GSE227903,4978_MRD
observation.observation_s10,11p,gain,140,171,0.818713450292398,TRUE,GSE227903,4978_MRD
observation.observation_s10,11q,gain,21,372,0.0564516129032258,FALSE,GSE227903,4978_MRD
observation.observation_s10,15q,gain,53,300,0.176666666666667,FALSE,GSE227903,4978_MRD
observation.observation_s10,16p,gain,54,261,0.206896551724138,FALSE,GSE227903,4978_MRD
observation.observation_s10,16q,loss,28,180,0.155555555555556,FALSE,GSE227903,4978_MRD
observation.observation_s10,17p,gain,20,160,0.125,FALSE,GSE227903,4978_MRD
observation.observation_s10,17q,gain,117,424,0.275943396226415,FALSE,GSE227903,4978_MRD
observation.observation_s10,19p,gain,60,329,0.182370820668693,FALSE,GSE227903,4978_MRD
observation.observation_s10,19q,loss,58,343,0.169096209912536,FALSE,GSE227903,4978_MRD
observation.observation_s10,20p,gain,36,79,0.455696202531646,FALSE,GSE227903,4978_MRD
observation.observation_s10,22q,gain,43,252,0.170634920634921,FALSE,GSE227903,4978_MRD
observation.observation_s12,1p,gain,96,539,0.178107606679035,FALSE,GSE227903,4978_MRD
observation.observation_s12,1q,loss,70,436,0.160550458715596,FALSE,GSE227903,4978_MRD
observation.observation_s12,1q,gain,95,436,0.217889908256881,FALSE,GSE227903,4978_MRD
observation.observation_s12,4q,gain,90,231,0.38961038961039,FALSE,GSE227903,4978_MRD
observation.observation_s12,5p,loss,48,70,0.685714285714286,TRUE,GSE227903,4978_MRD
observation.observation_s12,5q,loss,10,363,0.0275482093663912,FALSE,GSE227903,4978_MRD
observation.observation_s12,6p,gain,168,330,0.509090909090909,TRUE,GSE227903,4978_MRD
observation.observation_s12,6p,loss,103,330,0.312121212121212,FALSE,GSE227903,4978_MRD
observation.observation_s12,6q,loss,83,209,0.397129186602871,FALSE,GSE227903,4978_MRD
observation.observation_s12,8p,gain,75,100,0.75,TRUE,GSE227903,4978_MRD
observation.observation_s12,8q,gain,52,215,0.241860465116279,FALSE,GSE227903,4978_MRD
observation.observation_s12,9q,gain,97,277,0.350180505415162,FALSE,GSE227903,4978_MRD
observation.observation_s12,10q,gain,37,267,0.138576779026217,FALSE,GSE227903,4978_MRD
observation.observation_s12,11p,gain,81,171,0.473684210526316,FALSE,GSE227903,4978_MRD
observation.observation_s12,11q,gain,23,372,0.0618279569892473,FALSE,GSE227903,4978_MRD
observation.observation_s12,11q,loss,40,372,0.10752688172043,FALSE,GSE227903,4978_MRD
observation.observation_s12,14q,loss,40,339,0.117994100294985,FALSE,GSE227903,4978_MRD
observation.observation_s12,15q,gain,60,300,0.2,FALSE,GSE227903,4978_MRD
observation.observation_s12,16p,gain,69,261,0.264367816091954,FALSE,GSE227903,4978_MRD
observation.observation_s12,16q,loss,26,180,0.144444444444444,FALSE,GSE227903,4978_MRD
observation.observation_s12,17p,loss,40,160,0.25,FALSE,GSE227903,4978_MRD
observation.observation_s12,17p,gain,25,160,0.15625,FALSE,GSE227903,4978_MRD
observation.observation_s12,17q,gain,102,424,0.240566037735849,FALSE,GSE227903,4978_MRD
observation.observation_s12,19p,gain,78,329,0.237082066869301,FALSE,GSE227903,4978_MRD
observation.observation_s12,22q,gain,184,252,0.73015873015873,TRUE,GSE227903,4978_MRD
observation.observation_s6,1p,gain,121,539,0.224489795918367,FALSE,GSE227903,4978_MRD
observation.observation_s6,1p,loss,73,539,0.13543599257885,FALSE,GSE227903,4978_MRD
observation.observation_s6,1q,loss,82,436,0.188073394495413,FALSE,GSE227903,4978_MRD
observation.observation_s6,1q,gain,89,436,0.204128440366972,FALSE,GSE227903,4978_MRD
observation.observation_s6,2p,gain,47,272,0.172794117647059,FALSE,GSE227903,4978_MRD
observation.observation_s6,4q,gain,102,231,0.441558441558442,FALSE,GSE227903,4978_MRD
observation.observation_s6,5p,loss,43,70,0.614285714285714,TRUE,GSE227903,4978_MRD
observation.observation_s6,5q,loss,25,363,0.068870523415978,FALSE,GSE227903,4978_MRD
observation.observation_s6,6p,gain,161,330,0.487878787878788,FALSE,GSE227903,4978_MRD
observation.observation_s6,6p,loss,95,330,0.287878787878788,FALSE,GSE227903,4978_MRD
observation.observation_s6,6q,gain,5,209,0.0239234449760766,FALSE,GSE227903,4978_MRD
observation.observation_s6,6q,loss,71,209,0.339712918660287,FALSE,GSE227903,4978_MRD
observation.observation_s6,7q,loss,98,302,0.324503311258278,FALSE,GSE227903,4978_MRD
observation.observation_s6,8q,gain,32,215,0.148837209302326,FALSE,GSE227903,4978_MRD
observation.observation_s6,9p,gain,67,89,0.752808988764045,TRUE,GSE227903,4978_MRD
observation.observation_s6,9q,gain,176,277,0.635379061371841,TRUE,GSE227903,4978_MRD
observation.observation_s6,10p,loss,89,89,1,TRUE,GSE227903,4978_MRD
observation.observation_s6,10q,loss,8,267,0.0299625468164794,FALSE,GSE227903,4978_MRD
observation.observation_s6,10q,gain,50,267,0.187265917602996,FALSE,GSE227903,4978_MRD
observation.observation_s6,11p,gain,99,171,0.578947368421053,TRUE,GSE227903,4978_MRD
observation.observation_s6,11q,gain,25,372,0.0672043010752688,FALSE,GSE227903,4978_MRD
observation.observation_s6,11q,loss,64,372,0.172043010752688,FALSE,GSE227903,4978_MRD
observation.observation_s6,12p,loss,41,118,0.347457627118644,FALSE,GSE227903,4978_MRD
observation.observation_s6,16p,gain,67,261,0.256704980842912,FALSE,GSE227903,4978_MRD
observation.observation_s6,17p,gain,32,160,0.2,FALSE,GSE227903,4978_MRD
observation.observation_s6,17q,gain,120,424,0.283018867924528,FALSE,GSE227903,4978_MRD
observation.observation_s6,19p,gain,85,329,0.258358662613982,FALSE,GSE227903,4978_MRD
observation.observation_s6,20p,gain,38,79,0.481012658227848,FALSE,GSE227903,4978_MRD
observation.observation_s6,22q,gain,94,252,0.373015873015873,FALSE,GSE227903,4978_MRD
observation.observation_s8,1p,gain,131,539,0.2430426716141,FALSE,GSE227903,4978_MRD
observation.observation_s8,1p,loss,75,539,0.139146567717996,FALSE,GSE227903,4978_MRD
observation.observation_s8,1q,loss,76,436,0.174311926605505,FALSE,GSE227903,4978_MRD
observation.observation_s8,1q,gain,77,436,0.176605504587156,FALSE,GSE227903,4978_MRD
observation.observation_s8,2p,gain,42,272,0.154411764705882,FALSE,GSE227903,4978_MRD
observation.observation_s8,3q,gain,81,268,0.302238805970149,FALSE,GSE227903,4978_MRD
observation.observation_s8,4q,gain,102,231,0.441558441558442,FALSE,GSE227903,4978_MRD
observation.observation_s8,5p,loss,43,70,0.614285714285714,TRUE,GSE227903,4978_MRD
observation.observation_s8,5q,loss,23,363,0.0633608815426997,FALSE,GSE227903,4978_MRD
observation.observation_s8,6p,gain,154,330,0.466666666666667,FALSE,GSE227903,4978_MRD
observation.observation_s8,6p,loss,101,330,0.306060606060606,FALSE,GSE227903,4978_MRD
observation.observation_s8,6q,gain,10,209,0.0478468899521531,FALSE,GSE227903,4978_MRD
observation.observation_s8,6q,loss,61,209,0.291866028708134,FALSE,GSE227903,4978_MRD
observation.observation_s8,7q,loss,121,302,0.400662251655629,FALSE,GSE227903,4978_MRD
observation.observation_s8,9p,gain,67,89,0.752808988764045,TRUE,GSE227903,4978_MRD
observation.observation_s8,9q,gain,101,277,0.364620938628159,FALSE,GSE227903,4978_MRD
observation.observation_s8,10p,loss,71,89,0.797752808988764,TRUE,GSE227903,4978_MRD
observation.observation_s8,10q,gain,57,267,0.213483146067416,FALSE,GSE227903,4978_MRD
observation.observation_s8,11p,gain,77,171,0.450292397660819,FALSE,GSE227903,4978_MRD
observation.observation_s8,11q,gain,22,372,0.0591397849462366,FALSE,GSE227903,4978_MRD
observation.observation_s8,12p,loss,47,118,0.398305084745763,FALSE,GSE227903,4978_MRD
observation.observation_s8,14q,loss,15,339,0.0442477876106195,FALSE,GSE227903,4978_MRD
observation.observation_s8,16p,gain,61,261,0.233716475095785,FALSE,GSE227903,4978_MRD
observation.observation_s8,17q,gain,121,424,0.285377358490566,FALSE,GSE227903,4978_MRD
observation.observation_s8,19p,gain,74,329,0.224924012158055,FALSE,GSE227903,4978_MRD
observation.observation_s8,19q,loss,54,343,0.157434402332362,FALSE,GSE227903,4978_MRD
observation.observation_s8,20p,gain,32,79,0.405063291139241,FALSE,GSE227903,4978_MRD
observation.observation_s8,22q,gain,59,252,0.234126984126984,FALSE,GSE227903,4978_MRD
observation.observation_s2,2p,gain,42,272,0.154411764705882,FALSE,GSE227903,4978_MRD
observation.observation_s2,4q,gain,47,231,0.203463203463203,FALSE,GSE227903,4978_MRD
observation.observation_s2,5p,loss,32,70,0.457142857142857,FALSE,GSE227903,4978_MRD
observation.observation_s2,5q,loss,15,363,0.0413223140495868,FALSE,GSE227903,4978_MRD
observation.observation_s2,6p,gain,127,330,0.384848484848485,FALSE,GSE227903,4978_MRD
observation.observation_s2,6p,loss,43,330,0.13030303030303,FALSE,GSE227903,4978_MRD
observation.observation_s2,7q,loss,61,302,0.201986754966887,FALSE,GSE227903,4978_MRD
observation.observation_s2,9q,gain,62,277,0.223826714801444,FALSE,GSE227903,4978_MRD
observation.observation_s2,11p,gain,3,171,0.0175438596491228,FALSE,GSE227903,4978_MRD
observation.observation_s2,11q,gain,94,372,0.252688172043011,FALSE,GSE227903,4978_MRD
observation.observation_s2,11q,loss,97,372,0.260752688172043,FALSE,GSE227903,4978_MRD
observation.observation_s2,12p,loss,70,118,0.593220338983051,TRUE,GSE227903,4978_MRD
observation.observation_s2,16q,gain,37,180,0.205555555555556,FALSE,GSE227903,4978_MRD
observation.observation_s2,17p,gain,36,160,0.225,FALSE,GSE227903,4978_MRD
observation.observation_s2,19p,gain,67,329,0.203647416413374,FALSE,GSE227903,4978_MRD
observation.observation_s11,1p,gain,45,539,0.0834879406307978,FALSE,GSE227903,4978_MRD
observation.observation_s11,1q,gain,96,436,0.220183486238532,FALSE,GSE227903,4978_MRD
observation.observation_s11,2p,gain,52,272,0.191176470588235,FALSE,GSE227903,4978_MRD
observation.observation_s11,2p,loss,11,272,0.0404411764705882,FALSE,GSE227903,4978_MRD
observation.observation_s11,2q,loss,38,364,0.104395604395604,FALSE,GSE227903,4978_MRD
observation.observation_s11,2q,gain,66,364,0.181318681318681,FALSE,GSE227903,4978_MRD
observation.observation_s11,3q,gain,53,268,0.197761194029851,FALSE,GSE227903,4978_MRD
observation.observation_s11,4q,gain,91,231,0.393939393939394,FALSE,GSE227903,4978_MRD
observation.observation_s11,6p,gain,94,330,0.284848484848485,FALSE,GSE227903,4978_MRD
observation.observation_s11,7q,loss,74,302,0.245033112582781,FALSE,GSE227903,4978_MRD
observation.observation_s11,8q,gain,45,215,0.209302325581395,FALSE,GSE227903,4978_MRD
observation.observation_s11,9q,gain,67,277,0.24187725631769,FALSE,GSE227903,4978_MRD
observation.observation_s11,11p,gain,18,171,0.105263157894737,FALSE,GSE227903,4978_MRD
observation.observation_s11,11q,gain,37,372,0.0994623655913978,FALSE,GSE227903,4978_MRD
observation.observation_s11,11q,loss,85,372,0.228494623655914,FALSE,GSE227903,4978_MRD
observation.observation_s11,12q,gain,54,398,0.135678391959799,FALSE,GSE227903,4978_MRD
observation.observation_s4,1p,gain,123,539,0.228200371057514,FALSE,GSE227903,4978_MRD
observation.observation_s4,1p,loss,88,539,0.163265306122449,FALSE,GSE227903,4978_MRD
observation.observation_s4,1q,loss,57,436,0.130733944954128,FALSE,GSE227903,4978_MRD
observation.observation_s4,4q,gain,111,231,0.480519480519481,FALSE,GSE227903,4978_MRD
observation.observation_s4,5p,loss,41,70,0.585714285714286,TRUE,GSE227903,4978_MRD
observation.observation_s4,5q,loss,20,363,0.0550964187327824,FALSE,GSE227903,4978_MRD
observation.observation_s4,6p,gain,118,330,0.357575757575758,FALSE,GSE227903,4978_MRD
observation.observation_s4,6p,loss,82,330,0.248484848484849,FALSE,GSE227903,4978_MRD
observation.observation_s4,6q,loss,65,209,0.311004784688995,FALSE,GSE227903,4978_MRD
observation.observation_s4,7q,gain,41,302,0.135761589403974,FALSE,GSE227903,4978_MRD
observation.observation_s4,7q,loss,124,302,0.410596026490066,FALSE,GSE227903,4978_MRD
