subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s3,193,193,34,0.176165803108808,FALSE,0.105263157894737,1,1,0,5p:l,3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s7,166,166,28,0.168674698795181,FALSE,0.086687306501548,6,2,4,10p:l;11p:g;5p:l;6p:g;8p:g;9p:g,3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s1,139,139,5,0.0359712230215827,FALSE,0.0154798761609907,0,0,0,"",3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s13,125,125,1,0.008,FALSE,0.00309597523219814,4,2,2,10p:l;4q:g;5p:l;9p:g,3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s5,110,110,51,0.463636363636364,FALSE,0.157894736842105,0,0,0,"",3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s10,107,107,25,0.233644859813084,FALSE,0.0773993808049536,7,2,5,10p:l;11p:g;3q:g;5p:l;7p:g;8p:g;9p:g,3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s12,97,97,80,0.824742268041237,FALSE,0.247678018575851,4,1,3,22q:g;5p:l;6p:g;8p:g,2,loss,TRUE,0.25,GSE227903,4978_MRD
observation.observation_s6,96,96,3,0.03125,FALSE,0.00928792569659443,5,2,3,10p:l;11p:g;5p:l;9p:g;9q:g,3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s8,92,92,1,0.0108695652173913,FALSE,0.00309597523219814,3,2,1,10p:l;5p:l;9p:g,3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s2,88,88,6,0.0681818181818182,FALSE,0.0185758513931889,1,1,0,12p:l,3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s11,79,79,34,0.430379746835443,FALSE,0.105263157894737,0,0,0,"",3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s4,70,70,6,0.0857142857142857,FALSE,0.0185758513931889,4,2,2,10p:l;19p:g;5p:l;9q:g,3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s9,57,57,45,0.789473684210526,FALSE,0.139318885448916,8,2,6,11p:g;19q:l;1q:g;3q:g;5p:l;6p:g;8p:g;9p:g,2,loss,TRUE,0.35,GSE227903,4978_MRD
observation.observation_s14,1,1,1,1,FALSE,0.00309597523219814,9,5,4,12p:l;17p:l;18p:g;20p:g;21q:g;2p:g;5p:l;5q:l;8q:l,2,loss,TRUE,0.78125,GSE227903,4978_MRD
observation.observation_s15,1,1,1,1,FALSE,0.00309597523219814,13,6,7,10p:l;12p:l;18p:l;20p:g;21q:l;22q:g;4p:g;4q:g;5p:l;6q:l;8q:g;9p:g;9q:g,3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s16,1,1,1,1,FALSE,0.00309597523219814,12,5,7,12p:l;13q:g;19p:g;20p:g;20q:g;2q:l;4p:l;4q:g;5p:l;6p:g;8q:g;9p:l,3,neutral,FALSE,0,GSE227903,4978_MRD
observation.observation_s17,1,1,1,1,FALSE,0.00309597523219814,25,12,13,10p:l;10q:l;12p:l;14q:g;16p:l;17p:g;17q:g;19p:l;19q:l;1p:g;20p:g;21q:g;22q:g;2p:l;2q:l;3p:l;3q:l;4q:g;5p:l;5q:l;7p:g;7q:g;8q:g;9p:g;9q:g,4,gain,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s6,87,87,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s3,71,71,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s7,47,47,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s2,44,44,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s5,23,23,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s1,15,15,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s8,6,6,0,0,TRUE,0,1,0,1,10q:g,3,neutral,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s9,6,6,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s4,5,5,0,0,TRUE,0,2,0,2,13q:g;4q:g,3,neutral,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s10,4,4,0,0,TRUE,0,1,1,0,9p:l,3,neutral,FALSE,0,GSE227903,4978_MRD
reference_normal.reference_normal_s11,1,1,0,0,TRUE,0,10,3,7,12p:g;13q:l;17q:l;18p:g;18q:g;19q:l;4q:g;5q:g;6q:g;9p:g,3,neutral,FALSE,0.24375,GSE227903,4978_MRD
