subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s4,187,187,4,0.0213903743315508,FALSE,0.0167364016736402,3,1,2,10p:l;20p:g;7p:g,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s1,143,143,45,0.314685314685315,FALSE,0.188284518828452,3,2,1,16p:l;1q:g;5p:l,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s6,123,123,3,0.024390243902439,FALSE,0.0125523012552301,1,0,1,20p:g,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s13,119,119,56,0.470588235294118,FALSE,0.234309623430962,2,2,0,12p:l;5p:l,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s8,113,113,20,0.176991150442478,FALSE,0.0836820083682008,2,0,2,11p:g;13q:g,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s9,110,110,7,0.0636363636363636,FALSE,0.0292887029288703,0,0,0,"",3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s2,108,108,3,0.0277777777777778,FALSE,0.0125523012552301,2,1,1,13q:g;5p:l,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s3,102,102,2,0.0196078431372549,FALSE,0.00836820083682008,2,1,1,11p:g;5p:l,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s17,94,94,5,0.0531914893617021,FALSE,0.0209205020920502,1,0,1,13q:g,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s11,89,89,1,0.0112359550561798,FALSE,0.00418410041841004,1,0,1,11p:g,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s10,79,79,5,0.0632911392405063,FALSE,0.0209205020920502,2,1,1,11p:g;5p:l,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s12,73,73,9,0.123287671232877,FALSE,0.0376569037656904,1,1,0,5p:l,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s14,72,72,4,0.0555555555555556,FALSE,0.0167364016736402,2,0,2,20p:g;7p:g,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s22,57,57,4,0.0701754385964912,FALSE,0.0167364016736402,3,1,2,11p:g;13q:g;5p:l,3,neutral,FALSE,0,GSE227903,5143_R
observation.observation_s15,55,55,6,0.109090909090909,FALSE,0.0251046025104603,3,0,3,11p:g;13q:g;21q:g,3,neutral,FALSE,0,GSE227903,5143_R
