subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s3,1p,gain,94,513,0.183235867446394,FALSE,GSE227903,6323_R
observation.observation_s3,1p,loss,60,513,0.116959064327485,FALSE,GSE227903,6323_R
observation.observation_s3,1q,loss,84,407,0.206388206388206,FALSE,GSE227903,6323_R
observation.observation_s3,1q,gain,27,407,0.0663390663390663,FALSE,GSE227903,6323_R
observation.observation_s3,4q,gain,68,216,0.314814814814815,FALSE,GSE227903,6323_R
observation.observation_s3,5q,gain,28,339,0.0825958702064897,FALSE,GSE227903,6323_R
observation.observation_s3,6p,gain,46,282,0.163120567375887,FALSE,GSE227903,6323_R
observation.observation_s3,6p,loss,43,282,0.152482269503546,FALSE,GSE227903,6323_R
observation.observation_s3,8p,gain,1,105,0.00952380952380953,FALSE,GSE227903,6323_R
observation.observation_s3,8q,gain,124,197,0.629441624365482,TRUE,GSE227903,6323_R
observation.observation_s3,9q,gain,52,274,0.18978102189781,FALSE,GSE227903,6323_R
observation.observation_s3,11p,gain,89,159,0.559748427672956,TRUE,GSE227903,6323_R
observation.observation_s3,11q,gain,29,359,0.0807799442896936,FALSE,GSE227903,6323_R
observation.observation_s3,11q,loss,62,359,0.172701949860724,FALSE,GSE227903,6323_R
observation.observation_s3,12q,gain,108,381,0.283464566929134,FALSE,GSE227903,6323_R
observation.observation_s3,14q,loss,56,309,0.181229773462783,FALSE,GSE227903,6323_R
observation.observation_s3,15q,gain,37,287,0.128919860627178,FALSE,GSE227903,6323_R
observation.observation_s3,20p,gain,25,82,0.304878048780488,FALSE,GSE227903,6323_R
observation.observation_s3,20q,loss,31,162,0.191358024691358,FALSE,GSE227903,6323_R
observation.observation_s3,21q,gain,47,87,0.540229885057471,TRUE,GSE227903,6323_R
observation.observation_s3,22q,gain,61,231,0.264069264069264,FALSE,GSE227903,6323_R
observation.observation_s8,1p,gain,97,513,0.189083820662768,FALSE,GSE227903,6323_R
observation.observation_s8,1p,loss,99,513,0.192982456140351,FALSE,GSE227903,6323_R
observation.observation_s8,1q,loss,30,407,0.0737100737100737,FALSE,GSE227903,6323_R
observation.observation_s8,5p,loss,29,67,0.432835820895522,FALSE,GSE227903,6323_R
observation.observation_s8,5q,loss,22,339,0.0648967551622419,FALSE,GSE227903,6323_R
observation.observation_s8,5q,gain,32,339,0.0943952802359882,FALSE,GSE227903,6323_R
observation.observation_s8,6p,gain,125,282,0.443262411347518,FALSE,GSE227903,6323_R
observation.observation_s8,6p,loss,32,282,0.113475177304965,FALSE,GSE227903,6323_R
observation.observation_s8,7q,loss,53,280,0.189285714285714,FALSE,GSE227903,6323_R
observation.observation_s8,8p,gain,1,105,0.00952380952380953,FALSE,GSE227903,6323_R
observation.observation_s8,8q,gain,58,197,0.294416243654822,FALSE,GSE227903,6323_R
observation.observation_s8,9q,gain,65,274,0.237226277372263,FALSE,GSE227903,6323_R
observation.observation_s8,11p,gain,79,159,0.49685534591195,FALSE,GSE227903,6323_R
observation.observation_s8,11q,gain,63,359,0.175487465181059,FALSE,GSE227903,6323_R
observation.observation_s8,11q,loss,92,359,0.256267409470752,FALSE,GSE227903,6323_R
observation.observation_s8,12p,loss,39,120,0.325,FALSE,GSE227903,6323_R
observation.observation_s8,12q,gain,203,381,0.532808398950131,TRUE,GSE227903,6323_R
observation.observation_s8,14q,loss,59,309,0.190938511326861,FALSE,GSE227903,6323_R
observation.observation_s8,15q,gain,67,287,0.233449477351916,FALSE,GSE227903,6323_R
observation.observation_s8,17p,gain,96,151,0.635761589403974,TRUE,GSE227903,6323_R
observation.observation_s8,20p,gain,27,82,0.329268292682927,FALSE,GSE227903,6323_R
observation.observation_s8,22q,gain,72,231,0.311688311688312,FALSE,GSE227903,6323_R
observation.observation_s5,1p,gain,59,513,0.115009746588694,FALSE,GSE227903,6323_R
observation.observation_s5,1p,loss,53,513,0.103313840155945,FALSE,GSE227903,6323_R
observation.observation_s5,1q,gain,195,407,0.479115479115479,FALSE,GSE227903,6323_R
observation.observation_s5,2p,loss,18,259,0.0694980694980695,FALSE,GSE227903,6323_R
observation.observation_s5,2q,loss,39,337,0.115727002967359,FALSE,GSE227903,6323_R
observation.observation_s5,5p,loss,22,67,0.328358208955224,FALSE,GSE227903,6323_R
observation.observation_s5,5q,loss,19,339,0.056047197640118,FALSE,GSE227903,6323_R
observation.observation_s5,5q,gain,125,339,0.368731563421829,FALSE,GSE227903,6323_R
observation.observation_s5,6p,gain,112,282,0.397163120567376,FALSE,GSE227903,6323_R
observation.observation_s5,6p,loss,34,282,0.120567375886525,FALSE,GSE227903,6323_R
observation.observation_s5,7q,gain,38,280,0.135714285714286,FALSE,GSE227903,6323_R
observation.observation_s5,8p,gain,1,105,0.00952380952380953,FALSE,GSE227903,6323_R
observation.observation_s5,8q,gain,122,197,0.619289340101523,TRUE,GSE227903,6323_R
observation.observation_s5,9q,gain,72,274,0.262773722627737,FALSE,GSE227903,6323_R
observation.observation_s5,11p,gain,45,159,0.283018867924528,FALSE,GSE227903,6323_R
observation.observation_s5,11q,gain,51,359,0.142061281337047,FALSE,GSE227903,6323_R
observation.observation_s5,11q,loss,73,359,0.203342618384401,FALSE,GSE227903,6323_R
observation.observation_s5,12q,gain,190,381,0.498687664041995,FALSE,GSE227903,6323_R
observation.observation_s5,13q,gain,35,156,0.224358974358974,FALSE,GSE227903,6323_R
observation.observation_s5,14q,loss,65,309,0.210355987055016,FALSE,GSE227903,6323_R
observation.observation_s5,15q,gain,72,287,0.250871080139373,FALSE,GSE227903,6323_R
observation.observation_s5,17p,gain,59,151,0.390728476821192,FALSE,GSE227903,6323_R
observation.observation_s5,19p,gain,35,330,0.106060606060606,FALSE,GSE227903,6323_R
observation.observation_s4,1p,gain,78,513,0.152046783625731,FALSE,GSE227903,6323_R
observation.observation_s4,1p,loss,49,513,0.0955165692007797,FALSE,GSE227903,6323_R
observation.observation_s4,1q,loss,90,407,0.221130221130221,FALSE,GSE227903,6323_R
observation.observation_s4,1q,gain,40,407,0.0982800982800983,FALSE,GSE227903,6323_R
observation.observation_s4,2p,loss,34,259,0.131274131274131,FALSE,GSE227903,6323_R
observation.observation_s4,2q,loss,12,337,0.0356083086053412,FALSE,GSE227903,6323_R
observation.observation_s4,4p,gain,7,105,0.0666666666666667,FALSE,GSE227903,6323_R
observation.observation_s4,4q,gain,81,216,0.375,FALSE,GSE227903,6323_R
observation.observation_s4,5q,gain,126,339,0.371681415929204,FALSE,GSE227903,6323_R
observation.observation_s4,6p,gain,54,282,0.191489361702128,FALSE,GSE227903,6323_R
observation.observation_s4,6q,gain,106,191,0.554973821989529,TRUE,GSE227903,6323_R
observation.observation_s4,8q,gain,127,197,0.644670050761421,TRUE,GSE227903,6323_R
observation.observation_s4,9q,gain,49,274,0.178832116788321,FALSE,GSE227903,6323_R
observation.observation_s4,11p,gain,87,159,0.547169811320755,TRUE,GSE227903,6323_R
observation.observation_s4,11q,gain,13,359,0.0362116991643454,FALSE,GSE227903,6323_R
observation.observation_s4,11q,loss,62,359,0.172701949860724,FALSE,GSE227903,6323_R
observation.observation_s4,12q,gain,50,381,0.131233595800525,FALSE,GSE227903,6323_R
observation.observation_s4,14q,loss,55,309,0.177993527508091,FALSE,GSE227903,6323_R
observation.observation_s4,20q,loss,25,162,0.154320987654321,FALSE,GSE227903,6323_R
observation.observation_s4,21q,gain,52,87,0.597701149425287,TRUE,GSE227903,6323_R
observation.observation_s1,1p,gain,81,513,0.157894736842105,FALSE,GSE227903,6323_R
observation.observation_s1,1p,loss,46,513,0.0896686159844055,FALSE,GSE227903,6323_R
observation.observation_s1,1q,loss,85,407,0.208845208845209,FALSE,GSE227903,6323_R
observation.observation_s1,1q,gain,37,407,0.0909090909090909,FALSE,GSE227903,6323_R
observation.observation_s1,2p,loss,35,259,0.135135135135135,FALSE,GSE227903,6323_R
observation.observation_s1,2q,loss,17,337,0.0504451038575668,FALSE,GSE227903,6323_R
observation.observation_s1,3p,gain,33,246,0.134146341463415,FALSE,GSE227903,6323_R
observation.observation_s1,3q,gain,60,261,0.229885057471264,FALSE,GSE227903,6323_R
observation.observation_s1,4p,gain,6,105,0.0571428571428571,FALSE,GSE227903,6323_R
