subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s2,1p,gain,93,416,0.223557692307692,FALSE,GSE239721,PT17A
observation.observation_s2,1q,loss,54,348,0.155172413793103,FALSE,GSE239721,PT17A
observation.observation_s2,2q,gain,42,279,0.150537634408602,FALSE,GSE239721,PT17A
observation.observation_s2,3q,gain,116,221,0.524886877828054,TRUE,GSE239721,PT17A
observation.observation_s2,4p,gain,2,85,0.0235294117647059,FALSE,GSE239721,PT17A
observation.observation_s2,4q,gain,52,185,0.281081081081081,FALSE,GSE239721,PT17A
observation.observation_s2,5q,loss,123,274,0.448905109489051,FALSE,GSE239721,PT17A
observation.observation_s2,5q,gain,17,274,0.062043795620438,FALSE,GSE239721,PT17A
observation.observation_s2,6p,loss,51,228,0.223684210526316,FALSE,GSE239721,PT17A
observation.observation_s2,6p,gain,6,228,0.0263157894736842,FALSE,GSE239721,PT17A
observation.observation_s2,6q,gain,110,160,0.6875,TRUE,GSE239721,PT17A
observation.observation_s2,11p,gain,55,141,0.390070921985816,FALSE,GSE239721,PT17A
observation.observation_s2,12p,gain,79,96,0.822916666666667,TRUE,GSE239721,PT17A
observation.observation_s2,12q,gain,99,314,0.315286624203822,FALSE,GSE239721,PT17A
observation.observation_s2,16p,loss,45,187,0.240641711229947,FALSE,GSE239721,PT17A
observation.observation_s2,16q,loss,35,144,0.243055555555556,FALSE,GSE239721,PT17A
observation.observation_s2,18q,gain,49,74,0.662162162162162,TRUE,GSE239721,PT17A
observation.observation_s2,19p,gain,52,257,0.202334630350195,FALSE,GSE239721,PT17A
observation.observation_s2,22q,loss,79,179,0.441340782122905,FALSE,GSE239721,PT17A
observation.observation_s7,1p,gain,48,416,0.115384615384615,FALSE,GSE239721,PT17A
observation.observation_s7,5q,loss,142,274,0.518248175182482,TRUE,GSE239721,PT17A
observation.observation_s7,5q,gain,19,274,0.0693430656934307,FALSE,GSE239721,PT17A
