subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s16,257,257,1,0.00389105058365759,FALSE,0.0714285714285714,4,2,2,10p:g;12p:g;7p:l;7q:l,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s23,190,190,0,0,FALSE,0,3,0,3,10p:g;17p:g;19q:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s4,167,167,0,0,FALSE,0,3,0,3,17p:g;19p:g;19q:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s24,158,158,0,0,FALSE,0,2,0,2,19p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s2,153,153,2,0.0130718954248366,FALSE,0.142857142857143,2,0,2,10p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s6,142,142,0,0,FALSE,0,1,0,1,19p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s17,126,126,0,0,FALSE,0,4,0,4,10p:g;17p:g;19p:g;19q:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s15,123,123,0,0,FALSE,0,2,0,2,10p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s22,119,119,0,0,FALSE,0,3,0,3,10p:g;19p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s27,110,110,0,0,FALSE,0,2,0,2,10p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s9,95,95,0,0,FALSE,0,3,0,3,10p:g;12q:g;19p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s20,92,92,0,0,FALSE,0,2,0,2,10p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s25,91,91,0,0,FALSE,0,2,0,2,10p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s7,89,89,1,0.0112359550561798,FALSE,0.0714285714285714,1,0,1,19p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s37,88,88,0,0,FALSE,0,3,0,3,17p:g;19p:g;19q:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s11,86,86,0,0,FALSE,0,2,0,2,10p:g;19p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s21,86,86,0,0,FALSE,0,2,0,2,10p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s35,86,86,0,0,FALSE,0,1,0,1,10p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s5,81,81,1,0.0123456790123457,FALSE,0.0714285714285714,3,1,2,10p:g;20p:l;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s38,76,76,1,0.0131578947368421,FALSE,0.0714285714285714,4,0,4,17p:g;19p:g;19q:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s14,75,75,0,0,FALSE,0,3,0,3,10p:g;19p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s33,75,75,0,0,FALSE,0,4,0,4,10p:g;17p:g;19p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s29,73,73,0,0,FALSE,0,2,0,2,19p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s30,71,71,1,0.0140845070422535,FALSE,0.0714285714285714,2,0,2,10p:g;3q:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s41,69,69,0,0,FALSE,0,3,0,3,10p:g;19p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s13,68,68,0,0,FALSE,0,2,0,2,10p:g;19p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s26,68,68,2,0.0294117647058824,FALSE,0.142857142857143,3,0,3,10p:g;18p:g;18q:g,3,neutral,FALSE,0,GSE239721,PT21A
observation.observation_s31,68,68,1,0.0147058823529412,FALSE,0.0714285714285714,2,0,2,10p:g;19p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s10,59,59,0,0,FALSE,0,1,0,1,10p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s34,58,58,2,0.0344827586206897,FALSE,0.142857142857143,1,0,1,10p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s32,52,52,0,0,FALSE,0,2,0,2,10p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s8,50,50,0,0,FALSE,0,2,0,2,10p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s39,50,50,0,0,FALSE,0,2,0,2,10p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s12,48,48,0,0,FALSE,0,2,0,2,10p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s1,45,45,0,0,FALSE,0,3,0,3,10p:g;19p:g;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s3,43,43,2,0.0465116279069768,FALSE,0.142857142857143,6,1,5,10p:g;12p:l;17p:g;18p:g;18q:g;20q:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s28,22,22,0,0,FALSE,0,3,0,3,10p:g;19p:g;3q:g,3,neutral,FALSE,0,GSE239721,PT21A
observation.observation_s19,21,21,0,0,FALSE,0,5,1,4,10p:g;17p:g;19p:g;20p:l;3p:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s36,17,17,0,0,FALSE,0,3,0,3,17p:g;19p:g;19q:g,4,gain,FALSE,0,GSE239721,PT21A
observation.observation_s40,9,9,0,0,FALSE,0,2,0,2,10p:g;3p:g,3,neutral,FALSE,0,GSE239721,PT21A
observation.observation_s18,3,3,0,0,FALSE,0,4,0,4,10p:g;17p:g;20q:g;3p:g,5,gain,FALSE,0,GSE239721,PT21A
