subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s14,483,483,193,0.399585921325052,FALSE,0.145331325301205,14,8,6,14q:l;16q:g;17p:g;18p:l;18q:l;19p:g;19q:g;20p:g;22q:g;2q:l;5p:l;6q:l;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s28,426,426,34,0.07981220657277,FALSE,0.0256024096385542,10,5,5,10p:l;17p:g;19p:g;19q:g;20p:g;22q:g;5p:l;6q:l;7q:l;8p:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s27,394,394,261,0.66243654822335,FALSE,0.196536144578313,13,6,7,11p:g;17p:g;18q:l;19p:g;19q:g;20p:g;20q:g;22q:g;2q:l;5p:l;6q:l;7p:l;7q:l,5,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s21,391,391,5,0.0127877237851662,FALSE,0.00376506024096386,8,4,4,17p:g;19p:g;19q:g;1p:g;6q:l;7p:l;7q:l;8p:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s5,341,341,29,0.0850439882697947,FALSE,0.0218373493975904,3,2,1,6p:g;7p:l;7q:l,3,neutral,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s45,326,326,113,0.346625766871166,FALSE,0.0850903614457831,13,5,8,12p:g;16q:g;17p:g;18q:l;19p:g;19q:g;20p:g;20q:g;22q:g;2q:l;5p:l;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s30,292,292,16,0.0547945205479452,FALSE,0.0120481927710843,6,3,3,17p:g;19q:g;20p:g;5p:l;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s51,270,270,61,0.225925925925926,FALSE,0.045933734939759,4,2,2,13q:g;6p:g;7p:l;7q:l,3,neutral,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s22,267,267,16,0.0599250936329588,FALSE,0.0120481927710843,2,2,0,7p:l;7q:l,3,neutral,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s25,229,229,48,0.209606986899563,FALSE,0.036144578313253,11,4,7,12p:g;17p:g;19p:g;19q:g;20p:g;22q:g;2q:l;5p:l;6p:g;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s3,226,226,55,0.243362831858407,FALSE,0.0414156626506024,11,5,6,12p:g;17p:g;18q:l;19p:g;19q:g;20p:g;22q:g;2q:l;5p:l;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s26,220,220,36,0.163636363636364,FALSE,0.0271084337349398,4,2,2,12p:g;6p:g;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s19,203,203,18,0.0886699507389163,FALSE,0.0135542168674699,8,3,5,12p:g;14q:l;17p:g;19p:g;19q:g;6p:g;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s15,198,198,9,0.0454545454545455,FALSE,0.00677710843373494,8,3,5,17p:g;19p:g;19q:g;20p:g;22q:g;5p:l;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s58,174,174,3,0.0172413793103448,FALSE,0.00225903614457831,4,3,1,14q:l;3p:g;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s52,167,167,3,0.0179640718562874,FALSE,0.00225903614457831,6,3,3,14q:l;17p:g;19p:g;19q:g;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s29,159,159,1,0.00628930817610063,FALSE,0.000753012048192771,4,2,2,17p:g;19q:g;7p:l;7q:l,4,gain,FALSE,0,GSE289435,GSM8791432_MLL_14666
observation.observation_s4,158,158,4,0.0253164556962025,FALSE,0.00301204819277108,2,2,0,7p:l;7q:l,3,neutral,FALSE,0,GSE289435,GSM8791432_MLL_14666
