subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s45,1q,gain,120,236,0.508474576271186,TRUE,Petti2019,548327
observation.observation_s45,5p,loss,25,25,1,TRUE,Petti2019,548327
observation.observation_s45,5q,loss,10,196,0.0510204081632653,FALSE,Petti2019,548327
observation.observation_s45,11p,gain,43,92,0.467391304347826,FALSE,Petti2019,548327
observation.observation_s45,11q,gain,47,196,0.239795918367347,FALSE,Petti2019,548327
observation.observation_s45,11q,loss,39,196,0.198979591836735,FALSE,Petti2019,548327
observation.observation_s45,12q,gain,47,212,0.221698113207547,FALSE,Petti2019,548327
observation.observation_s45,17p,gain,48,70,0.685714285714286,TRUE,Petti2019,548327
observation.observation_s45,20p,gain,41,41,1,TRUE,Petti2019,548327
observation.observation_s45,20q,gain,10,78,0.128205128205128,FALSE,Petti2019,548327
observation.observation_s45,22q,gain,17,129,0.131782945736434,FALSE,Petti2019,548327
observation.observation_s36,1p,loss,38,259,0.146718146718147,FALSE,Petti2019,548327
observation.observation_s36,1q,loss,67,236,0.283898305084746,FALSE,Petti2019,548327
observation.observation_s36,4q,gain,34,111,0.306306306306306,FALSE,Petti2019,548327
observation.observation_s36,6p,loss,72,145,0.496551724137931,FALSE,Petti2019,548327
observation.observation_s36,9q,gain,73,114,0.640350877192982,TRUE,Petti2019,548327
observation.observation_s36,11p,gain,39,92,0.423913043478261,FALSE,Petti2019,548327
observation.observation_s36,11q,loss,43,196,0.219387755102041,FALSE,Petti2019,548327
observation.observation_s36,14q,gain,18,178,0.101123595505618,FALSE,Petti2019,548327
observation.observation_s36,17q,gain,46,213,0.215962441314554,FALSE,Petti2019,548327
observation.observation_s36,19p,gain,88,172,0.511627906976744,TRUE,Petti2019,548327
observation.observation_s36,19q,gain,24,139,0.172661870503597,FALSE,Petti2019,548327
observation.observation_s36,22q,gain,129,129,1,TRUE,Petti2019,548327
observation.observation_s41,1p,loss,2,259,0.00772200772200772,FALSE,Petti2019,548327
observation.observation_s41,1q,loss,85,236,0.360169491525424,FALSE,Petti2019,548327
observation.observation_s41,6p,loss,73,145,0.503448275862069,TRUE,Petti2019,548327
observation.observation_s41,9q,gain,61,114,0.535087719298246,TRUE,Petti2019,548327
observation.observation_s41,11p,gain,37,92,0.402173913043478,FALSE,Petti2019,548327
observation.observation_s41,11q,loss,38,196,0.193877551020408,FALSE,Petti2019,548327
observation.observation_s41,17q,gain,46,213,0.215962441314554,FALSE,Petti2019,548327
observation.observation_s41,19p,gain,74,172,0.430232558139535,FALSE,Petti2019,548327
observation.observation_s41,19q,gain,21,139,0.151079136690647,FALSE,Petti2019,548327
observation.observation_s24,4q,gain,40,111,0.36036036036036,FALSE,Petti2019,548327
observation.observation_s24,6p,gain,17,145,0.117241379310345,FALSE,Petti2019,548327
observation.observation_s24,6p,loss,67,145,0.462068965517241,FALSE,Petti2019,548327
observation.observation_s24,11p,gain,43,92,0.467391304347826,FALSE,Petti2019,548327
observation.observation_s24,11q,loss,44,196,0.224489795918367,FALSE,Petti2019,548327
observation.observation_s24,12q,gain,57,212,0.268867924528302,FALSE,Petti2019,548327
observation.observation_s24,19p,gain,34,172,0.197674418604651,FALSE,Petti2019,548327
observation.observation_s24,20p,gain,41,41,1,TRUE,Petti2019,548327
observation.observation_s24,20q,gain,32,78,0.41025641025641,FALSE,Petti2019,548327
observation.observation_s24,22q,gain,76,129,0.589147286821706,TRUE,Petti2019,548327
observation.observation_s5,1p,gain,45,259,0.173745173745174,FALSE,Petti2019,548327
observation.observation_s5,1p,loss,16,259,0.0617760617760618,FALSE,Petti2019,548327
observation.observation_s5,1q,loss,76,236,0.322033898305085,FALSE,Petti2019,548327
observation.observation_s5,1q,gain,24,236,0.101694915254237,FALSE,Petti2019,548327
observation.observation_s5,2p,loss,33,169,0.195266272189349,FALSE,Petti2019,548327
observation.observation_s5,2q,loss,8,185,0.0432432432432432,FALSE,Petti2019,548327
observation.observation_s5,4q,gain,107,111,0.963963963963964,TRUE,Petti2019,548327
observation.observation_s5,6p,gain,16,145,0.110344827586207,FALSE,Petti2019,548327
observation.observation_s5,6p,loss,72,145,0.496551724137931,FALSE,Petti2019,548327
observation.observation_s5,7p,gain,56,86,0.651162790697675,TRUE,Petti2019,548327
observation.observation_s5,11p,loss,21,92,0.228260869565217,FALSE,Petti2019,548327
observation.observation_s5,11p,gain,40,92,0.434782608695652,FALSE,Petti2019,548327
observation.observation_s5,11q,loss,91,196,0.464285714285714,FALSE,Petti2019,548327
observation.observation_s5,12q,gain,69,212,0.325471698113208,FALSE,Petti2019,548327
observation.observation_s5,14q,gain,18,178,0.101123595505618,FALSE,Petti2019,548327
