subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s9,264,264,43,0.162878787878788,FALSE,0.19634703196347,3,0,3,17p:g;19q:g;22q:g,4,gain,FALSE,0,Petti2019,721214
observation.observation_s21,239,239,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s86,238,238,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s22,236,236,2,0.00847457627118644,FALSE,0.0091324200913242,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s24,197,197,1,0.0050761421319797,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s29,196,196,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s13,193,193,5,0.0259067357512953,FALSE,0.0228310502283105,1,0,1,7p:g,3,neutral,FALSE,0,Petti2019,721214
observation.observation_s50,190,190,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s91,184,184,1,0.00543478260869565,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s56,182,182,2,0.010989010989011,FALSE,0.0091324200913242,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s11,180,180,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s25,176,176,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s106,172,172,4,0.0232558139534884,FALSE,0.0182648401826484,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s28,171,171,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s10,169,169,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s18,167,167,1,0.00598802395209581,FALSE,0.0045662100456621,1,0,1,7p:g,3,neutral,FALSE,0,Petti2019,721214
observation.observation_s75,164,164,1,0.00609756097560976,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s17,160,160,5,0.03125,FALSE,0.0228310502283105,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s48,160,160,2,0.0125,FALSE,0.0091324200913242,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s16,158,158,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s107,157,157,4,0.0254777070063694,FALSE,0.0182648401826484,1,0,1,7p:g,3,neutral,FALSE,0,Petti2019,721214
observation.observation_s35,156,156,2,0.0128205128205128,FALSE,0.0091324200913242,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s70,156,156,1,0.00641025641025641,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s55,154,154,38,0.246753246753247,FALSE,0.17351598173516,4,0,4,13q:g;4q:g;6q:g;7p:g,3,neutral,FALSE,0,Petti2019,721214
observation.observation_s79,154,154,2,0.012987012987013,FALSE,0.0091324200913242,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s61,149,149,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s15,148,148,1,0.00675675675675676,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s38,148,148,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s39,147,147,1,0.00680272108843537,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s42,145,145,3,0.0206896551724138,FALSE,0.0136986301369863,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s44,142,142,2,0.0140845070422535,FALSE,0.0091324200913242,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s82,142,142,2,0.0140845070422535,FALSE,0.0091324200913242,1,0,1,7p:g,3,neutral,FALSE,0,Petti2019,721214
observation.observation_s36,139,139,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s53,137,137,1,0.0072992700729927,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s78,137,137,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s76,136,136,3,0.0220588235294118,FALSE,0.0136986301369863,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s2,134,134,1,0.00746268656716418,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s58,134,134,1,0.00746268656716418,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s6,133,133,1,0.0075187969924812,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s80,133,133,7,0.0526315789473684,FALSE,0.0319634703196347,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s34,132,132,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s87,131,131,2,0.0152671755725191,FALSE,0.0091324200913242,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s31,130,130,1,0.00769230769230769,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s54,126,126,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s19,124,124,1,0.00806451612903226,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s73,124,124,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s102,124,124,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s4,121,121,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s68,120,120,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s40,117,117,3,0.0256410256410256,FALSE,0.0136986301369863,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s64,117,117,6,0.0512820512820513,FALSE,0.0273972602739726,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s59,116,116,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s14,115,115,8,0.0695652173913044,FALSE,0.0365296803652968,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s93,113,113,6,0.0530973451327434,FALSE,0.0273972602739726,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s33,112,112,0,0,FALSE,0,1,0,1,7p:g,3,neutral,FALSE,0,Petti2019,721214
observation.observation_s30,110,110,1,0.00909090909090909,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s66,110,110,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s103,110,110,1,0.00909090909090909,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s62,109,109,0,0,FALSE,0,1,0,1,8q:g,3,neutral,FALSE,0,Petti2019,721214
observation.observation_s101,105,105,1,0.00952380952380953,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s63,104,104,3,0.0288461538461538,FALSE,0.0136986301369863,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s65,104,104,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s7,103,103,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s57,101,101,2,0.0198019801980198,FALSE,0.0091324200913242,1,0,1,7p:g,3,neutral,FALSE,0,Petti2019,721214
observation.observation_s43,100,100,0,0,FALSE,0,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s1,99,99,1,0.0101010101010101,FALSE,0.0045662100456621,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
observation.observation_s85,98,98,2,0.0204081632653061,FALSE,0.0091324200913242,0,0,0,"",3,neutral,FALSE,0,Petti2019,721214
