arm_frac_min,arm_event_min,subclone_mal_min,n_Dg,n_Healthy,ck_Dg,ck_Healthy,ck_healthy_fpr,p17_Dg,p17_Healthy,p17_healthy_fpr,ck_auc_Dg_vs_H
0.5,2,0,37,23,33,18,0.782608695652174,3,1,0.0434782608695652,0.468272620446534
0.5,2,0.5,37,23,25,14,0.608695652173913,3,1,0.0434782608695652,0.531139835487662
0.5,2,0.8,37,23,19,9,0.391304347826087,3,1,0.0434782608695652,0.54524089306698
0.5,3,0,37,23,32,18,0.782608695652174,3,1,0.0434782608695652,0.468272620446534
0.5,3,0.5,37,23,24,14,0.608695652173913,3,1,0.0434782608695652,0.531139835487662
0.5,3,0.8,37,23,19,9,0.391304347826087,3,1,0.0434782608695652,0.54524089306698
0.5,4,0,37,23,32,18,0.782608695652174,3,1,0.0434782608695652,0.468272620446534
0.5,4,0.5,37,23,24,13,0.565217391304348,3,1,0.0434782608695652,0.531139835487662
0.5,4,0.8,37,23,19,9,0.391304347826087,3,1,0.0434782608695652,0.54524089306698
0.5,5,0,37,23,27,18,0.782608695652174,3,1,0.0434782608695652,0.468272620446534
0.5,5,0.5,37,23,22,13,0.565217391304348,3,1,0.0434782608695652,0.531139835487662
0.5,5,0.8,37,23,18,8,0.347826086956522,3,1,0.0434782608695652,0.54524089306698
0.6,2,0,37,23,33,18,0.782608695652174,3,1,0.0434782608695652,0.45710928319624
0.6,2,0.5,37,23,24,14,0.608695652173913,3,1,0.0434782608695652,0.532902467685076
0.6,2,0.8,37,23,18,9,0.391304347826087,3,1,0.0434782608695652,0.551116333725029
0.6,3,0,37,23,30,18,0.782608695652174,3,1,0.0434782608695652,0.45710928319624
0.6,3,0.5,37,23,23,13,0.565217391304348,3,1,0.0434782608695652,0.532902467685076
0.6,3,0.8,37,23,18,9,0.391304347826087,3,1,0.0434782608695652,0.551116333725029
0.6,4,0,37,23,28,18,0.782608695652174,3,1,0.0434782608695652,0.45710928319624
0.6,4,0.5,37,23,23,13,0.565217391304348,3,1,0.0434782608695652,0.532902467685076
0.6,4,0.8,37,23,18,8,0.347826086956522,3,1,0.0434782608695652,0.551116333725029
