gene_set,gene,in_our_panel,pairs_higher,p_sample_higher,robustness_share,median_delta_log2cpm,panel_category,n_pairs
LCC_TP53_MACROPHAGE_C1Q,C1QA,TRUE,6/9,0.0390625,0.32,0.00848753036848714,macrophage_marker,9
LCC_TP53_MACROPHAGE_C1Q,C1QB,TRUE,7/9,0.0078125,0.896,0.00577792971823646,macrophage_marker,9
LCC_TP53_MACROPHAGE_C1Q,C1QC,TRUE,6/9,0.01953125,0.588,0.00302850850853226,macrophage_marker,9
LCC_TP53_MACROPHAGE_C1Q,MAF,TRUE,8/9,0.013671875,0.308,0.0445067003060528,macrophage_marker,9
LCC_TP53_MACROPHAGE_C1Q,LYVE1,TRUE,6/9,0.015625,0.64,0.00335931670524603,macrophage_marker,9
LCC_TP53_MACROPHAGE_C1Q,MRC1,TRUE,7/9,0.1015625,0.36,0.0112857602093431,macrophage_marker,9
LCC_TP53_MACROPHAGE_C1Q,VSIG4,TRUE,6/9,0.1796875,0.448,0.00136092552053996,macrophage_marker,9
LCC_TP53_MACROPHAGE_C1Q,CD163,TRUE,6/9,0.41015625,0,0.00601799180159375,macrophage_marker,9
LCC_COLLAGEN_CROSSLINK,PLOD2,TRUE,7/9,0.0390625,0.048,0.00165421263984356,ecm_remodeling,9
LCC_COLLAGEN_CROSSLINK,LOX,TRUE,6/9,0.048828125,0.616,0.00719626002094503,ecm_remodeling,9
LCC_COLLAGEN_CROSSLINK,LOXL1,TRUE,5/9,0.23046875,0.174,0.00250449493043505,ecm_remodeling,9
LCC_COLLAGEN_CROSSLINK,LOXL2,TRUE,5/9,0.212890625,0.068,0.000449560593385847,ecm_remodeling,9
LCC_COLLAGEN_CROSSLINK,MMP14,TRUE,7/9,0.1796875,0.108,0.00075146623269326,ecm_remodeling,9
LCC_COLLAGEN_CROSSLINK,TIMP1,TRUE,6/9,0.248046875,0.186,0.073681639549376,ecm_remodeling,9
LCC_COLLAGEN_CROSSLINK,SERPINH1,TRUE,5/9,0.3671875,0.128,0.011818790734457,ecm_remodeling,9
LCC_PROFIBROTIC_EFFECTOR,SPP1,TRUE,7/9,0.0078125,0.65,0.00397019695013957,profibrotic_cytokine_gf,9
LCC_PROFIBROTIC_EFFECTOR,OSM,TRUE,8/9,0.009765625,0.466,0.0158826944031674,profibrotic_cytokine_gf,9
LCC_PROFIBROTIC_EFFECTOR,PDGFB,TRUE,7/9,0.01171875,0.224,0.002770931453841,profibrotic_cytokine_gf,9
LCC_PROFIBROTIC_EFFECTOR,PDGFRB,TRUE,6/9,0.01953125,0.198,0.00266362192686845,profibrotic_cytokine_gf,9
LCC_PROFIBROTIC_EFFECTOR,IL11,TRUE,7/9,0.01953125,0.152,0.00131196111411288,profibrotic_cytokine_gf,9
LCC_PROFIBROTIC_EFFECTOR,TGFB3,TRUE,5/9,0.125,0.418,0.0012419374760851,profibrotic_cytokine_gf,9
LCC_HYPOXIA_GLYCOLYSIS,SLC2A1,TRUE,8/9,0.00390625,0.682,0.0146079207845167,hypoxia,9
LCC_HYPOXIA_GLYCOLYSIS,PGK1,TRUE,7/9,0.009765625,0.374,0.0343011814513299,hypoxia,9
LCC_HYPOXIA_GLYCOLYSIS,LDHA,TRUE,5/9,0.544921875,0,0.00839111398643011,hypoxia,9
LCC_HYPOXIA_GLYCOLYSIS,NDRG1,TRUE,3/9,0.962890625,0,-0.024614735716761,hypoxia,9
LCC_HYPOXIA_GLYCOLYSIS,ADM,TRUE,5/9,0.6328125,0,0.01183849948192,hypoxia,9
