celltype,n_samples,n_datasets,n_cells_total,median_umi_per_cell,rna_content_rel,flags
LMPP_GMP,178,13,140752,9004,1.13119130625962,""
T_NK,180,12,134053,3168.75,0.398096673890512,""
Monocyte,149,13,124539,4762.5,0.598322811646094,""
HSC_MPP,153,12,80799,8791.5,1.10449448789221,""
AML_blast,113,9,78193,2598,0.326392160557806,""
Erythroid_MEP,126,12,39679,7349.5,0.923333019253117,no_erythroblasts_see_README
B,107,11,38485,2988,0.375388674267408,""
DC,114,12,26633,8570,1.07666698074688,""
MSC_fibroblast,22,3,20181,5515.5,0.692923772731556,""
Plasma,42,10,18001,11437,1.43685417255567,""
Megakaryocyte,19,6,5162,9801,1.23132007914821,""
Osteolineage,12,1,5085,6675.25,0.838625584974403,single_dataset
Macrophage,17,7,1952,7018,0.881685982599956,""
Adipo_MSC,10,2,1162,12483.75,1.56835955903138,adipogenic_MSC_not_mature_adipocyte
Endothelial,6,1,657,12793.75,1.60730550582619,single_dataset;few_cells
Pericyte,9,1,556,11254,1.41386350073809,single_dataset;few_cells
