marker_set,gene,top_celltype,top_value,share_of_total
granule_GMP,AZU1,LMPP_GMP,8.46,0.624
granule_GMP,PRTN3,LMPP_GMP,3.03,0.738
granule_GMP,ELANE,LMPP_GMP,4.4,0.671
granule_GMP,CTSG,LMPP_GMP,2.23,0.554
granule_GMP,MPO,LMPP_GMP,13.07,0.646
granule_GMP,DEFA1B,Adipo_MSC,0,
granule_GMP,PRG2,LMPP_GMP,0.06,0.546
granulocyte_mature,DEFA3,Osteolineage,0.09,0.422
granulocyte_mature,DEFA4,MSC_fibroblast,0.02,0.645
granulocyte_mature,LTF,Endothelial,0.11,0.582
granulocyte_mature,LCN2,Megakaryocyte,0.16,0.839
granulocyte_mature,CAMP,Monocyte,0.03,0.386
granulocyte_mature,CEACAM8,Adipo_MSC,0,
granulocyte_mature,FCGR3B,T_NK,0,0.774
granulocyte_mature,CXCR2,AML_blast,0.02,0.323
macrophage,C1QA,Macrophage,3.85,0.96
macrophage,C1QB,Macrophage,0.28,0.93
macrophage,C1QC,Macrophage,0.54,0.993
macrophage,LGMN,MSC_fibroblast,0.66,0.166
macrophage,MRC1,Macrophage,1.52,0.568
macrophage,LYVE1,Pericyte,0.34,0.777
macrophage,VSIG4,Macrophage,0.02,0.459
macrophage,CD163,Monocyte,0.41,0.422
monocyte,FCN1,Monocyte,10.61,0.656
monocyte,VCAN,Adipo_MSC,59.73,0.525
monocyte,S100A12,Monocyte,6.04,0.638
monocyte,S100A8,Monocyte,71.61,0.661
plasma_Ig,IGHG1,Plasma,230.03,0.857
plasma_Ig,IGKC,Plasma,3235.97,0.855
plasma_Ig,MZB1,Plasma,27.57,0.796
plasma_Ig,JCHAIN,Plasma,81.59,0.904
erythroid,HBB,AML_blast,1.05,0.191
erythroid,HBA1,AML_blast,0.12,0.215
erythroid,HBA2,AML_blast,0.23,0.336
erythroid,AHSP,AML_blast,0.08,0.214
erythroid,ALAS2,AML_blast,0.01,0.404
erythroid,GYPA,MSC_fibroblast,0,0.939
erythroid,SLC4A1,AML_blast,0.03,0.452
megakaryo,PF4,Megakaryocyte,15.08,0.996
megakaryo,PPBP,Megakaryocyte,7.12,0.988
megakaryo,GP9,Megakaryocyte,2.69,0.986
megakaryo,ITGA2B,Megakaryocyte,7.77,0.921
megakaryo,VWF,Endothelial,8.75,0.837
T_NK,CD3D,T_NK,4.73,0.975
T_NK,CD3E,T_NK,4.03,0.958
T_NK,IL7R,T_NK,4.85,0.933
T_NK,GNLY,T_NK,19.57,0.841
T_NK,NKG7,T_NK,15.57,0.663
HSPC,CD34,Endothelial,2.24,0.393
HSPC,AVP,HSC_MPP,0.32,0.95
HSPC,CRHBP,Endothelial,0.72,0.644
HSPC,SPINK2,HSC_MPP,4.99,0.413
fibro_MSC,COL1A1,Osteolineage,25.27,0.794
fibro_MSC,COL1A2,Osteolineage,26.31,0.543
fibro_MSC,COL3A1,Adipo_MSC,8.44,0.444
fibro_MSC,DCN,MSC_fibroblast,18.23,0.389
fibro_MSC,LUM,MSC_fibroblast,10.73,0.378
fibro_MSC,CXCL12,Adipo_MSC,114.36,0.557
osteo,BGLAP,Osteolineage,7.55,0.975
osteo,IBSP,Osteolineage,25.26,0.997
osteo,SP7,Osteolineage,0.42,0.971
osteo,RUNX2,Osteolineage,21.12,0.678
endothelial,PECAM1,Endothelial,8.06,0.502
endothelial,CDH5,Endothelial,2.11,0.873
endothelial,VWF,Endothelial,8.75,0.837
endothelial,EMCN,Endothelial,9.77,0.951
ribosome,RPL13,B,111.52,0.104
ribosome,RPS23,LMPP_GMP,81.71,0.106
ribosome,RPL30,B,69.21,0.117
ribosome,RPS11,B,35.24,0.108
