subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s3,147,147,144,0.979591836734694,FALSE,0.422287390029326,11,3,8,10p:g;11p:g;12p:g;16p:l;20p:g;21q:g;3q:g;4p:l;6p:l;7q:g;8p:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
observation.observation_s6,81,81,24,0.296296296296296,FALSE,0.0703812316715543,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
observation.observation_s1,71,71,33,0.464788732394366,FALSE,0.0967741935483871,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
observation.observation_s4,41,41,41,1,FALSE,0.120234604105572,14,5,9,10p:g;12p:g;16p:l;19p:l;19q:l;20p:g;21q:g;3q:g;4p:l;4q:g;6p:l;6q:g;7q:g;8p:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
observation.observation_s5,35,35,32,0.914285714285714,FALSE,0.093841642228739,9,3,6,10p:g;10q:g;19p:l;19q:l;1q:g;21q:g;3q:g;6p:l;6q:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
observation.observation_s8,25,25,25,1,FALSE,0.0733137829912024,14,4,10,10p:g;11p:g;11q:g;12p:g;15q:g;16p:l;19p:l;19q:l;20p:g;21q:g;3q:g;4q:g;6p:l;8p:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
observation.observation_s9,24,24,24,1,FALSE,0.0703812316715543,13,4,9,10p:g;12p:g;12q:g;16q:g;18p:l;18q:l;20p:g;21q:g;3p:l;3q:g;4p:l;5p:g;5q:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
observation.observation_s7,9,9,7,0.777777777777778,FALSE,0.0205278592375367,10,1,9,10q:g;11p:g;15q:g;17p:g;18p:l;19q:g;1p:g;22q:g;7p:g;9q:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
observation.observation_s2,8,8,8,1,FALSE,0.0234604105571848,11,3,8,10p:g;19p:l;19q:l;20q:g;21q:g;2p:g;3q:g;6q:g;7p:g;7q:g;8q:l,,,FALSE,0,Chen2023,AML24_Niche_Immune
observation.observation_s11,2,2,2,1,FALSE,0.00586510263929619,13,6,7,10p:g;11p:g;11q:g;12p:g;12q:g;15q:g;16q:g;18p:l;18q:l;4p:l;5q:l;6p:l;6q:l,,,FALSE,0,Chen2023,AML24_Niche_Immune
observation.observation_s10,1,1,1,1,FALSE,0.00293255131964809,13,4,9,10p:g;11p:g;14q:g;21q:g;22q:l;2p:g;3p:l;3q:g;5p:l;5q:g;7q:g;8p:g;8q:l,,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s9,125,125,0,0,TRUE,0,1,0,1,6p:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s12,118,118,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s18,103,103,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s11,91,91,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s1,85,85,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s8,85,85,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s23,82,82,0,0,TRUE,0,1,0,1,6p:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s19,75,75,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s10,69,69,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s21,67,67,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s4,64,64,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s13,61,61,0,0,TRUE,0,1,0,1,3q:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s25,61,61,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s28,56,56,0,0,TRUE,0,1,0,1,6p:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s5,55,55,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s26,55,55,0,0,TRUE,0,1,0,1,10q:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s17,51,51,0,0,TRUE,0,1,0,1,10p:g,,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s2,48,48,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s3,47,47,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s14,37,37,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s29,37,37,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s30,36,36,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s15,30,30,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
reference_normal.reference_normal_s33,26,26,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,AML24_Niche_Immune
