subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s10,134,134,26,0.194029850746269,FALSE,0.0418006430868167,8,3,5,10p:g;11p:l;18q:g;19q:l;20p:g;22q:g;3q:g;6p:l,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s3,106,106,36,0.339622641509434,FALSE,0.0578778135048232,7,2,5,10p:g;18p:l;18q:g;20p:g;22q:g;3q:g;6p:l,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s4,102,102,57,0.558823529411765,FALSE,0.0916398713826367,3,0,3,12p:g;20p:g;4p:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s11,94,94,92,0.978723404255319,FALSE,0.147909967845659,13,4,9,10p:g;11p:g;14q:l;15q:g;16p:l;19q:l;20p:g;21q:g;3q:g;6p:l;8p:g;9p:g;9q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s8,88,88,86,0.977272727272727,FALSE,0.138263665594855,17,6,11,10p:g;11p:g;15q:g;16p:l;19p:l;19q:l;20p:g;21q:g;22q:l;3q:g;4p:l;6p:l;6q:g;7q:g;8p:g;8q:g;9q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s2,85,85,78,0.917647058823529,FALSE,0.12540192926045,13,4,9,10p:g;11p:g;14q:l;15q:g;16p:l;20p:g;21q:g;2p:g;3q:g;4p:l;6p:l;8p:g;9q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s1,76,76,76,1,FALSE,0.122186495176849,16,5,11,10p:g;11p:g;16p:l;19p:l;19q:l;20p:g;21q:g;3p:l;3q:g;4q:g;5p:g;6p:l;6q:g;7q:g;8p:g;9q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s7,74,74,74,1,FALSE,0.118971061093248,16,5,11,10p:g;15q:g;16p:l;19p:l;19q:l;20p:g;21q:g;2p:g;3q:g;4p:l;5p:g;6p:l;6q:g;7q:g;8p:g;9q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s9,25,25,25,1,FALSE,0.0401929260450161,9,4,5,10p:g;16p:l;19p:l;19q:l;20p:g;3q:g;6p:l;6q:g;7q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s16,21,21,9,0.428571428571429,FALSE,0.0144694533762058,7,2,5,11q:g;12p:l;17p:g;20p:g;5p:l;6p:g;9q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s14,20,20,20,1,FALSE,0.0321543408360129,13,4,9,10p:g;11p:g;16p:l;1q:g;20p:g;21q:g;2p:g;3p:l;3q:g;4p:l;6p:l;8p:g;9q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s15,18,18,18,1,FALSE,0.0289389067524116,17,4,13,10p:g;10q:g;12p:g;15q:g;16p:l;16q:g;1q:g;20p:g;20q:g;5p:l;5q:l;7p:g;7q:g;8p:g;8q:l;9p:g;9q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s6,10,10,10,1,FALSE,0.0160771704180064,16,6,10,10p:g;14q:l;15q:g;16p:l;19q:l;20p:g;21q:g;22q:l;2p:g;3q:g;4p:l;4q:g;6p:l;6q:g;8p:g;8q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s5,7,7,7,1,FALSE,0.0112540192926045,10,4,6,10p:g;11p:g;14q:l;16p:l;21q:g;2p:g;3q:g;6p:l;7q:g;8q:l,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s12,4,4,3,0.75,FALSE,0.00482315112540193,11,5,6,10p:g;13q:l;16p:l;19q:l;21q:g;3p:l;3q:g;5p:g;5q:g;7q:g;8q:l,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s17,4,4,3,0.75,FALSE,0.00482315112540193,5,2,3,15q:g;18p:l;4q:g;5q:l;8p:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
observation.observation_s13,2,2,2,1,FALSE,0.00321543408360129,10,4,6,17p:l;18p:g;18q:g;19p:l;19q:l;21q:g;5q:g;6p:g;6q:g;8p:l,,,FALSE,0.786666666666667,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s2,86,86,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s17,77,77,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s14,76,76,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s11,72,72,0,0,TRUE,0,1,0,1,6p:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s4,66,66,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s22,62,62,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s7,59,59,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s9,59,59,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s6,58,58,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s8,58,58,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s24,55,55,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s12,53,53,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s19,50,50,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s28,50,50,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s1,47,47,0,0,TRUE,0,1,0,1,14q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s21,42,42,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s26,42,42,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s13,39,39,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s29,37,37,0,0,TRUE,0,1,0,1,9p:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s16,36,36,0,0,TRUE,0,1,0,1,9p:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s31,35,35,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s15,34,34,0,0,TRUE,0,2,0,2,15q:g;6p:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s27,32,32,0,0,TRUE,0,1,0,1,15q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s18,28,28,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s23,26,26,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s10,23,23,0,0,TRUE,0,1,0,1,6q:g,,,FALSE,0,Chen2023,NBM2_Niche_Immune
reference_normal.reference_normal_s25,23,23,0,0,TRUE,0,0,0,0,"",,,FALSE,0,Chen2023,NBM2_Niche_Immune
