subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s15,107,107,106,0.990654205607477,FALSE,0.087821043910522,10,3,7,10p:g;11p:g;12p:l;18q:g;19p:l;19q:l;3p:g;3q:g;6q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s20,92,92,37,0.402173913043478,FALSE,0.0306545153272577,7,2,5,10p:g;13q:g;18p:g;18q:g;19p:l;19q:l;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s22,88,88,66,0.75,FALSE,0.0546810273405137,9,2,7,10p:g;13q:g;18p:g;18q:g;19p:l;19q:l;1q:g;5p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s9,86,86,61,0.709302325581395,FALSE,0.0505385252692626,11,3,8,10p:g;11p:l;14q:g;18p:g;18q:g;19p:l;19q:l;1q:g;3q:g;5p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s12,80,80,74,0.925,FALSE,0.0613090306545153,11,3,8,10p:g;13q:g;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;3q:g;5p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s11,79,79,47,0.59493670886076,FALSE,0.0389395194697597,7,2,5,10p:g;13q:g;19p:l;19q:l;1q:g;3q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s7,75,75,71,0.946666666666667,FALSE,0.0588235294117647,13,4,9,10p:g;13q:g;17p:l;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;3q:g;5p:g;8q:g;9p:g,2,loss,TRUE,0.790123456790123,GSE116256,AML556-D0
observation.observation_s13,67,67,58,0.865671641791045,FALSE,0.048053024026512,11,2,9,10p:g;13q:g;18p:g;18q:g;19p:l;19q:l;1q:g;3q:g;5p:g;8p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s27,67,67,53,0.791044776119403,FALSE,0.043910521955261,10,2,8,10p:g;13q:g;14q:g;18p:g;18q:g;19p:l;19q:l;1q:g;5p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s23,63,63,49,0.777777777777778,FALSE,0.0405965202982602,12,3,9,10p:g;13q:g;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;3q:g;8p:g;8q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s17,61,61,54,0.885245901639344,FALSE,0.0447390223695112,12,4,8,10p:g;11p:l;13q:g;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;3q:g;8p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s26,59,59,42,0.711864406779661,FALSE,0.0347970173985087,8,2,6,10p:g;18p:g;18q:g;19p:l;19q:l;1q:g;3q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s2,57,57,41,0.719298245614035,FALSE,0.0339685169842585,9,2,7,10p:g;13q:g;18q:g;19p:l;19q:l;1q:g;3q:g;5p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s29,55,55,38,0.690909090909091,FALSE,0.0314830157415079,9,2,7,10p:g;13q:g;14q:g;18p:g;18q:g;19p:l;19q:l;1q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s18,51,51,28,0.549019607843137,FALSE,0.0231980115990058,9,2,7,10p:g;10q:g;18p:g;18q:g;19p:l;19q:l;1q:g;5p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s14,50,50,45,0.9,FALSE,0.0372825186412593,15,4,11,10p:g;11p:l;14q:g;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;3q:g;5p:g;5q:g;6q:g;8p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s3,41,41,20,0.487804878048781,FALSE,0.0165700082850041,7,2,5,10p:g;18p:g;18q:g;19p:l;19q:l;1q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s16,41,41,36,0.878048780487805,FALSE,0.0298260149130075,13,3,10,10p:g;13q:g;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;5p:g;5q:g;8p:g;8q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s21,41,41,30,0.731707317073171,FALSE,0.0248550124275062,13,3,10,10p:g;13q:g;15q:g;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;3q:g;5p:g;7p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s31,41,41,31,0.75609756097561,FALSE,0.0256835128417564,12,3,9,10p:g;13q:g;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;3q:g;5p:g;5q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s6,38,38,32,0.842105263157895,FALSE,0.0265120132560066,13,3,10,10p:g;10q:g;13q:g;15q:g;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;3q:g;5p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s4,37,37,23,0.621621621621622,FALSE,0.0190555095277548,6,2,4,10p:g;14q:g;19p:l;19q:l;1q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s1,36,36,36,1,FALSE,0.0298260149130075,14,4,10,10p:g;11p:l;13q:g;14q:g;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;3q:g;5p:g;6q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
observation.observation_s5,36,36,28,0.777777777777778,FALSE,0.0231980115990058,12,3,9,10p:g;10q:g;18p:g;18q:g;19p:l;19q:l;1q:g;22q:l;3q:g;5p:g;8q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML556-D0
