subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s5,93,93,6,0.0645161290322581,FALSE,0.0192307692307692,5,1,4,18q:g;19q:l;4p:g;6q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s7,90,90,1,0.0111111111111111,FALSE,0.00320512820512821,4,1,3,18q:g;19q:l;4p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s6,80,80,9,0.1125,FALSE,0.0288461538461538,4,2,2,18q:g;19p:l;19q:l;4p:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s23,79,79,24,0.30379746835443,FALSE,0.0769230769230769,5,2,3,12p:g;18q:g;19p:l;19q:l;4p:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s22,78,78,65,0.833333333333333,FALSE,0.208333333333333,11,3,8,13q:g;18p:g;18q:g;19p:l;19q:l;21q:g;22q:l;2q:g;3q:g;4p:g;6q:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s11,74,74,18,0.243243243243243,FALSE,0.0576923076923077,9,2,7,18q:g;19p:l;19q:l;3p:g;3q:g;4p:g;5q:g;6q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s4,62,62,1,0.0161290322580645,FALSE,0.00320512820512821,5,2,3,18q:g;19p:l;19q:l;4p:g;6q:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s26,57,57,8,0.140350877192982,FALSE,0.0256410256410256,6,2,4,15q:g;18q:g;19p:l;19q:l;4p:g;9p:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s16,55,55,11,0.2,FALSE,0.0352564102564103,7,2,5,13q:g;18q:g;19p:l;19q:l;3q:g;4p:g;6q:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s19,54,54,15,0.277777777777778,FALSE,0.0480769230769231,11,3,8,13q:g;18q:g;19p:l;19q:l;20p:l;2q:g;3p:g;3q:g;4p:g;6q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s24,47,47,10,0.212765957446809,FALSE,0.0320512820512821,6,2,4,18q:g;19p:l;19q:l;1q:g;4p:g;6q:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s18,41,41,13,0.317073170731707,FALSE,0.0416666666666667,8,3,5,18q:g;19p:l;19q:l;1q:g;3p:g;3q:g;4p:g;7p:l,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s25,40,40,20,0.5,FALSE,0.0641025641025641,9,2,7,13q:g;18p:g;18q:g;19p:l;19q:l;21q:g;3q:g;4p:g;6q:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s13,35,35,4,0.114285714285714,FALSE,0.0128205128205128,6,2,4,12q:g;13q:g;18q:g;19p:l;19q:l;4p:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s27,33,33,11,0.333333333333333,FALSE,0.0352564102564103,6,2,4,10p:g;13q:g;18q:g;19p:l;19q:l;6q:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s14,32,32,8,0.25,FALSE,0.0256410256410256,7,2,5,10p:g;18q:g;19p:l;19q:l;3p:g;4p:g;5q:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
observation.observation_s12,30,30,5,0.166666666666667,FALSE,0.016025641025641,7,2,5,18q:g;19q:l;22q:l;3q:g;4p:g;6q:g;9p:g,3,neutral,FALSE,0,GSE116256,AML707B-D0
