subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s4,1p,gain,98,289,0.339100346020761,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,1q,gain,66,248,0.266129032258065,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,2p,gain,65,174,0.373563218390805,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,2q,gain,68,220,0.309090909090909,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,3p,gain,17,147,0.115646258503401,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,3q,gain,167,167,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,4p,gain,36,60,0.6,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,4q,gain,102,149,0.684563758389262,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,5p,gain,31,39,0.794871794871795,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,5q,gain,88,222,0.396396396396396,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,6p,gain,66,168,0.392857142857143,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,6p,loss,52,168,0.30952380952381,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,6q,gain,95,120,0.791666666666667,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,8q,gain,66,124,0.532258064516129,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,8q,loss,21,124,0.169354838709677,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,9p,gain,52,52,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,9q,gain,3,142,0.0211267605633803,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,9q,loss,20,142,0.140845070422535,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,10p,gain,56,56,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,10q,gain,2,145,0.0137931034482759,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,11p,loss,34,103,0.330097087378641,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,11q,loss,91,214,0.425233644859813,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,12p,gain,24,75,0.32,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,12q,gain,15,226,0.0663716814159292,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,13q,gain,103,103,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,16p,loss,35,132,0.265151515151515,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,16q,loss,34,91,0.373626373626374,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,17p,loss,43,81,0.530864197530864,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,17q,gain,45,236,0.190677966101695,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,17q,loss,43,236,0.182203389830508,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,18p,gain,8,27,0.296296296296296,FALSE,GSE116256,BM5-34p38n
observation.observation_s4,18q,gain,52,52,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,19p,loss,176,176,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,19q,loss,170,170,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s4,22q,loss,121,121,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,1p,gain,100,289,0.346020761245675,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,2p,gain,74,174,0.425287356321839,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,2q,gain,91,220,0.413636363636364,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,3p,gain,17,147,0.115646258503401,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,3q,gain,167,167,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,4p,gain,43,60,0.716666666666667,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,4q,gain,96,149,0.644295302013423,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,5p,gain,30,39,0.769230769230769,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,5q,gain,188,222,0.846846846846847,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,6p,loss,55,168,0.327380952380952,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,6p,gain,21,168,0.125,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,6q,gain,93,120,0.775,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,8q,gain,58,124,0.467741935483871,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,8q,loss,27,124,0.217741935483871,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,9p,gain,52,52,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,9q,gain,50,142,0.352112676056338,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,9q,loss,18,142,0.126760563380282,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,10p,gain,56,56,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,10q,gain,3,145,0.0206896551724138,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,11p,loss,36,103,0.349514563106796,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,11q,loss,88,214,0.411214953271028,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,11q,gain,55,214,0.257009345794393,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,12p,loss,32,75,0.426666666666667,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,16p,loss,37,132,0.28030303030303,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,16q,loss,34,91,0.373626373626374,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,17q,gain,43,236,0.182203389830508,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,17q,loss,43,236,0.182203389830508,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,18p,gain,5,27,0.185185185185185,FALSE,GSE116256,BM5-34p38n
observation.observation_s5,18q,gain,52,52,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,19p,loss,176,176,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,19q,loss,170,170,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s5,22q,loss,121,121,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,1p,gain,91,289,0.314878892733564,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,1q,gain,55,248,0.221774193548387,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,2q,gain,54,220,0.245454545454545,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,3p,gain,14,147,0.0952380952380952,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,3q,gain,167,167,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,4p,gain,37,60,0.616666666666667,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,4q,gain,110,149,0.738255033557047,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,5p,gain,14,39,0.358974358974359,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,5q,gain,171,222,0.77027027027027,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,6p,gain,61,168,0.363095238095238,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,6p,loss,55,168,0.327380952380952,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,6q,gain,96,120,0.8,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,8q,gain,69,124,0.556451612903226,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,8q,loss,25,124,0.201612903225806,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,9p,gain,52,52,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,9q,gain,18,142,0.126760563380282,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,9q,loss,18,142,0.126760563380282,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,10p,gain,56,56,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,10q,gain,33,145,0.227586206896552,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,11p,loss,38,103,0.368932038834951,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,11q,loss,96,214,0.448598130841121,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,12p,gain,20,75,0.266666666666667,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,12q,gain,12,226,0.0530973451327434,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,13q,gain,103,103,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,16p,loss,40,132,0.303030303030303,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,16q,loss,37,91,0.406593406593407,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,17p,loss,46,81,0.567901234567901,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,17q,loss,47,236,0.199152542372881,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,18p,gain,15,27,0.555555555555556,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,18q,gain,52,52,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,19p,loss,176,176,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,19q,loss,170,170,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s6,21q,gain,23,49,0.469387755102041,FALSE,GSE116256,BM5-34p38n
observation.observation_s6,22q,loss,121,121,1,TRUE,GSE116256,BM5-34p38n
observation.observation_s8,1p,gain,89,289,0.307958477508651,FALSE,GSE116256,BM5-34p38n
observation.observation_s8,1q,gain,56,248,0.225806451612903,FALSE,GSE116256,BM5-34p38n
observation.observation_s8,2p,gain,87,174,0.5,TRUE,GSE116256,BM5-34p38n
