subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s3,1p,gain,39,233,0.167381974248927,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,1p,loss,35,233,0.150214592274678,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,1q,gain,182,203,0.896551724137931,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,2p,loss,7,121,0.0578512396694215,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,2q,loss,33,152,0.217105263157895,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,5p,gain,32,32,1,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,5q,gain,39,167,0.233532934131737,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,6p,loss,92,114,0.807017543859649,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,7q,loss,80,119,0.672268907563025,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,8p,gain,39,39,1,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,8q,gain,112,112,1,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,10p,gain,26,35,0.742857142857143,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,10q,gain,26,107,0.242990654205607,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,11p,gain,35,66,0.53030303030303,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,11q,gain,9,170,0.0529411764705882,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,11q,loss,60,170,0.352941176470588,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,12q,gain,149,173,0.861271676300578,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,14q,gain,27,149,0.181208053691275,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,14q,loss,50,149,0.335570469798658,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,15q,loss,44,132,0.333333333333333,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,18p,loss,20,20,1,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,18q,loss,38,38,1,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,19p,gain,57,150,0.38,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,20p,gain,37,37,1,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s3,20q,gain,7,72,0.0972222222222222,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s25,4p,gain,17,44,0.386363636363636,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s25,4q,gain,87,87,1,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s25,6p,gain,64,114,0.56140350877193,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s25,6q,gain,20,91,0.21978021978022,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s25,11p,gain,66,66,1,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s25,11q,gain,34,170,0.2,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s25,12q,gain,53,173,0.30635838150289,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,1p,gain,162,233,0.695278969957082,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,1q,loss,41,203,0.201970443349754,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,2p,loss,10,121,0.0826446280991736,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,2q,loss,47,152,0.309210526315789,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,5q,gain,23,167,0.137724550898204,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,6p,gain,73,114,0.640350877192982,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,6q,gain,5,91,0.054945054945055,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,8p,loss,32,39,0.82051282051282,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,11p,gain,66,66,1,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,11q,gain,3,170,0.0176470588235294,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,12p,gain,52,52,1,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,12q,gain,118,173,0.682080924855491,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,14q,loss,68,149,0.456375838926175,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s19,17q,loss,32,174,0.183908045977012,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s5,1p,gain,60,233,0.257510729613734,FALSE,GSE185381,GSM5613752_2019-08-29-count-2
observation.observation_s5,3p,gain,74,111,0.666666666666667,TRUE,GSE185381,GSM5613752_2019-08-29-count-2
