subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s9,254,254,65,0.255905511811024,FALSE,0.0820707070707071,10,2,8,11p:g;11q:g;17p:g;19p:g;19q:g;20p:g;20q:g;22q:g;2q:l;4q:l,4,gain,FALSE,0,GSE185381,GSM5613763_2019-11-26-count-2
observation.observation_s27,216,216,1,0.00462962962962963,FALSE,0.00126262626262626,5,1,4,11p:g;12p:g;12q:g;19q:l;21q:g,3,neutral,FALSE,0,GSE185381,GSM5613763_2019-11-26-count-2
observation.observation_s17,200,200,11,0.055,FALSE,0.0138888888888889,5,1,4,10p:g;12p:g;19p:g;20p:g;3p:l,3,neutral,FALSE,0,GSE185381,GSM5613763_2019-11-26-count-2
observation.observation_s4,197,197,52,0.263959390862944,FALSE,0.0656565656565657,7,1,6,17p:g;19p:g;19q:g;20p:g;20q:g;22q:g;4q:l,4,gain,FALSE,0,GSE185381,GSM5613763_2019-11-26-count-2
observation.observation_s14,191,191,29,0.151832460732984,FALSE,0.0366161616161616,5,1,4,10p:g;12p:g;1q:g;20p:g;3p:l,3,neutral,FALSE,0,GSE185381,GSM5613763_2019-11-26-count-2
observation.observation_s21,187,187,1,0.0053475935828877,FALSE,0.00126262626262626,4,0,4,11p:g;12p:g;12q:g;19p:g,3,neutral,FALSE,0,GSE185381,GSM5613763_2019-11-26-count-2
observation.observation_s22,185,185,62,0.335135135135135,FALSE,0.0782828282828283,5,1,4,13q:g;19p:g;19q:g;22q:g;6p:l,3,neutral,FALSE,0,GSE185381,GSM5613763_2019-11-26-count-2
observation.observation_s25,177,177,8,0.0451977401129944,FALSE,0.0101010101010101,5,0,5,11p:g;12p:g;12q:g;17p:g;19p:g,4,gain,FALSE,0,GSE185381,GSM5613763_2019-11-26-count-2
observation.observation_s7,166,166,47,0.283132530120482,FALSE,0.0593434343434343,7,3,4,10p:g;12p:g;1q:g;20p:g;3p:l;4q:l;6q:l,3,neutral,FALSE,0,GSE185381,GSM5613763_2019-11-26-count-2
observation.observation_s41,161,161,29,0.180124223602484,FALSE,0.0366161616161616,3,0,3,5q:g;6q:g;7p:g,3,neutral,FALSE,0,GSE185381,GSM5613763_2019-11-26-count-2
