subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s1,345,345,5,0.0144927536231884,FALSE,0.0050251256281407,3,0,3,4q:g;8p:g;8q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s10,125,125,30,0.24,FALSE,0.0301507537688442,2,0,2,17p:g;20p:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s5,116,116,78,0.672413793103448,FALSE,0.078391959798995,17,4,13,10p:g;10q:g;11p:g;11q:l;17p:g;1q:g;20p:g;20q:g;21q:g;22q:g;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0.0333333333333333,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s13,109,109,63,0.577981651376147,FALSE,0.0633165829145729,15,4,11,10p:g;11p:g;17p:g;20p:g;20q:g;21q:g;22q:g;2q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s3,106,106,82,0.773584905660377,FALSE,0.0824120603015075,16,4,12,10p:g;11p:g;11q:l;12q:g;15q:g;17p:g;1q:g;20p:g;20q:g;21q:g;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s9,96,96,74,0.770833333333333,FALSE,0.0743718592964824,18,4,14,10p:g;11p:g;12q:g;15q:g;17p:g;1q:g;20p:g;20q:g;21q:g;22q:g;2q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s11,89,89,71,0.797752808988764,FALSE,0.071356783919598,15,4,11,10p:g;11p:g;17p:g;1q:g;20p:g;20q:g;21q:g;22q:g;2q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s7,81,81,48,0.592592592592593,FALSE,0.0482412060301508,16,4,12,10p:g;10q:g;11p:g;17p:g;20p:g;20q:g;21q:g;22q:g;2q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s20,79,79,67,0.848101265822785,FALSE,0.0673366834170854,18,5,13,10p:g;10q:g;11p:g;15q:g;17q:l;1q:g;20p:g;20q:g;21q:g;22q:g;2q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0.216666666666667,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s12,75,75,61,0.813333333333333,FALSE,0.0613065326633166,16,5,11,10p:g;11p:g;11q:l;17p:g;1q:g;20p:g;20q:g;21q:g;3p:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0.0166666666666667,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s21,68,68,54,0.794117647058824,FALSE,0.0542713567839196,16,4,12,10p:g;11p:g;11q:l;17p:g;20p:g;20q:g;21q:g;22q:g;5p:l;5q:l;6p:l;7p:g;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s22,65,65,54,0.830769230769231,FALSE,0.0542713567839196,14,4,10,10p:g;10q:g;11p:g;1q:g;20p:g;20q:g;21q:g;2q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g,,,FALSE,0.183333333333333,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s6,62,62,53,0.854838709677419,FALSE,0.0532663316582915,18,5,13,10p:g;11p:g;11q:l;15q:g;17p:g;17q:g;1q:g;20p:g;20q:g;21q:g;22q:g;2q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s18,51,51,33,0.647058823529412,FALSE,0.0331658291457286,15,3,12,10p:g;11p:g;12q:g;17p:g;20p:g;20q:g;21q:g;22q:g;2q:l;5p:l;5q:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s17,49,49,40,0.816326530612245,FALSE,0.0402010050251256,14,3,11,10p:g;11p:g;17p:g;1q:g;20p:g;20q:g;21q:g;4q:g;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g,,,FALSE,0.1,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s19,39,39,26,0.666666666666667,FALSE,0.0261306532663317,14,4,10,10p:g;11p:g;17p:g;1q:g;20p:g;20q:g;21q:g;2q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s8,37,37,32,0.864864864864865,FALSE,0.0321608040201005,16,3,13,10p:g;11p:g;11q:l;16p:l;1q:g;20p:g;20q:g;21q:g;3q:g;4q:g;6p:l;6q:g;7q:g;8p:g;8q:g;9p:g,,,FALSE,0.15,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s16,37,37,29,0.783783783783784,FALSE,0.0291457286432161,17,6,11,10p:g;10q:g;11q:l;16p:l;1q:g;20p:g;20q:g;21q:g;22q:g;2q:l;5p:l;5q:l;6p:l;7q:g;8p:g;8q:g;9p:g,,,FALSE,0.2,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s2,29,29,22,0.758620689655172,FALSE,0.0221105527638191,15,2,13,10p:g;10q:g;11p:g;15q:g;17p:g;20p:g;20q:g;21q:g;22q:g;5p:l;5q:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s14,28,28,27,0.964285714285714,FALSE,0.0271356783919598,18,7,11,10p:g;11q:l;15q:g;16p:l;17q:l;1q:g;20p:g;20q:g;21q:g;2q:l;5p:l;5q:l;6p:l;7p:g;8p:g;8q:g;9p:g;9q:g,,,FALSE,0.266666666666667,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s15,23,23,18,0.782608695652174,FALSE,0.0180904522613065,15,3,12,10p:g;10q:g;11p:g;16p:l;17p:g;1q:g;20p:g;21q:g;5p:l;5q:l;7p:g;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s4,10,10,9,0.9,FALSE,0.00904522613065327,18,7,11,10p:g;11p:g;11q:l;12q:g;13q:l;16q:g;17p:g;1q:g;21q:g;2q:l;3p:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s24,8,8,1,0.125,FALSE,0.00100502512562814,4,0,4,12q:g;21q:g;8p:g;8q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s25,6,6,6,1,FALSE,0.00603015075376884,20,7,13,10p:g;11p:g;11q:l;12q:g;16p:l;17p:g;17q:l;1q:g;20p:g;20q:g;21q:g;22q:g;2q:l;3q:g;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s23,5,5,4,0.8,FALSE,0.00402010050251256,12,5,7,16p:l;17p:l;18p:g;18q:g;19p:l;19q:l;3q:g;4p:g;4q:g;5q:l;7q:g;8p:g,,,FALSE,0.75,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s26,3,3,1,0.333333333333333,FALSE,0.00100502512562814,10,5,5,11p:g;14q:l;1q:l;21q:g;3p:l;4q:g;5q:l;6p:l;8p:g;8q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s30,3,3,1,0.333333333333333,FALSE,0.00100502512562814,12,4,8,12p:g;13q:l;16p:l;17p:g;19q:g;1p:g;5p:l;5q:l;7p:g;7q:g;8q:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s29,2,2,2,1,FALSE,0.00201005025125628,12,4,8,10p:g;10q:g;14q:g;17p:g;20p:g;20q:g;21q:g;2p:l;2q:l;4p:l;5q:l;9p:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s32,2,2,2,1,FALSE,0.00201005025125628,18,5,13,10p:g;11p:g;13q:l;15q:g;17p:g;1p:g;1q:g;20p:g;20q:g;21q:g;4q:l;5p:l;5q:l;6p:l;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s27,1,1,0,0,FALSE,0,15,4,11,10p:g;11q:l;12p:g;13q:g;14q:g;1p:g;21q:l;4p:l;5q:l;6q:g;7q:g;8p:g;8q:g;9p:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s28,1,1,1,1,FALSE,0.00100502512562814,21,6,15,11p:g;11q:l;12q:g;15q:g;17p:g;17q:g;19q:g;1q:g;20p:g;20q:g;21q:g;22q:g;2q:l;3p:l;5p:l;5q:l;6p:l;7p:g;8p:g;8q:g;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
observation.observation_s31,1,1,1,1,FALSE,0.00100502512562814,25,11,14,10p:g;10q:g;11p:g;12p:l;13q:g;14q:l;16p:l;16q:g;17p:g;17q:g;18p:l;19p:l;19q:l;1p:g;1q:g;21q:g;22q:g;2p:l;2q:l;5p:l;5q:l;6q:g;7p:g;7q:l;9q:g,,,FALSE,0.15,GSE185381,GSM5613766_2020-03-18-AML0048-c1
reference_normal.reference_normal_s1,64,64,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
reference_normal.reference_normal_s3,40,40,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
reference_normal.reference_normal_s2,29,29,0,0,TRUE,0,3,0,3,16p:g;16q:g;6p:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
reference_normal.reference_normal_s4,2,2,0,0,TRUE,0,7,2,5,12p:g;21q:g;2p:g;2q:g;4q:l;5q:l;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
reference_normal.reference_normal_s5,1,1,0,0,TRUE,0,19,8,11,10q:g;11p:g;12p:l;12q:g;14q:g;16p:l;17p:g;1p:l;1q:g;20p:g;21q:l;2p:l;3p:g;3q:l;4p:g;5q:g;6p:l;9p:l;9q:g,,,FALSE,0,GSE185381,GSM5613766_2020-03-18-AML0048-c1
