subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s6,1q,gain,56,149,0.375838926174497,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s6,11q,loss,22,142,0.154929577464789,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s6,12p,gain,53,54,0.981481481481481,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s6,17q,gain,36,148,0.243243243243243,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,1p,gain,16,187,0.0855614973262032,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,1q,gain,83,149,0.557046979865772,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,5p,loss,19,19,1,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,5q,loss,3,145,0.0206896551724138,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,5q,gain,59,145,0.406896551724138,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,7q,gain,40,94,0.425531914893617,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,8p,gain,24,29,0.827586206896552,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,11p,gain,35,62,0.564516129032258,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,11q,gain,31,142,0.21830985915493,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,11q,loss,50,142,0.352112676056338,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,12q,gain,81,152,0.532894736842105,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,16p,loss,40,66,0.606060606060606,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,17p,gain,40,54,0.740740740740741,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,19p,gain,37,134,0.276119402985075,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,19q,gain,105,105,1,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,20p,gain,28,28,1,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,20q,gain,33,69,0.478260869565217,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s3,22q,gain,16,84,0.19047619047619,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s1,1p,gain,16,187,0.0855614973262032,FALSE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
observation.observation_s1,1q,gain,95,149,0.63758389261745,TRUE,GSE185381,GSM5613774_2020-08-26-Control4003-c1
