subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s1,1q,gain,88,272,0.323529411764706,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s1,2p,gain,33,175,0.188571428571429,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s1,6p,gain,58,173,0.335260115606936,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s1,7q,gain,69,183,0.377049180327869,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s1,11p,gain,59,105,0.561904761904762,TRUE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s1,11q,gain,83,238,0.348739495798319,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s1,11q,loss,52,238,0.218487394957983,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s1,12q,gain,86,263,0.326996197718631,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s1,17p,gain,76,90,0.844444444444445,TRUE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s1,21q,gain,20,56,0.357142857142857,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s2,11q,loss,35,238,0.147058823529412,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s2,20p,gain,17,46,0.369565217391304,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s2,20q,gain,38,113,0.336283185840708,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s5,4p,gain,7,71,0.0985915492957746,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s5,4q,gain,46,135,0.340740740740741,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s5,8q,gain,69,131,0.526717557251908,TRUE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s5,11p,gain,48,105,0.457142857142857,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s5,11q,loss,40,238,0.168067226890756,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s7,6p,loss,47,173,0.271676300578035,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s7,20p,gain,19,46,0.41304347826087,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s7,20q,gain,35,113,0.309734513274336,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s4,1q,gain,66,272,0.242647058823529,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s4,2p,loss,13,175,0.0742857142857143,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s4,2q,loss,34,233,0.145922746781116,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s4,5p,loss,42,42,1,TRUE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s4,5q,loss,13,240,0.0541666666666667,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
observation.observation_s4,9p,gain,7,54,0.12962962962963,FALSE,GSE185381,GSM5613777_2020-09-11-AML4340_AML1371-c1
