subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s11,174,174,55,0.316091954022989,FALSE,0.107003891050584,7,2,5,13q:l;17p:g;19p:g;19q:g;20q:g;4q:l;8p:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s38,136,136,18,0.132352941176471,FALSE,0.0350194552529183,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s33,134,134,11,0.082089552238806,FALSE,0.0214007782101167,7,2,5,10p:g;13q:l;1q:g;20q:g;3p:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s28,132,132,12,0.0909090909090909,FALSE,0.0233463035019455,9,2,7,10p:g;13q:l;17p:g;19q:g;1q:g;20q:g;3p:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s16,130,130,5,0.0384615384615385,FALSE,0.00972762645914397,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s45,130,130,5,0.0384615384615385,FALSE,0.00972762645914397,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s9,129,129,14,0.108527131782946,FALSE,0.0272373540856031,7,2,5,10p:g;13q:l;1q:g;20q:g;3p:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s7,125,125,0,0,FALSE,0,5,1,4,13q:l;17p:g;19q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s21,120,120,3,0.025,FALSE,0.00583657587548638,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s14,117,117,14,0.11965811965812,FALSE,0.0272373540856031,7,1,6,10p:g;12p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s5,116,116,3,0.0258620689655172,FALSE,0.00583657587548638,7,1,6,10p:g;13q:l;17p:g;19q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s3,113,113,17,0.150442477876106,FALSE,0.0330739299610895,8,3,5,13q:l;17p:g;19q:g;1q:g;20q:g;3p:l;4q:l;8p:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s20,113,113,11,0.0973451327433628,FALSE,0.0214007782101167,7,1,6,10p:g;13q:l;17p:g;19q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s25,112,112,7,0.0625,FALSE,0.0136186770428016,8,3,5,13q:l;17p:g;19q:g;20q:g;3p:l;4q:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s19,109,109,7,0.0642201834862385,FALSE,0.0136186770428016,6,1,5,10p:g;13q:l;17p:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s29,109,109,20,0.18348623853211,FALSE,0.0389105058365759,8,3,5,13q:l;17p:g;1q:g;20q:g;3p:l;4q:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s27,106,106,5,0.0471698113207547,FALSE,0.00972762645914397,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s31,106,106,11,0.10377358490566,FALSE,0.0214007782101167,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s41,106,106,11,0.10377358490566,FALSE,0.0214007782101167,7,2,5,10p:g;13q:l;1q:g;20q:g;3p:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s26,101,101,2,0.0198019801980198,FALSE,0.00389105058365759,5,1,4,10p:g;13q:l;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s36,95,95,5,0.0526315789473684,FALSE,0.00972762645914397,5,0,5,10p:g;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s23,88,88,8,0.0909090909090909,FALSE,0.0155642023346304,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s8,87,87,4,0.0459770114942529,FALSE,0.00778210116731518,5,1,4,10p:g;13q:l;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s35,87,87,12,0.137931034482759,FALSE,0.0233463035019455,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s37,84,84,12,0.142857142857143,FALSE,0.0233463035019455,8,2,6,10p:g;12p:g;13q:l;1q:g;20q:g;3p:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s4,83,83,8,0.0963855421686747,FALSE,0.0155642023346304,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s1,82,82,15,0.182926829268293,FALSE,0.0291828793774319,5,1,4,10p:g;13q:l;1q:g;20q:g;8p:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s57,81,81,11,0.135802469135802,FALSE,0.0214007782101167,6,1,5,10p:g;13q:l;17p:g;19q:g;20q:g;8p:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s2,80,80,19,0.2375,FALSE,0.0369649805447471,6,2,4,13q:l;17p:g;19q:g;20q:g;3p:l;8p:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s12,76,76,3,0.0394736842105263,FALSE,0.00583657587548638,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s46,76,76,4,0.0526315789473684,FALSE,0.00778210116731518,7,2,5,10p:g;13q:l;1q:g;20q:g;3p:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s58,74,74,6,0.0810810810810811,FALSE,0.0116731517509728,7,2,5,10p:g;13q:l;1q:g;20q:g;4q:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s34,73,73,3,0.0410958904109589,FALSE,0.00583657587548638,6,1,5,13q:l;17p:g;19q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s59,71,71,7,0.0985915492957746,FALSE,0.0136186770428016,8,2,6,10p:g;13q:l;17p:g;1q:g;20q:g;3p:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s17,70,70,6,0.0857142857142857,FALSE,0.0116731517509728,8,2,6,10p:g;13q:l;17p:g;19q:g;1q:g;20q:g;3p:l;8p:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s54,67,67,10,0.149253731343284,FALSE,0.0194552529182879,7,1,6,10p:g;13q:l;1q:g;20q:g;21q:g;8p:g;8q:g,3,neutral,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s39,66,66,3,0.0454545454545455,FALSE,0.00583657587548638,6,1,5,13q:l;17p:g;19q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s18,61,61,12,0.19672131147541,FALSE,0.0233463035019455,5,0,5,10p:g;1q:g;20q:g;8p:g;8q:g,3,neutral,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s22,60,60,3,0.05,FALSE,0.00583657587548638,5,1,4,10p:g;13q:l;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s24,60,60,2,0.0333333333333333,FALSE,0.00389105058365759,7,2,5,10p:g;13q:l;1q:g;20q:g;4q:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s44,60,60,6,0.1,FALSE,0.0116731517509728,7,2,5,10p:g;13q:l;17p:g;20q:g;3p:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s6,59,59,6,0.101694915254237,FALSE,0.0116731517509728,8,1,7,12p:g;13q:l;17p:g;19p:g;19q:g;1q:g;20q:g;8p:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s48,59,59,2,0.0338983050847458,FALSE,0.00389105058365759,9,2,7,10p:g;12p:g;13q:l;17p:g;1q:g;20q:g;4q:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s30,58,58,10,0.172413793103448,FALSE,0.0194552529182879,7,2,5,13q:l;17p:g;19q:g;1q:g;20q:g;3p:l;8p:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s43,58,58,3,0.0517241379310345,FALSE,0.00583657587548638,7,1,6,10p:g;12p:g;13q:l;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s61,56,56,11,0.196428571428571,FALSE,0.0214007782101167,6,0,6,10p:g;12p:g;1q:g;20q:g;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s13,55,55,4,0.0727272727272727,FALSE,0.00778210116731518,6,2,4,13q:l;1q:g;20q:g;4q:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s56,54,54,19,0.351851851851852,FALSE,0.0369649805447471,6,1,5,10p:g;13q:l;1q:g;20q:g;8p:g;8q:g,3,neutral,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
observation.observation_s40,51,51,8,0.156862745098039,FALSE,0.0155642023346304,8,2,6,13q:l;16q:g;17p:g;19q:g;20q:g;2p:l;8p:g;8q:g,4,gain,FALSE,0,GSE185381,GSM5613779_2020-09-15-AML0024
