subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s2,1q,gain,70,152,0.460526315789474,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s2,7p,gain,63,63,1,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s2,7q,gain,13,105,0.123809523809524,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s2,10p,gain,37,37,1,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s2,10q,gain,22,86,0.255813953488372,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s2,11q,loss,46,138,0.333333333333333,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s2,12p,loss,33,38,0.868421052631579,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s2,12q,gain,37,147,0.251700680272109,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s2,22q,gain,51,81,0.62962962962963,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s8,1p,gain,57,210,0.271428571428571,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s8,6p,loss,37,109,0.339449541284404,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s8,11q,loss,28,138,0.202898550724638,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s8,12q,gain,134,147,0.91156462585034,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s6,14q,gain,72,124,0.580645161290323,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s6,20p,gain,33,33,1,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s6,20q,gain,15,64,0.234375,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,1p,gain,32,210,0.152380952380952,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,1q,gain,45,152,0.296052631578947,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,7p,gain,63,63,1,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,7q,gain,22,105,0.20952380952381,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,10p,gain,37,37,1,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,10q,gain,12,86,0.13953488372093,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,11q,loss,41,138,0.297101449275362,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,12p,loss,29,38,0.763157894736842,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,12q,gain,38,147,0.258503401360544,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,19p,gain,19,134,0.141791044776119,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,19q,gain,39,107,0.364485981308411,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s17,22q,gain,81,81,1,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s12,1p,gain,7,210,0.0333333333333333,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s12,1q,gain,61,152,0.401315789473684,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s12,7p,gain,63,63,1,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s12,7q,gain,37,105,0.352380952380952,FALSE,GSE185381,GSM5613782_2020-10-06-count4_0.95
observation.observation_s12,10p,gain,36,37,0.972972972972973,TRUE,GSE185381,GSM5613782_2020-10-06-count4_0.95
