subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s5,1p,gain,30,281,0.106761565836299,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,1q,gain,225,225,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,2q,loss,48,180,0.266666666666667,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,3q,gain,59,150,0.393333333333333,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,5q,loss,120,165,0.727272727272727,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,6p,gain,63,157,0.401273885350319,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,6p,loss,68,157,0.43312101910828,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,9p,gain,17,46,0.369565217391304,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,9q,gain,42,126,0.333333333333333,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,10p,gain,44,44,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,10q,gain,44,123,0.357723577235772,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,11p,gain,12,85,0.141176470588235,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,11q,gain,76,205,0.370731707317073,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,12p,gain,36,63,0.571428571428571,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,12q,gain,50,204,0.245098039215686,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,17p,loss,51,51,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,17q,loss,73,229,0.318777292576419,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,18p,loss,17,17,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,18q,loss,27,48,0.5625,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,19p,gain,53,190,0.278947368421053,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s5,19q,loss,25,149,0.167785234899329,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,1p,gain,54,281,0.192170818505338,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,1p,loss,46,281,0.163701067615658,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,1q,loss,18,225,0.08,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,5q,loss,82,165,0.496969696969697,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,5q,gain,13,165,0.0787878787878788,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,6p,gain,72,157,0.45859872611465,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,11p,gain,85,85,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,11q,gain,8,205,0.0390243902439024,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,12p,gain,31,63,0.492063492063492,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,12q,gain,126,204,0.617647058823529,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,14q,loss,60,180,0.333333333333333,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,16p,gain,38,129,0.294573643410853,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,17p,loss,51,51,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,17q,loss,67,229,0.292576419213974,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,18p,loss,17,17,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,18q,loss,48,48,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,19p,gain,156,190,0.821052631578947,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,19q,gain,149,149,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s11,22q,gain,86,115,0.747826086956522,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,3q,gain,57,150,0.38,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,4q,gain,63,117,0.538461538461538,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,5q,loss,86,165,0.521212121212121,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,5q,gain,12,165,0.0727272727272727,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,6p,gain,53,157,0.337579617834395,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,6p,loss,48,157,0.305732484076433,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,6q,gain,76,105,0.723809523809524,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,9p,gain,9,46,0.195652173913043,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,9q,gain,43,126,0.341269841269841,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,11p,gain,54,85,0.635294117647059,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,12p,gain,40,63,0.634920634920635,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,12q,gain,78,204,0.382352941176471,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,14q,loss,46,180,0.255555555555556,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,17p,loss,51,51,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,17q,loss,68,229,0.296943231441048,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,18p,loss,17,17,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,18q,loss,25,48,0.520833333333333,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s42,19p,gain,68,190,0.357894736842105,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,1p,gain,45,281,0.160142348754448,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,5q,loss,95,165,0.575757575757576,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,5q,gain,14,165,0.0848484848484849,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,6p,gain,86,157,0.547770700636943,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,11p,gain,85,85,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,11q,gain,103,205,0.502439024390244,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,12p,gain,45,63,0.714285714285714,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,12q,gain,76,204,0.372549019607843,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,17p,loss,51,51,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,17q,loss,74,229,0.323144104803493,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,18p,loss,17,17,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,18q,loss,48,48,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,19p,gain,138,190,0.726315789473684,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,19q,gain,115,149,0.771812080536913,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s2,22q,gain,71,115,0.617391304347826,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,1p,gain,77,281,0.274021352313167,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,2p,loss,53,154,0.344155844155844,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,2q,loss,54,180,0.3,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,5p,loss,17,39,0.435897435897436,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,5q,loss,124,165,0.751515151515152,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,5q,gain,18,165,0.109090909090909,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,6p,gain,129,157,0.821656050955414,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,11p,gain,85,85,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,11q,gain,118,205,0.575609756097561,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,12p,gain,41,63,0.650793650793651,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,12q,gain,122,204,0.598039215686275,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,14q,loss,65,180,0.361111111111111,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,16p,gain,36,129,0.27906976744186,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,17q,loss,65,229,0.283842794759825,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,17q,gain,35,229,0.152838427947598,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,18p,loss,17,17,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,18q,loss,48,48,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,19p,gain,190,190,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,19q,gain,149,149,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s24,22q,gain,115,115,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,1q,gain,36,225,0.16,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,5q,loss,106,165,0.642424242424243,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,5q,gain,14,165,0.0848484848484849,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,6p,gain,58,157,0.369426751592357,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,6p,loss,42,157,0.267515923566879,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,9p,gain,9,46,0.195652173913043,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,9q,gain,47,126,0.373015873015873,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,11p,gain,49,85,0.576470588235294,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,11q,gain,1,205,0.00487804878048781,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,12p,gain,40,63,0.634920634920635,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,12q,gain,98,204,0.480392156862745,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,14q,gain,25,180,0.138888888888889,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,14q,loss,39,180,0.216666666666667,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,17p,loss,51,51,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,17q,loss,72,229,0.314410480349345,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,18p,loss,17,17,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,18q,loss,48,48,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,19p,gain,150,190,0.789473684210526,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s4,19q,gain,117,149,0.785234899328859,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,1p,gain,88,281,0.313167259786477,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,5q,loss,79,165,0.478787878787879,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,5q,gain,14,165,0.0848484848484849,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,6p,gain,76,157,0.484076433121019,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,11p,gain,44,85,0.517647058823529,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,12p,gain,63,63,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,12q,gain,80,204,0.392156862745098,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,14q,loss,51,180,0.283333333333333,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,17p,loss,51,51,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,17q,loss,70,229,0.305676855895197,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,18p,loss,17,17,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,18q,loss,48,48,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,19p,gain,104,190,0.547368421052632,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s51,19q,gain,52,149,0.348993288590604,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,5q,loss,74,165,0.448484848484848,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,5q,gain,19,165,0.115151515151515,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,6p,gain,64,157,0.407643312101911,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,11p,gain,85,85,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,11q,gain,109,205,0.531707317073171,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,12p,gain,41,63,0.650793650793651,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,12q,gain,58,204,0.284313725490196,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,14q,loss,60,180,0.333333333333333,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,17q,loss,63,229,0.275109170305677,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,18p,loss,17,17,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,18q,loss,48,48,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,19p,gain,190,190,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,19q,gain,149,149,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s10,22q,gain,98,115,0.852173913043478,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,1p,gain,11,281,0.0391459074733096,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,1q,gain,132,225,0.586666666666667,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,4q,loss,56,117,0.478632478632479,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,5q,loss,101,165,0.612121212121212,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,6p,loss,38,157,0.24203821656051,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,9p,gain,8,46,0.173913043478261,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,9q,gain,44,126,0.349206349206349,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,10p,gain,44,44,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,10q,gain,47,123,0.382113821138211,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,12q,gain,48,204,0.235294117647059,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,18p,loss,17,17,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,18q,loss,48,48,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,19p,gain,111,190,0.58421052631579,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,19q,gain,65,149,0.436241610738255,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s36,22q,gain,67,115,0.582608695652174,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,1p,gain,75,281,0.266903914590747,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,5q,loss,88,165,0.533333333333333,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,5q,gain,16,165,0.096969696969697,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,6p,gain,55,157,0.35031847133758,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,11p,gain,81,85,0.952941176470588,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,12p,gain,63,63,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,12q,gain,151,204,0.740196078431373,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,14q,loss,48,180,0.266666666666667,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,17p,loss,51,51,1,TRUE,GSE185381,GSM5613785_2021-03-09-AML3948
observation.observation_s8,17q,loss,76,229,0.331877729257642,FALSE,GSE185381,GSM5613785_2021-03-09-AML3948
