subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s5,266,266,2,0.0075187969924812,FALSE,0.00160513643659711,1,1,0,20q:l,3,neutral,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s12,222,222,143,0.644144144144144,FALSE,0.114767255216693,5,2,3,17p:g;19p:g;19q:g;2q:l;5p:l,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s26,220,220,3,0.0136363636363636,FALSE,0.00240770465489567,3,2,1,17p:g;20q:l;8p:l,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s13,210,210,17,0.080952380952381,FALSE,0.0136436597110754,2,1,1,17p:g;8p:l,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s36,195,195,68,0.348717948717949,FALSE,0.0545746388443018,4,1,3,11q:g;17p:g;19q:g;5p:l,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s1,193,193,146,0.756476683937824,FALSE,0.117174959871589,12,6,6,11q:g;17p:g;18p:l;19p:g;19q:g;20p:g;22q:g;2q:l;3q:l;5p:l;6q:l;8p:l,5,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s37,173,173,121,0.699421965317919,FALSE,0.0971107544141252,6,1,5,10p:g;12p:g;1p:g;20p:g;6p:g;8p:l,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s22,150,150,132,0.88,FALSE,0.105939004815409,12,6,6,11q:g;17p:g;18p:l;18q:l;19p:g;19q:g;20p:g;20q:g;2q:l;4q:l;5p:l;6q:l,5,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s30,146,146,15,0.102739726027397,FALSE,0.0120385232744783,6,3,3,12p:g;19q:l;1p:g;20q:l;6p:g;8p:l,3,neutral,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s3,145,145,38,0.262068965517241,FALSE,0.0304975922953451,2,0,2,20p:g;6p:g,3,neutral,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s14,142,142,23,0.161971830985916,FALSE,0.0184590690208668,2,0,2,1q:g;6p:g,3,neutral,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s10,139,139,65,0.467625899280576,FALSE,0.0521669341894061,7,3,4,17p:g;19p:g;19q:g;20p:g;2q:l;4q:l;5p:l,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s17,139,139,28,0.201438848920863,FALSE,0.0224719101123596,6,3,3,17p:g;18q:l;20p:g;20q:g;4q:l;5p:l,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s15,136,136,1,0.00735294117647059,FALSE,0.000802568218298555,0,0,0,"",3,neutral,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s25,132,132,61,0.462121212121212,FALSE,0.0489566613162119,9,3,6,17p:g;19p:g;19q:g;20p:g;20q:g;2q:l;4q:l;5p:l;6p:g,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s9,127,127,14,0.110236220472441,FALSE,0.0112359550561798,6,2,4,12p:g;17p:g;1p:g;6p:g;6q:l;8p:l,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s2,125,125,18,0.144,FALSE,0.014446227929374,1,0,1,6p:g,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s32,124,124,63,0.508064516129032,FALSE,0.050561797752809,7,4,3,17p:g;18q:l;19q:g;2q:l;4q:l;5p:l;6p:g,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s35,123,123,14,0.113821138211382,FALSE,0.0112359550561798,2,1,1,4q:l;6p:g,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s24,116,116,19,0.163793103448276,FALSE,0.0152487961476726,4,1,3,17p:g;20p:g;4q:l;6p:g,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s16,115,115,30,0.260869565217391,FALSE,0.0240770465489567,5,1,4,17p:g;19q:g;20p:g;2q:l;6p:g,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s4,108,108,14,0.12962962962963,FALSE,0.0112359550561798,1,1,0,5p:l,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s33,107,107,19,0.177570093457944,FALSE,0.0152487961476726,3,1,2,17p:g;5p:l;6p:g,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
observation.observation_s31,96,96,6,0.0625,FALSE,0.00481540930979133,3,0,3,17p:g;19p:g;6p:g,4,gain,FALSE,0,GSE185381,GSM5613786_2021-03-09-AMLMS3730
