subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s1,17q,gain,32,177,0.180790960451977,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s4,1p,gain,54,226,0.238938053097345,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s2,1p,gain,50,226,0.221238938053097,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s2,5q,gain,20,175,0.114285714285714,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s2,6q,loss,39,98,0.397959183673469,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s2,11p,gain,48,73,0.657534246575342,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s2,11q,gain,2,140,0.0142857142857143,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s2,12q,gain,104,179,0.581005586592179,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s2,14q,loss,61,152,0.401315789473684,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s2,17p,gain,59,63,0.936507936507937,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s2,19p,gain,79,143,0.552447552447552,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s5,5q,gain,34,175,0.194285714285714,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s5,12q,gain,32,179,0.17877094972067,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s7,1p,gain,128,226,0.566371681415929,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s7,1q,gain,32,187,0.171122994652406,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s7,7p,gain,50,70,0.714285714285714,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s7,7q,gain,31,122,0.254098360655738,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,1p,gain,15,226,0.0663716814159292,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,1q,gain,75,187,0.401069518716578,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,5q,gain,25,175,0.142857142857143,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,11p,gain,73,73,1,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,11q,gain,60,140,0.428571428571429,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,11q,loss,36,140,0.257142857142857,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,12p,gain,20,50,0.4,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,12q,gain,61,179,0.340782122905028,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,17p,gain,41,63,0.650793650793651,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,19p,gain,29,143,0.202797202797203,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,19q,gain,74,112,0.660714285714286,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,20p,gain,22,31,0.709677419354839,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s8,20q,gain,31,76,0.407894736842105,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s6,5q,gain,22,175,0.125714285714286,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s6,6p,loss,48,110,0.436363636363636,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s6,7q,gain,93,122,0.762295081967213,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s6,22q,gain,66,95,0.694736842105263,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s3,4p,gain,10,49,0.204081632653061,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s3,4q,gain,68,100,0.68,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s3,5q,gain,18,175,0.102857142857143,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s3,8q,gain,44,95,0.463157894736842,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s3,12q,gain,40,179,0.223463687150838,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s9,1p,gain,46,226,0.20353982300885,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s9,3p,gain,65,113,0.575221238938053,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s9,4p,gain,41,49,0.836734693877551,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s9,4q,gain,100,100,1,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s9,5q,loss,45,175,0.257142857142857,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s9,6p,gain,47,110,0.427272727272727,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s10,4p,gain,5,49,0.102040816326531,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s10,4q,gain,54,100,0.54,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s10,5q,gain,66,175,0.377142857142857,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s10,6q,loss,60,98,0.612244897959184,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s10,17q,gain,94,177,0.531073446327684,TRUE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s11,1q,gain,40,187,0.213903743315508,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s11,6p,gain,43,110,0.390909090909091,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s11,6q,loss,47,98,0.479591836734694,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s11,7q,gain,30,122,0.245901639344262,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
observation.observation_s11,11p,gain,24,73,0.328767123287671,FALSE,GSE185381,GSM5613788_2021-03-09-Z-1-1
