subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s12,171,171,2,0.0116959064327485,FALSE,0.0128205128205128,2,1,1,14q:l;17p:g,4,gain,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s5,123,123,45,0.365853658536585,FALSE,0.288461538461538,0,0,0,"",3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s9,107,107,2,0.0186915887850467,FALSE,0.0128205128205128,0,0,0,"",3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s2,105,105,1,0.00952380952380953,FALSE,0.00641025641025641,0,0,0,"",3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s4,102,102,1,0.00980392156862745,FALSE,0.00641025641025641,0,0,0,"",3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s8,96,96,12,0.125,FALSE,0.0769230769230769,1,0,1,7p:g,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s11,92,92,63,0.684782608695652,FALSE,0.403846153846154,2,1,1,17p:g;5p:l,4,gain,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s13,83,83,11,0.132530120481928,FALSE,0.0705128205128205,1,0,1,7p:g,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s3,77,77,1,0.012987012987013,FALSE,0.00641025641025641,0,0,0,"",3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s6,75,75,3,0.04,FALSE,0.0192307692307692,1,0,1,7p:g,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s14,74,74,1,0.0135135135135135,FALSE,0.00641025641025641,2,1,1,17p:g;3q:l,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s7,53,53,2,0.0377358490566038,FALSE,0.0128205128205128,0,0,0,"",3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s1,43,43,7,0.162790697674419,FALSE,0.0448717948717949,1,0,1,20p:g,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s15,37,37,2,0.0540540540540541,FALSE,0.0128205128205128,1,0,1,7p:g,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s20,19,19,1,0.0526315789473684,FALSE,0.00641025641025641,1,0,1,17p:g,4,gain,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s10,8,8,1,0.125,FALSE,0.00641025641025641,2,0,2,17p:g;7p:g,4,gain,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s16,6,6,1,0.166666666666667,FALSE,0.00641025641025641,1,1,0,5p:l,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s18,4,4,0,0,FALSE,0,2,0,2,10p:g;1p:g,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s17,3,3,0,0,FALSE,0,5,3,2,15q:g;20q:l;5p:l;8p:l;9p:g,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s22,3,3,0,0,FALSE,0,3,1,2,1p:g;21q:g;8p:l,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
observation.observation_s19,2,2,0,0,FALSE,0,3,1,2,12p:l;3p:g;3q:g,3,neutral,FALSE,0,GSE185381,GSM5613790_2021-03-09-Z-1-3
