subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s2,11q,loss,17,109,0.155963302752294,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s1,1q,gain,44,138,0.318840579710145,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s1,11q,gain,69,109,0.63302752293578,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s1,15q,gain,34,89,0.382022471910112,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s1,19p,gain,39,108,0.361111111111111,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,1q,loss,65,138,0.471014492753623,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,3p,gain,38,88,0.431818181818182,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,3q,gain,56,83,0.674698795180723,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,5q,loss,77,122,0.631147540983607,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,6q,gain,14,74,0.189189189189189,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,8p,gain,25,25,1,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,8q,gain,4,64,0.0625,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,10p,gain,32,32,1,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,10q,gain,38,81,0.469135802469136,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,11q,gain,60,109,0.55045871559633,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,11q,loss,17,109,0.155963302752294,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,12p,gain,41,45,0.911111111111111,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,12q,gain,60,133,0.451127819548872,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,14q,loss,81,103,0.786407766990291,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,17q,loss,69,121,0.570247933884298,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,18q,loss,15,26,0.576923076923077,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s3,19p,loss,46,108,0.425925925925926,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,1p,gain,126,165,0.763636363636364,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,1q,gain,65,138,0.471014492753623,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,2p,loss,47,83,0.566265060240964,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,2q,loss,35,125,0.28,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,2q,gain,25,125,0.2,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,3p,loss,38,88,0.431818181818182,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,3p,gain,12,88,0.136363636363636,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,3q,gain,83,83,1,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,5p,loss,23,23,1,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,5q,loss,30,122,0.245901639344262,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,7p,gain,21,48,0.4375,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,8p,gain,25,25,1,TRUE,GSE185381,GSM5613791_2019-10-21-1-Control0004
observation.observation_s4,8q,gain,20,64,0.3125,FALSE,GSE185381,GSM5613791_2019-10-21-1-Control0004
