subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation,1p,gain,18,149,0.120805369127517,FALSE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,1q,gain,76,108,0.703703703703704,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,3p,loss,50,74,0.675675675675676,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,4p,loss,3,29,0.103448275862069,FALSE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,4q,loss,54,54,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,6p,gain,63,73,0.863013698630137,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,7q,gain,66,83,0.795180722891566,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,8p,loss,25,25,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,8q,loss,38,58,0.655172413793103,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,14q,gain,34,89,0.382022471910112,FALSE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,15q,gain,39,76,0.513157894736842,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,19p,loss,46,100,0.46,FALSE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,20p,gain,22,22,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
observation.observation,20q,gain,25,55,0.454545454545455,FALSE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s10,8q,gain,50,58,0.862068965517241,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s10,19q,gain,47,81,0.580246913580247,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s14,8p,gain,25,25,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s14,8q,gain,58,58,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s9,19q,gain,72,81,0.888888888888889,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s2,1p,gain,56,149,0.375838926174497,FALSE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s2,6p,gain,62,73,0.849315068493151,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s2,7q,gain,42,83,0.506024096385542,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s2,11q,gain,78,99,0.787878787878788,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s2,16p,gain,48,48,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s2,16q,gain,38,38,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s2,17p,gain,29,41,0.707317073170732,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,2p,gain,27,75,0.36,FALSE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,2q,gain,110,110,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,3p,loss,39,74,0.527027027027027,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,4q,loss,32,54,0.592592592592593,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,5p,loss,19,19,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,5q,loss,58,118,0.491525423728814,FALSE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,6p,gain,63,73,0.863013698630137,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,7q,gain,68,83,0.819277108433735,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,8p,loss,18,25,0.72,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,8q,loss,58,58,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,11p,gain,45,45,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,11q,gain,99,99,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,12q,loss,68,112,0.607142857142857,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,17p,gain,41,41,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,17q,gain,105,105,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,19p,loss,4,100,0.04,FALSE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,19q,loss,81,81,1,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s20,11p,gain,30,45,0.666666666666667,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s20,11q,gain,28,99,0.282828282828283,FALSE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s20,19p,gain,91,100,0.91,TRUE,GSE185381,GSM5613804_2021-04-29-2910_cDNA
