subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation,17,17,6,0.352941176470588,FALSE,1,9,4,5,15q:g;1q:g;20p:g;3p:l;4q:l;6p:g;7q:g;8p:l;8q:l,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s10,123,123,0,0,TRUE,0,2,0,2,19q:g;8q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s14,118,118,0,0,TRUE,0,2,0,2,8p:g;8q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s9,117,117,0,0,TRUE,0,1,0,1,19q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s2,111,111,0,0,TRUE,0,6,0,6,11q:g;16p:g;16q:g;17p:g;6p:g;7q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s5,94,94,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s24,77,77,0,0,TRUE,0,14,7,7,11p:g;11q:g;12q:l;17p:g;17q:g;19q:l;2q:g;3p:l;4q:l;5p:l;6p:g;7q:g;8p:l;8q:l,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s20,73,73,0,0,TRUE,0,3,0,3,11p:g;19p:g;19q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s35,70,70,0,0,TRUE,0,3,0,3,1p:g;2p:g;2q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s8,69,69,0,0,TRUE,0,2,0,2,19p:g;19q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s12,68,68,0,0,TRUE,0,3,0,3,12q:g;5p:g;5q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s25,68,68,0,0,TRUE,0,3,0,3,10p:g;10q:g;1q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s27,65,65,0,0,TRUE,0,0,0,0,"",,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s34,63,63,0,0,TRUE,0,4,0,4,19q:g;22q:g;4q:g;8q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s1,62,62,0,0,TRUE,0,6,0,6,19q:g;3p:g;4p:g;4q:g;8p:g;8q:g,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
reference_normal.reference_normal_s3,62,62,0,0,TRUE,0,5,2,3,19q:l;1p:g;1q:g;3q:g;4q:l,,,FALSE,0,GSE185381,GSM5613804_2021-04-29-2910_cDNA
