subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s17,1p,gain,86,334,0.25748502994012,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,5p,loss,45,45,1,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,5q,loss,12,231,0.051948051948052,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,5q,gain,40,231,0.173160173160173,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,6p,gain,86,195,0.441025641025641,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,6q,loss,99,127,0.779527559055118,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,8q,gain,17,144,0.118055555555556,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,9q,gain,49,169,0.289940828402367,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,11p,gain,57,112,0.508928571428571,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,11q,gain,137,236,0.580508474576271,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,12p,gain,20,67,0.298507462686567,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,12q,gain,61,263,0.231939163498099,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,14q,loss,112,214,0.523364485981308,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,16p,gain,39,151,0.258278145695364,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,17p,gain,86,98,0.877551020408163,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,17q,gain,4,281,0.0142348754448399,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,18p,loss,27,27,1,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,18q,loss,11,67,0.164179104477612,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,19p,gain,226,226,1,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,19q,gain,190,190,1,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s17,22q,gain,157,157,1,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s23,4p,gain,6,67,0.0895522388059701,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s23,4q,gain,51,140,0.364285714285714,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s23,5q,gain,27,231,0.116883116883117,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s23,17p,gain,42,98,0.428571428571429,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,1p,gain,123,334,0.368263473053892,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,1q,gain,80,256,0.3125,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,5p,loss,45,45,1,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,5q,loss,29,231,0.125541125541126,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,5q,gain,31,231,0.134199134199134,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,9q,gain,66,169,0.390532544378698,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,11p,gain,27,112,0.241071428571429,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,11q,gain,75,236,0.317796610169492,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,12p,loss,25,67,0.373134328358209,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,12q,loss,14,263,0.0532319391634981,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,12q,gain,52,263,0.197718631178707,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,17p,gain,90,98,0.918367346938776,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,19p,gain,49,226,0.216814159292035,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s16,19q,gain,146,190,0.768421052631579,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,1q,gain,133,256,0.51953125,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,3q,gain,66,169,0.390532544378698,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,6p,gain,28,195,0.143589743589744,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,6p,loss,39,195,0.2,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,7q,gain,144,189,0.761904761904762,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,8p,gain,61,71,0.859154929577465,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,9q,gain,51,169,0.301775147928994,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,10q,gain,100,177,0.564971751412429,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,11q,gain,65,236,0.275423728813559,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,12q,loss,46,263,0.174904942965779,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,17q,gain,75,281,0.266903914590747,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,19q,loss,72,190,0.378947368421053,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s2,20q,loss,31,114,0.271929824561404,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,4p,gain,8,67,0.119402985074627,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,4q,gain,58,140,0.414285714285714,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,5p,loss,45,45,1,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,5q,loss,1,231,0.00432900432900433,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,5q,gain,25,231,0.108225108225108,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,6p,gain,68,195,0.348717948717949,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,9q,gain,28,169,0.165680473372781,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,12q,gain,51,263,0.193916349809886,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,17p,gain,64,98,0.653061224489796,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,17q,gain,3,281,0.0106761565836299,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s9,19q,gain,118,190,0.621052631578947,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,1p,gain,220,334,0.658682634730539,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,1p,loss,47,334,0.140718562874252,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,2p,loss,44,178,0.247191011235955,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,5p,loss,29,45,0.644444444444445,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,5q,loss,93,231,0.402597402597403,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,5q,gain,32,231,0.138528138528139,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,6p,gain,51,195,0.261538461538462,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,6q,loss,102,127,0.803149606299213,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,9q,gain,40,169,0.236686390532544,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,11p,gain,32,112,0.285714285714286,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,11q,gain,102,236,0.432203389830509,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,12q,gain,60,263,0.228136882129278,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,14q,gain,25,214,0.116822429906542,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,14q,loss,65,214,0.303738317757009,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,16p,gain,41,151,0.271523178807947,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,17p,gain,95,98,0.969387755102041,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,17q,gain,33,281,0.117437722419929,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,19p,gain,174,226,0.769911504424779,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,19q,gain,190,190,1,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,20p,gain,53,53,1,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,20q,gain,13,114,0.114035087719298,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s18,22q,gain,157,157,1,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s31,4p,gain,3,67,0.0447761194029851,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s31,4q,gain,44,140,0.314285714285714,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s31,5p,loss,40,45,0.888888888888889,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s31,5q,gain,26,231,0.112554112554113,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s31,6p,gain,53,195,0.271794871794872,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s31,8q,gain,63,144,0.4375,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s31,12q,gain,41,263,0.155893536121673,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s31,17p,gain,54,98,0.551020408163265,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s15,1p,gain,43,334,0.12874251497006,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s15,1q,gain,179,256,0.69921875,TRUE,GSE207356,GSM6284913_TS173_05_Sample_E
observation.observation_s15,6p,loss,42,195,0.215384615384615,FALSE,GSE207356,GSM6284913_TS173_05_Sample_E
