subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s14,1q,gain,205,316,0.64873417721519,TRUE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,3q,gain,106,207,0.51207729468599,TRUE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,6p,loss,137,223,0.614349775784753,TRUE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,7q,gain,69,219,0.315068493150685,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,8p,gain,68,77,0.883116883116883,TRUE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,9p,gain,1,68,0.0147058823529412,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,9q,gain,80,202,0.396039603960396,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,10q,gain,112,214,0.523364485981308,TRUE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,11q,loss,62,282,0.219858156028369,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,12q,loss,56,306,0.183006535947712,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,13q,loss,48,126,0.380952380952381,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,19q,loss,48,214,0.224299065420561,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s14,20q,loss,32,132,0.242424242424242,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s9,1p,gain,41,400,0.1025,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s9,4p,gain,3,79,0.0379746835443038,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s9,4q,gain,61,184,0.331521739130435,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s9,6p,loss,43,223,0.192825112107623,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s9,8q,gain,49,165,0.296969696969697,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s9,11q,loss,62,282,0.219858156028369,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s9,12q,gain,43,306,0.140522875816993,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s9,17p,gain,45,115,0.391304347826087,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,1p,gain,66,400,0.165,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,4q,gain,46,184,0.25,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,5p,loss,36,52,0.692307692307692,TRUE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,5q,loss,19,284,0.0669014084507042,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,6p,loss,39,223,0.174887892376682,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,6p,gain,70,223,0.31390134529148,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,9q,gain,32,202,0.158415841584158,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,11p,gain,52,132,0.393939393939394,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,11q,gain,5,282,0.0177304964539007,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,11q,loss,68,282,0.24113475177305,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,12p,gain,23,83,0.27710843373494,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,12q,gain,61,306,0.199346405228758,FALSE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,14q,loss,171,258,0.662790697674419,TRUE,GSE207356,GSM6284914_TS173_06_Sample_F
observation.observation_s21,17p,gain,65,115,0.565217391304348,TRUE,GSE207356,GSM6284914_TS173_06_Sample_F
