subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s26,1p,loss,18,510,0.0352941176470588,FALSE,GSE227903,4978_Dg
observation.observation_s26,1q,loss,87,409,0.212713936430318,FALSE,GSE227903,4978_Dg
observation.observation_s26,1q,gain,33,409,0.0806845965770171,FALSE,GSE227903,4978_Dg
observation.observation_s26,2p,gain,51,272,0.1875,FALSE,GSE227903,4978_Dg
observation.observation_s26,2p,loss,31,272,0.113970588235294,FALSE,GSE227903,4978_Dg
observation.observation_s26,2q,loss,34,350,0.0971428571428571,FALSE,GSE227903,4978_Dg
observation.observation_s26,3q,gain,87,265,0.328301886792453,FALSE,GSE227903,4978_Dg
observation.observation_s26,4q,gain,55,216,0.25462962962963,FALSE,GSE227903,4978_Dg
observation.observation_s26,6p,loss,53,278,0.190647482014389,FALSE,GSE227903,4978_Dg
observation.observation_s26,6q,loss,34,198,0.171717171717172,FALSE,GSE227903,4978_Dg
observation.observation_s26,7p,gain,70,165,0.424242424242424,FALSE,GSE227903,4978_Dg
observation.observation_s26,7q,loss,68,298,0.228187919463087,FALSE,GSE227903,4978_Dg
observation.observation_s26,8p,gain,6,93,0.0645161290322581,FALSE,GSE227903,4978_Dg
observation.observation_s26,8q,gain,46,204,0.225490196078431,FALSE,GSE227903,4978_Dg
observation.observation_s26,10p,gain,34,88,0.386363636363636,FALSE,GSE227903,4978_Dg
observation.observation_s26,11p,gain,87,170,0.511764705882353,TRUE,GSE227903,4978_Dg
observation.observation_s26,11q,loss,132,355,0.371830985915493,FALSE,GSE227903,4978_Dg
observation.observation_s26,12q,gain,92,396,0.232323232323232,FALSE,GSE227903,4978_Dg
observation.observation_s26,13q,gain,86,166,0.518072289156627,TRUE,GSE227903,4978_Dg
observation.observation_s26,14q,loss,50,306,0.163398692810458,FALSE,GSE227903,4978_Dg
observation.observation_s26,17q,gain,58,427,0.135831381733021,FALSE,GSE227903,4978_Dg
observation.observation_s26,17q,loss,38,427,0.0889929742388759,FALSE,GSE227903,4978_Dg
observation.observation_s26,19p,gain,34,340,0.1,FALSE,GSE227903,4978_Dg
observation.observation_s26,19q,loss,88,325,0.270769230769231,FALSE,GSE227903,4978_Dg
observation.observation_s10,1p,loss,63,510,0.123529411764706,FALSE,GSE227903,4978_Dg
observation.observation_s10,1q,loss,81,409,0.198044009779951,FALSE,GSE227903,4978_Dg
observation.observation_s10,2p,loss,58,272,0.213235294117647,FALSE,GSE227903,4978_Dg
observation.observation_s10,2q,loss,61,350,0.174285714285714,FALSE,GSE227903,4978_Dg
observation.observation_s10,5q,gain,19,343,0.0553935860058309,FALSE,GSE227903,4978_Dg
observation.observation_s10,6p,loss,41,278,0.147482014388489,FALSE,GSE227903,4978_Dg
observation.observation_s10,6q,loss,51,198,0.257575757575758,FALSE,GSE227903,4978_Dg
