subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s9,290,290,18,0.0620689655172414,FALSE,0.142857142857143,3,0,3,10p:g;18p:g;18q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s16,151,151,1,0.00662251655629139,FALSE,0.00793650793650794,8,2,6,10p:g;13q:g;18p:g;18q:g;19q:l;3q:g;6p:l;6q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s21,151,151,0,0,FALSE,0,3,0,3,10p:g;18p:g;18q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s15,138,138,0,0,FALSE,0,5,2,3,10p:g;18p:g;18q:g;20p:l;4q:l,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s26,135,135,0,0,FALSE,0,4,0,4,10p:g;18p:g;18q:g;3q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s17,130,130,0,0,FALSE,0,4,0,4,10p:g;13q:g;18q:g;3q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s4,126,126,0,0,FALSE,0,7,2,5,10p:g;13q:g;18p:g;18q:g;19q:l;20p:l;21q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s28,126,126,3,0.0238095238095238,FALSE,0.0238095238095238,4,1,3,13q:g;18p:g;18q:g;19q:l,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s2,123,123,0,0,FALSE,0,2,0,2,18p:g;18q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s25,121,121,3,0.0247933884297521,FALSE,0.0238095238095238,7,3,4,10p:g;18p:g;18q:g;19q:l;20p:l;3q:g;6p:l,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s32,121,121,0,0,FALSE,0,3,0,3,10p:g;18p:g;18q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s24,119,119,14,0.117647058823529,FALSE,0.111111111111111,8,2,6,10p:g;13q:g;18p:g;18q:g;19q:l;22q:l;3q:g;6q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s8,113,113,0,0,FALSE,0,5,1,4,10p:g;18p:g;18q:g;19q:l;21q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s19,108,108,0,0,FALSE,0,2,0,2,13q:g;18q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s18,103,103,0,0,FALSE,0,4,0,4,10p:g;13q:g;18p:g;18q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s31,102,102,2,0.0196078431372549,FALSE,0.0158730158730159,4,0,4,10p:g;18p:g;18q:g;3q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s34,99,99,1,0.0101010101010101,FALSE,0.00793650793650794,4,1,3,10p:g;18p:g;18q:g;19q:l,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s3,98,98,2,0.0204081632653061,FALSE,0.0158730158730159,9,3,6,10p:g;13q:g;18p:g;18q:g;19q:l;20p:l;21q:g;22q:l;3q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s46,98,98,3,0.0306122448979592,FALSE,0.0238095238095238,8,2,6,10p:g;13q:g;18p:g;18q:g;19q:l;20p:l;21q:g;3q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
observation.observation_s14,93,93,1,0.010752688172043,FALSE,0.00793650793650794,4,0,4,10p:g;18p:g;18q:g;3q:g,3,neutral,FALSE,0,GSE227903,5750_Dg
