subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s1,200,200,5,0.025,FALSE,0.00819672131147541,0,0,0,"",3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s7,185,185,84,0.454054054054054,FALSE,0.137704918032787,4,2,2,12p:l;18p:g;18q:g;5p:l,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s5,182,182,85,0.467032967032967,FALSE,0.139344262295082,3,1,2,11p:g;20p:g;5p:l,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s17,159,159,66,0.415094339622642,FALSE,0.108196721311475,3,0,3,10p:g;20p:g;21q:g,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s4,132,132,15,0.113636363636364,FALSE,0.0245901639344262,1,0,1,4q:g,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s10,128,128,56,0.4375,FALSE,0.0918032786885246,3,0,3,20p:g;4q:g;6p:g,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s14,118,118,15,0.127118644067797,FALSE,0.0245901639344262,2,1,1,5p:l;6p:g,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s8,107,107,15,0.14018691588785,FALSE,0.0245901639344262,1,1,0,5p:l,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s15,106,106,22,0.207547169811321,FALSE,0.0360655737704918,2,1,1,20p:g;5p:l,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s6,105,105,4,0.0380952380952381,FALSE,0.00655737704918033,1,0,1,20p:g,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s2,93,93,11,0.118279569892473,FALSE,0.0180327868852459,2,1,1,20p:g;5p:l,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s12,85,85,52,0.611764705882353,FALSE,0.0852459016393443,1,0,1,4q:g,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s16,83,83,1,0.0120481927710843,FALSE,0.00163934426229508,1,1,0,5p:l,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s9,82,82,7,0.0853658536585366,FALSE,0.0114754098360656,2,1,1,5p:l;6p:g,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s11,77,77,24,0.311688311688312,FALSE,0.039344262295082,1,0,1,4q:g,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s13,76,76,36,0.473684210526316,FALSE,0.059016393442623,4,1,3,11p:g;20p:g;5p:l;8q:g,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s19,74,74,61,0.824324324324324,FALSE,0.1,2,0,2,11q:g;6p:g,3,neutral,FALSE,0,GSE227903,5750_MRD
observation.observation_s21,39,39,24,0.615384615384615,FALSE,0.039344262295082,2,1,1,20p:g;5p:l,3,neutral,FALSE,0,GSE227903,5750_MRD
