subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s28,4q,gain,55,159,0.345911949685535,FALSE,GSE227903,5750_R
observation.observation_s28,6p,gain,35,203,0.172413793103448,FALSE,GSE227903,5750_R
observation.observation_s28,8q,gain,50,148,0.337837837837838,FALSE,GSE227903,5750_R
observation.observation_s28,11p,gain,64,123,0.520325203252033,TRUE,GSE227903,5750_R
observation.observation_s28,11q,loss,45,263,0.171102661596958,FALSE,GSE227903,5750_R
observation.observation_s28,12q,gain,94,300,0.313333333333333,FALSE,GSE227903,5750_R
observation.observation_s28,14q,loss,20,245,0.0816326530612245,FALSE,GSE227903,5750_R
observation.observation_s28,15q,gain,43,204,0.21078431372549,FALSE,GSE227903,5750_R
observation.observation_s28,17q,loss,117,303,0.386138613861386,FALSE,GSE227903,5750_R
observation.observation_s28,21q,gain,50,73,0.684931506849315,TRUE,GSE227903,5750_R
observation.observation_s14,1p,gain,5,369,0.013550135501355,FALSE,GSE227903,5750_R
observation.observation_s14,1q,gain,68,301,0.225913621262459,FALSE,GSE227903,5750_R
observation.observation_s14,2q,gain,50,251,0.199203187250996,FALSE,GSE227903,5750_R
observation.observation_s14,2q,loss,74,251,0.294820717131474,FALSE,GSE227903,5750_R
observation.observation_s14,4q,gain,54,159,0.339622641509434,FALSE,GSE227903,5750_R
observation.observation_s14,6p,gain,40,203,0.197044334975369,FALSE,GSE227903,5750_R
observation.observation_s14,6q,gain,126,144,0.875,TRUE,GSE227903,5750_R
observation.observation_s14,11q,loss,73,263,0.277566539923954,FALSE,GSE227903,5750_R
observation.observation_s14,12q,gain,68,300,0.226666666666667,FALSE,GSE227903,5750_R
observation.observation_s18,1p,loss,45,369,0.121951219512195,FALSE,GSE227903,5750_R
observation.observation_s18,1q,loss,30,301,0.0996677740863787,FALSE,GSE227903,5750_R
observation.observation_s18,6p,gain,72,203,0.354679802955665,FALSE,GSE227903,5750_R
observation.observation_s18,10p,loss,16,70,0.228571428571429,FALSE,GSE227903,5750_R
observation.observation_s18,10q,loss,35,188,0.186170212765957,FALSE,GSE227903,5750_R
observation.observation_s18,11p,gain,27,123,0.219512195121951,FALSE,GSE227903,5750_R
observation.observation_s18,11q,gain,66,263,0.250950570342205,FALSE,GSE227903,5750_R
observation.observation_s18,11q,loss,54,263,0.20532319391635,FALSE,GSE227903,5750_R
observation.observation_s18,12q,gain,62,300,0.206666666666667,FALSE,GSE227903,5750_R
observation.observation_s18,14q,loss,161,245,0.657142857142857,TRUE,GSE227903,5750_R
observation.observation_s18,16p,gain,30,171,0.175438596491228,FALSE,GSE227903,5750_R
observation.observation_s18,17p,gain,64,107,0.598130841121495,TRUE,GSE227903,5750_R
observation.observation_s18,17q,loss,53,303,0.174917491749175,FALSE,GSE227903,5750_R
observation.observation_s18,19p,gain,253,253,1,TRUE,GSE227903,5750_R
observation.observation_s18,19q,gain,162,197,0.822335025380711,TRUE,GSE227903,5750_R
observation.observation_s18,22q,gain,57,156,0.365384615384615,FALSE,GSE227903,5750_R
observation.observation_s26,1p,loss,6,369,0.016260162601626,FALSE,GSE227903,5750_R
observation.observation_s26,1q,loss,64,301,0.212624584717608,FALSE,GSE227903,5750_R
observation.observation_s26,4q,gain,54,159,0.339622641509434,FALSE,GSE227903,5750_R
observation.observation_s26,6p,gain,56,203,0.275862068965517,FALSE,GSE227903,5750_R
observation.observation_s26,6q,gain,34,144,0.236111111111111,FALSE,GSE227903,5750_R
observation.observation_s26,12q,gain,58,300,0.193333333333333,FALSE,GSE227903,5750_R
observation.observation_s26,14q,loss,46,245,0.187755102040816,FALSE,GSE227903,5750_R
observation.observation_s26,17q,loss,48,303,0.158415841584158,FALSE,GSE227903,5750_R
observation.observation_s26,19p,gain,88,253,0.347826086956522,FALSE,GSE227903,5750_R
observation.observation_s26,19q,gain,43,197,0.218274111675127,FALSE,GSE227903,5750_R
observation.observation_s21,1p,loss,44,369,0.119241192411924,FALSE,GSE227903,5750_R
observation.observation_s21,1q,loss,15,301,0.0498338870431894,FALSE,GSE227903,5750_R
observation.observation_s21,6p,gain,77,203,0.379310344827586,FALSE,GSE227903,5750_R
observation.observation_s21,9q,gain,28,184,0.152173913043478,FALSE,GSE227903,5750_R
observation.observation_s21,10p,loss,22,70,0.314285714285714,FALSE,GSE227903,5750_R
observation.observation_s21,10q,loss,37,188,0.196808510638298,FALSE,GSE227903,5750_R
observation.observation_s21,11p,gain,67,123,0.544715447154472,TRUE,GSE227903,5750_R
observation.observation_s21,11q,gain,147,263,0.55893536121673,TRUE,GSE227903,5750_R
observation.observation_s21,11q,loss,61,263,0.231939163498099,FALSE,GSE227903,5750_R
observation.observation_s21,12q,gain,64,300,0.213333333333333,FALSE,GSE227903,5750_R
observation.observation_s21,14q,loss,165,245,0.673469387755102,TRUE,GSE227903,5750_R
observation.observation_s21,16p,gain,45,171,0.263157894736842,FALSE,GSE227903,5750_R
observation.observation_s21,17p,gain,85,107,0.794392523364486,TRUE,GSE227903,5750_R
observation.observation_s21,17q,loss,48,303,0.158415841584158,FALSE,GSE227903,5750_R
observation.observation_s21,19p,gain,253,253,1,TRUE,GSE227903,5750_R
observation.observation_s21,19q,gain,197,197,1,TRUE,GSE227903,5750_R
observation.observation_s21,22q,gain,120,156,0.769230769230769,TRUE,GSE227903,5750_R
observation.observation_s15,4q,gain,42,159,0.264150943396226,FALSE,GSE227903,5750_R
observation.observation_s15,6p,gain,48,203,0.236453201970443,FALSE,GSE227903,5750_R
observation.observation_s15,8q,gain,58,148,0.391891891891892,FALSE,GSE227903,5750_R
observation.observation_s15,11p,gain,56,123,0.455284552845528,FALSE,GSE227903,5750_R
observation.observation_s15,11q,loss,43,263,0.163498098859316,FALSE,GSE227903,5750_R
observation.observation_s15,12q,gain,65,300,0.216666666666667,FALSE,GSE227903,5750_R
observation.observation_s15,14q,loss,24,245,0.0979591836734694,FALSE,GSE227903,5750_R
observation.observation_s15,19q,gain,31,197,0.157360406091371,FALSE,GSE227903,5750_R
observation.observation_s10,6p,gain,65,203,0.320197044334975,FALSE,GSE227903,5750_R
observation.observation_s10,11p,gain,60,123,0.487804878048781,FALSE,GSE227903,5750_R
observation.observation_s10,11q,gain,42,263,0.159695817490494,FALSE,GSE227903,5750_R
observation.observation_s10,11q,loss,52,263,0.197718631178707,FALSE,GSE227903,5750_R
observation.observation_s10,12q,gain,63,300,0.21,FALSE,GSE227903,5750_R
observation.observation_s10,19p,gain,128,253,0.505928853754941,TRUE,GSE227903,5750_R
observation.observation_s10,19q,gain,136,197,0.690355329949239,TRUE,GSE227903,5750_R
observation.observation_s22,1p,gain,73,369,0.197831978319783,FALSE,GSE227903,5750_R
