subclone,n_cells,n_cells_labelled,n_malignant,frac_malignant,is_reference,clone_frac_of_malignant,n_arm_events,n_arm_events_loss,n_arm_events_gain,arms_hit,tp53_state,tp53_direction,tp53_loss,arm17p_frac_loss,dataset,sample
observation.observation_s3,124,124,1,0.00806451612903226,FALSE,0.0126582278481013,3,0,3,11p:g;21q:g;8q:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s8,106,106,2,0.0188679245283019,FALSE,0.0253164556962025,2,0,2,12q:g;17p:g,4,gain,FALSE,0,GSE227903,6323_R
observation.observation_s5,95,95,21,0.221052631578947,FALSE,0.265822784810127,1,0,1,8q:g,4,gain,FALSE,0,GSE227903,6323_R
observation.observation_s4,87,87,5,0.0574712643678161,FALSE,0.0632911392405063,4,0,4,11p:g;21q:g;6q:g;8q:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s1,85,85,4,0.0470588235294118,FALSE,0.0506329113924051,4,0,4,11p:g;21q:g;6q:g;8q:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s2,69,69,3,0.0434782608695652,FALSE,0.0379746835443038,3,0,3,11p:g;21q:g;8q:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s6,69,69,10,0.144927536231884,FALSE,0.126582278481013,4,1,3,11p:g;3q:g;5p:l;8q:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s11,39,39,5,0.128205128205128,FALSE,0.0632911392405063,5,0,5,11p:g;12q:g;17p:g;21q:g;8q:g,4,gain,FALSE,0,GSE227903,6323_R
observation.observation_s12,32,32,6,0.1875,FALSE,0.0759493670886076,2,0,2,18q:g;6p:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s10,31,31,7,0.225806451612903,FALSE,0.0886075949367089,5,0,5,11p:g;21q:g;3q:g;6q:g;8q:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s7,28,28,5,0.178571428571429,FALSE,0.0632911392405063,5,1,4,10p:l;11p:g;18q:g;21q:g;8q:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s9,11,11,4,0.363636363636364,FALSE,0.0506329113924051,0,0,0,"",3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s13,10,10,3,0.3,FALSE,0.0379746835443038,2,0,2,3q:g;8q:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s15,5,5,0,0,FALSE,0,3,1,2,12p:g;21q:g;4p:l,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s16,5,5,3,0.6,FALSE,0.0379746835443038,7,1,6,18q:g;20p:l;21q:g;3q:g;4q:g;5q:g;8q:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s14,3,3,0,0,FALSE,0,7,1,6,10p:l;11p:g;17p:g;18q:g;20p:g;3q:g;8q:g,3,neutral,FALSE,0,GSE227903,6323_R
observation.observation_s17,1,1,0,0,FALSE,0,10,2,8,16q:l;17q:g;18p:g;19p:g;2p:l;3p:g;4q:g;5q:g;8q:g;9p:g,3,neutral,FALSE,0,GSE227903,6323_R
reference_normal.reference_normal_s1,62,62,0,0,TRUE,0,0,0,0,"",3,neutral,FALSE,0,GSE227903,6323_R
reference_normal.reference_normal_s2,26,26,1,0.0384615384615385,TRUE,0.0126582278481013,0,0,0,"",3,neutral,FALSE,0,GSE227903,6323_R
reference_normal.reference_normal_s3,3,3,0,0,TRUE,0,4,0,4,16p:g;4p:g;7p:g;7q:g,3,neutral,FALSE,0,GSE227903,6323_R
reference_normal.reference_normal_s4,1,1,0,0,TRUE,0,8,2,6,10q:l;12p:g;14q:g;18q:g;20p:l;20q:g;21q:g;6q:g,3,neutral,FALSE,0,GSE227903,6323_R
